,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,29,18,15,11,1.611,1.364,1.181,0.591
1,"(15, 24]","(0, 5]",Male,8,2,12,4,4.000,3.000,1.333,1.307
2,"(15, 24]","(5, 10]",Female,20,10,18,13,2.000,1.385,1.444,0.771
3,"(15, 24]","(5, 10]",Male,7,7,8,6,1.000,1.333,0.750,0.571
4,"(15, 24]","(10, 15]",Female,108,78,42,47,1.385,0.894,1.549,0.409
5,"(15, 24]","(10, 15]",Male,107,81,169,146,1.321,1.158,1.141,0.219
6,"(15, 24]","(15, 20]",Female,425,402,187,231,1.057,0.810,1.306,0.170
7,"(15, 24]","(15, 20]",Male,609,458,1060,1066,1.330,0.994,1.337,0.121
8,"(15, 24]","(20, 25]",Female,187,172,170,182,1.087,0.934,1.164,0.184
9,"(15, 24]","(20, 25]",Male,294,225,599,619,1.307,0.968,1.350,0.158
10,"(15, 24]","(25, 30]",Female,43,28,53,56,1.536,0.946,1.623,0.508
11,"(15, 24]","(25, 30]",Male,53,36,160,113,1.472,1.416,1.040,0.264
12,"(15, 24]","(30, 35]",Female,14,11,19,19,1.273,1.000,1.273,0.661
13,"(15, 24]","(30, 35]",Male,28,16,48,39,1.750,1.231,1.422,0.546
14,"(15, 24]","(35, 40]",Female,19,15,6,8,1.267,0.750,1.689,1.086
15,"(15, 24]","(35, 40]",Male,29,12,32,9,2.417,3.556,0.680,0.348
16,"(15, 24]","(40, 45]",Female,45,26,8,4,1.731,2.000,0.865,0.573
17,"(15, 24]","(40, 45]",Male,40,7,36,14,5.714,2.571,2.222,1.154
18,"(15, 24]","(45, 50]",Female,41,19,7,5,2.158,1.400,1.541,1.002
19,"(15, 24]","(45, 50]",Male,23,8,24,7,2.875,3.429,0.839,0.500
20,"(15, 24]","(50, 55]",Female,36,10,9,2,3.600,4.500,0.800,0.689
21,"(15, 24]","(50, 55]",Male,21,4,17,3,5.250,5.667,0.926,0.771
22,"(15, 24]","(55, 60]",Female,23,7,4,2,3.286,2.000,1.643,1.592
23,"(15, 24]","(55, 60]",Male,17,3,15,4,5.667,3.750,1.511,1.274
24,"(15, 24]","(60, 65]",Male,11,2,10,4,5.500,2.500,2.200,2.137
25,"(15, 24]","(70, 75]",Male,9,1,3,1,9.000,3.000,3.000,4.693
26,"(15, 24]","(75, 80]",Male,7,2,4,1,3.500,4.000,0.875,1.205
27,"(15, 24]","(80, 85]",Male,7,1,2,2,7.000,1.000,7.000,10.253
28,"(24, 34]","(0, 5]",Female,43,22,34,31,1.955,1.097,1.782,0.650
29,"(24, 34]","(0, 5]",Male,14,6,15,9,2.333,1.667,1.400,0.906
30,"(24, 34]","(5, 10]",Female,52,26,42,31,2.000,1.355,1.476,0.503
31,"(24, 34]","(5, 10]",Male,14,8,20,14,1.750,1.429,1.225,0.693
32,"(24, 34]","(10, 15]",Female,23,34,21,32,0.676,0.656,1.031,0.405
33,"(24, 34]","(10, 15]",Male,12,8,23,32,1.500,0.719,2.087,1.115
34,"(24, 34]","(15, 20]",Female,18,26,7,21,0.692,0.333,2.077,1.113
35,"(24, 34]","(15, 20]",Male,55,51,60,84,1.078,0.714,1.510,0.396
36,"(24, 34]","(20, 25]",Female,53,50,36,47,1.060,0.766,1.384,0.416
37,"(24, 34]","(20, 25]",Male,242,208,221,247,1.163,0.895,1.300,0.184
38,"(24, 34]","(25, 30]",Female,72,60,72,83,1.200,0.867,1.383,0.336
39,"(24, 34]","(25, 30]",Male,279,224,225,229,1.246,0.983,1.268,0.176
40,"(24, 34]","(30, 35]",Female,42,42,61,66,1.000,0.924,1.082,0.309
41,"(24, 34]","(30, 35]",Male,140,101,144,103,1.386,1.398,0.991,0.189
42,"(24, 34]","(35, 40]",Female,37,22,39,40,1.682,0.975,1.725,0.611
43,"(24, 34]","(35, 40]",Male,53,34,75,57,1.559,1.316,1.185,0.339
44,"(24, 34]","(40, 45]",Female,23,16,22,9,1.438,2.444,0.588,0.303
45,"(24, 34]","(40, 45]",Male,36,19,34,30,1.895,1.133,1.672,0.638
46,"(24, 34]","(45, 50]",Female,32,13,13,7,2.462,1.857,1.325,0.762
47,"(24, 34]","(45, 50]",Male,26,7,23,9,3.714,2.556,1.453,0.845
48,"(24, 34]","(50, 55]",Female,49,12,8,4,4.083,2.000,2.042,1.416
49,"(24, 34]","(50, 55]",Male,23,7,29,13,3.286,2.231,1.473,0.807
50,"(24, 34]","(55, 60]",Female,38,11,14,1,3.455,14.000,0.247,0.269
51,"(24, 34]","(55, 60]",Male,25,8,21,9,3.125,2.333,1.339,0.765
52,"(24, 34]","(60, 65]",Female,35,6,4,1,5.833,4.000,1.458,1.755
53,"(24, 34]","(60, 65]",Male,21,1,10,1,21.000,10.000,2.100,3.079
54,"(24, 34]","(65, 70]",Female,20,3,9,3,6.667,3.000,2.222,2.025
55,"(24, 34]","(65, 70]",Male,12,1,8,2,12.000,4.000,3.000,3.924
56,"(24, 34]","(70, 75]",Female,19,3,9,2,6.333,4.500,1.407,1.407
57,"(24, 34]","(70, 75]",Male,6,1,5,1,6.000,5.000,1.200,1.847
58,"(24, 34]","(75, 80]",Male,10,1,10,2,10.000,5.000,2.000,2.610
59,"(24, 34]","(80, 85]",Female,11,1,5,1,11.000,5.000,2.200,3.332
60,"(34, 54]","(0, 5]",Female,18,17,19,20,1.059,0.950,1.115,0.522
61,"(34, 54]","(0, 5]",Male,11,6,8,10,1.833,0.800,2.292,1.596
62,"(34, 54]","(5, 10]",Female,37,55,28,48,0.673,0.583,1.153,0.372
63,"(34, 54]","(5, 10]",Male,24,31,20,34,0.774,0.588,1.316,0.520
64,"(34, 54]","(10, 15]",Female,64,120,45,110,0.533,0.409,1.304,0.313
65,"(34, 54]","(10, 15]",Male,22,35,38,73,0.629,0.521,1.208,0.412
66,"(34, 54]","(15, 20]",Female,44,98,24,72,0.449,0.333,1.347,0.406
67,"(34, 54]","(15, 20]",Male,27,35,31,52,0.771,0.596,1.294,0.448
68,"(34, 54]","(20, 25]",Female,28,49,18,27,0.571,0.667,0.857,0.333
69,"(34, 54]","(20, 25]",Male,48,49,34,72,0.980,0.472,2.074,0.612
70,"(34, 54]","(25, 30]",Female,23,36,17,31,0.639,0.548,1.165,0.473
71,"(34, 54]","(25, 30]",Male,82,96,67,65,0.854,1.031,0.829,0.195
72,"(34, 54]","(30, 35]",Female,38,51,25,44,0.745,0.568,1.311,0.437
73,"(34, 54]","(30, 35]",Male,131,126,58,69,1.040,0.841,1.237,0.276
74,"(34, 54]","(35, 40]",Female,47,45,60,75,1.044,0.800,1.306,0.360
75,"(34, 54]","(35, 40]",Male,202,171,80,80,1.181,1.000,1.181,0.231
76,"(34, 54]","(40, 45]",Female,62,48,63,67,1.292,0.940,1.374,0.364
