,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.443,0.302,3.000
1,"(5, 10]",1.369,0.224,8.000
2,"(10, 15]",1.203,0.133,13.000
3,"(15, 20]",1.341,0.090,18.000
4,"(20, 25]",1.319,0.094,23.000
5,"(25, 30]",1.219,0.110,28.000
6,"(30, 35]",1.124,0.123,33.000
7,"(35, 40]",1.165,0.137,38.000
8,"(40, 45]",1.420,0.178,43.000
9,"(45, 50]",1.238,0.169,48.000
10,"(50, 55]",1.305,0.181,53.000
11,"(55, 60]",1.414,0.206,58.000
12,"(60, 65]",1.113,0.161,63.000
13,"(65, 70]",1.131,0.168,68.000
14,"(70, 75]",0.857,0.110,73.000
15,"(75, 80]",0.948,0.113,78.000
16,"(80, 85]",0.907,0.116,83.000
17,"(85, 90]",0.891,0.135,88.000
18,"(90, 95]",1.366,0.408,93.000
19,"(95, 100]",2.222,2.159,98.000
