,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,677,704,1127,1360,0.962,0.829,1.160,0.097
1,"(15, 24]","(15, 22]",Male,523,426,3776,3987,1.228,0.947,1.296,0.111
2,"(15, 24]","(22, 27]",Female,147,152,499,611,0.967,0.817,1.184,0.165
3,"(15, 24]","(22, 27]",Male,139,86,1108,1021,1.616,1.085,1.489,0.227
4,"(15, 24]","(27, 32]",Female,49,38,188,207,1.289,0.908,1.420,0.346
5,"(15, 24]","(27, 32]",Male,42,26,302,240,1.615,1.258,1.284,0.345
6,"(15, 24]","(32, 37]",Female,41,14,79,57,2.929,1.386,2.113,0.758
7,"(15, 24]","(32, 37]",Male,30,10,136,78,3.000,1.744,1.721,0.680
8,"(15, 24]","(37, 42]",Female,37,18,42,26,2.056,1.615,1.272,0.488
9,"(15, 24]","(37, 42]",Male,26,7,65,44,3.714,1.477,2.514,1.184
10,"(15, 24]","(42, 47]",Female,31,12,24,15,2.583,1.600,1.615,0.768
11,"(15, 24]","(42, 47]",Male,15,7,44,21,2.143,2.095,1.023,0.543
12,"(15, 24]","(47, 52]",Female,16,8,15,11,2.000,1.364,1.467,0.865
13,"(15, 24]","(47, 52]",Male,10,1,31,13,10.000,2.385,4.194,4.616
14,"(15, 24]","(52, 57]",Female,12,3,15,4,4.000,3.750,1.067,0.915
15,"(15, 24]","(52, 57]",Male,4,2,18,6,2.000,3.000,0.667,0.658
16,"(15, 24]","(57, 62]",Female,12,3,9,4,4.000,2.250,1.778,1.570
17,"(15, 24]","(62, 67]",Male,5,4,10,2,1.250,5.000,0.250,0.256
18,"(24, 34]","(15, 22]",Female,50,57,89,157,0.877,0.567,1.547,0.372
19,"(24, 34]","(15, 22]",Male,130,115,346,426,1.130,0.812,1.392,0.216
20,"(24, 34]","(22, 27]",Female,113,122,253,358,0.926,0.707,1.311,0.213
21,"(24, 34]","(22, 27]",Male,176,166,682,838,1.060,0.814,1.303,0.169
22,"(24, 34]","(27, 32]",Female,81,95,321,383,0.853,0.838,1.017,0.179
23,"(24, 34]","(27, 32]",Male,133,93,512,591,1.430,0.866,1.651,0.258
24,"(24, 34]","(32, 37]",Female,56,52,222,245,1.077,0.906,1.188,0.261
25,"(24, 34]","(32, 37]",Male,68,41,236,221,1.659,1.068,1.553,0.349
26,"(24, 34]","(37, 42]",Female,24,25,96,102,0.960,0.941,1.020,0.330
27,"(24, 34]","(37, 42]",Male,38,24,112,90,1.583,1.244,1.272,0.383
28,"(24, 34]","(42, 47]",Female,13,11,54,43,1.182,1.256,0.941,0.433
29,"(24, 34]","(42, 47]",Male,16,7,57,28,2.286,2.036,1.123,0.574
30,"(24, 34]","(47, 52]",Female,23,10,31,19,2.300,1.632,1.410,0.677
31,"(24, 34]","(47, 52]",Male,10,5,42,15,2.000,2.800,0.714,0.448
32,"(24, 34]","(52, 57]",Female,18,12,24,8,1.500,3.000,0.500,0.278
33,"(24, 34]","(52, 57]",Male,11,3,30,8,3.667,3.750,0.978,0.748
34,"(24, 34]","(57, 62]",Female,11,4,11,3,2.750,3.667,0.750,0.657
35,"(24, 34]","(57, 62]",Male,6,3,14,8,2.000,1.750,1.143,0.955
36,"(24, 34]","(62, 67]",Female,4,2,9,4,2.000,2.250,0.889,0.938
37,"(24, 34]","(67, 72]",Female,2,1,7,3,2.000,2.333,0.857,1.206
38,"(34, 54]","(15, 22]",Female,34,81,25,84,0.420,0.298,1.410,0.437
