,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.018,0.206,3.000
1,"(5, 10]",0.994,0.205,8.000
2,"(10, 15]",0.947,0.147,13.000
3,"(15, 20]",1.239,0.124,18.000
4,"(20, 25]",1.186,0.184,23.000
5,"(25, 30]",1.012,0.218,28.000
6,"(30, 35]",1.574,0.487,33.000
7,"(35, 40]",1.550,0.539,38.000
8,"(40, 45]",1.186,0.495,43.000
9,"(45, 50]",0.943,0.405,48.000
10,"(50, 55]",1.620,0.929,53.000
11,"(55, 60]",1.144,0.671,58.000
12,"(60, 65]",0.701,0.582,63.000
13,"(65, 70]",1.129,0.783,68.000
14,"(70, 75]",0.552,0.367,73.000
15,"(75, 80]",0.398,0.315,78.000
16,"(80, 85]",0.456,0.402,83.000
