,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,55,27,45,34,2.037,1.324,1.539,0.509
1,"(15, 24]","(0, 5]",Male,25,10,27,10,2.500,2.700,0.926,0.490
2,"(15, 24]","(5, 10]",Female,16,16,10,6,1.000,1.667,0.600,0.377
3,"(15, 24]","(5, 10]",Male,11,2,20,9,5.500,2.222,2.475,2.150
4,"(15, 24]","(10, 15]",Female,120,93,35,47,1.290,0.745,1.733,0.463
5,"(15, 24]","(10, 15]",Male,212,165,350,290,1.285,1.207,1.065,0.149
6,"(15, 24]","(15, 20]",Female,576,536,245,332,1.075,0.738,1.456,0.167
7,"(15, 24]","(15, 20]",Male,1181,981,2950,2915,1.204,1.012,1.190,0.085
8,"(15, 24]","(20, 25]",Female,253,242,270,311,1.045,0.868,1.204,0.159
9,"(15, 24]","(20, 25]",Male,562,431,1871,1686,1.304,1.110,1.175,0.103
10,"(15, 24]","(25, 30]",Female,59,58,100,117,1.017,0.855,1.190,0.280
11,"(15, 24]","(25, 30]",Male,150,97,399,336,1.546,1.188,1.302,0.206
12,"(15, 24]","(30, 35]",Female,28,21,40,34,1.333,1.176,1.133,0.424
13,"(15, 24]","(30, 35]",Male,66,37,142,116,1.784,1.224,1.457,0.358
14,"(15, 24]","(35, 40]",Female,23,15,19,15,1.533,1.267,1.211,0.583
15,"(15, 24]","(35, 40]",Male,34,14,97,44,2.429,2.205,1.102,0.407
16,"(15, 24]","(40, 45]",Female,38,14,14,8,2.714,1.750,1.551,0.845
17,"(15, 24]","(40, 45]",Male,38,16,59,32,2.375,1.844,1.288,0.481
18,"(15, 24]","(45, 50]",Female,22,7,7,4,3.143,1.750,1.796,1.372
19,"(15, 24]","(45, 50]",Male,17,5,35,14,3.400,2.500,1.360,0.817
20,"(15, 24]","(50, 55]",Female,22,4,9,8,5.500,1.125,4.889,3.573
21,"(15, 24]","(50, 55]",Male,18,2,21,7,9.000,3.000,3.000,2.596
22,"(15, 24]","(55, 60]",Male,19,3,12,2,6.333,6.000,1.056,1.041
23,"(15, 24]","(60, 65]",Male,6,1,6,2,6.000,3.000,2.000,2.710
24,"(15, 24]","(65, 70]",Female,8,2,3,1,4.000,3.000,1.333,1.867
25,"(15, 24]","(80, 85]",Male,6,1,4,1,6.000,4.000,1.500,2.333
26,"(24, 34]","(0, 5]",Female,58,49,51,37,1.184,1.378,0.859,0.253
27,"(24, 34]","(0, 5]",Male,40,26,50,26,1.538,1.923,0.800,0.282
28,"(24, 34]","(5, 10]",Female,47,61,50,47,0.770,1.064,0.724,0.207
29,"(24, 34]","(5, 10]",Male,20,10,19,27,2.000,0.704,2.842,1.399
30,"(24, 34]","(10, 15]",Female,34,37,14,34,0.919,0.412,2.232,0.892
31,"(24, 34]","(10, 15]",Male,20,20,31,42,1.000,0.738,1.355,0.540
32,"(24, 34]","(15, 20]",Female,37,51,20,44,0.725,0.455,1.596,0.557
33,"(24, 34]","(15, 20]",Male,141,160,197,263,0.881,0.749,1.176,0.185
34,"(24, 34]","(20, 25]",Female,82,115,77,100,0.713,0.770,0.926,0.199
35,"(24, 34]","(20, 25]",Male,511,416,666,716,1.228,0.930,1.321,0.130
36,"(24, 34]","(25, 30]",Female,104,88,112,158,1.182,0.709,1.667,0.328
37,"(24, 34]","(25, 30]",Male,428,364,741,629,1.176,1.178,0.998,0.102
38,"(24, 34]","(30, 35]",Female,68,59,90,113,1.153,0.796,1.447,0.337
39,"(24, 34]","(30, 35]",Male,250,170,350,307,1.471,1.140,1.290,0.175
40,"(24, 34]","(35, 40]",Female,32,29,37,45,1.103,0.822,1.342,0.460
41,"(24, 34]","(35, 40]",Male,108,75,173,134,1.440,1.291,1.115,0.218
42,"(24, 34]","(40, 45]",Female,17,19,29,29,0.895,1.000,0.895,0.383
43,"(24, 34]","(40, 45]",Male,53,29,82,56,1.828,1.464,1.248,0.366
44,"(24, 34]","(45, 50]",Female,39,12,22,11,3.250,2.000,1.625,0.809
45,"(24, 34]","(45, 50]",Male,28,11,47,31,2.545,1.516,1.679,0.718
46,"(24, 34]","(50, 55]",Female,38,12,18,8,3.167,2.250,1.407,0.761
47,"(24, 34]","(50, 55]",Male,28,5,42,17,5.600,2.471,2.267,1.284
48,"(24, 34]","(55, 60]",Female,32,9,7,6,3.556,1.167,3.048,2.054
49,"(24, 34]","(55, 60]",Male,17,2,24,12,8.500,2.000,4.250,3.521
50,"(24, 34]","(60, 65]",Female,20,3,9,4,6.667,2.250,2.963,2.561
51,"(24, 34]","(60, 65]",Male,15,4,18,6,3.750,3.000,1.250,0.920
52,"(24, 34]","(65, 70]",Male,16,6,10,2,2.667,5.000,0.533,0.486
53,"(24, 34]","(70, 75]",Female,16,3,3,1,5.333,3.000,1.778,2.339
54,"(34, 54]","(0, 5]",Female,26,21,21,20,1.238,1.050,1.179,0.509
55,"(34, 54]","(0, 5]",Male,14,15,14,18,0.933,0.778,1.200,0.621
56,"(34, 54]","(5, 10]",Female,30,45,29,46,0.667,0.630,1.057,0.357
57,"(34, 54]","(5, 10]",Male,15,18,20,25,0.833,0.800,1.042,0.483
58,"(34, 54]","(10, 15]",Female,52,88,30,76,0.591,0.395,1.497,0.422
59,"(34, 54]","(10, 15]",Male,25,32,41,68,0.781,0.603,1.296,0.435
60,"(34, 54]","(15, 20]",Female,33,65,16,47,0.508,0.340,1.491,0.542
61,"(34, 54]","(15, 20]",Male,33,51,44,90,0.647,0.489,1.324,0.389
62,"(34, 54]","(20, 25]",Female,24,55,10,34,0.436,0.294,1.484,0.650
63,"(34, 54]","(20, 25]",Male,62,97,111,163,0.639,0.681,0.939,0.197
