,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,20,25,15,20,0.800,0.750,1.067,0.488
1,"(15, 24]","(0, 5]",Male,12,9,16,18,1.333,0.889,1.500,0.842
2,"(15, 24]","(5, 10]",Female,6,4,7,9,1.500,0.778,1.929,1.582
3,"(15, 24]","(5, 10]",Male,3,4,10,9,0.750,1.111,0.675,0.603
4,"(15, 24]","(10, 15]",Female,33,36,19,33,0.917,0.576,1.592,0.603
5,"(15, 24]","(10, 15]",Male,84,92,105,107,0.913,0.981,0.930,0.195
6,"(15, 24]","(15, 20]",Female,100,122,71,84,0.820,0.845,0.970,0.210
7,"(15, 24]","(15, 20]",Male,231,244,600,801,0.947,0.749,1.264,0.149
8,"(15, 24]","(20, 25]",Female,33,44,36,62,0.750,0.581,1.292,0.407
9,"(15, 24]","(20, 25]",Male,62,56,281,379,1.107,0.741,1.493,0.309
10,"(15, 24]","(25, 30]",Female,11,6,16,15,1.833,1.067,1.719,1.072
11,"(15, 24]","(25, 30]",Male,18,7,64,78,2.571,0.821,3.134,1.501
12,"(15, 24]","(30, 35]",Female,3,2,3,6,1.500,0.500,3.000,3.467
13,"(15, 24]","(30, 35]",Male,6,6,21,21,1.000,1.000,1.000,0.657
14,"(15, 24]","(35, 40]",Female,2,1,3,1,2.000,3.000,0.667,1.123
15,"(15, 24]","(35, 40]",Male,4,2,18,14,2.000,1.286,1.556,1.459
16,"(15, 24]","(40, 45]",Male,10,3,10,5,3.333,2.000,1.667,1.430
17,"(15, 24]","(45, 50]",Male,6,6,6,3,1.000,2.000,0.500,0.457
18,"(15, 24]","(50, 55]",Female,4,1,1,1,4.000,1.000,4.000,7.214
19,"(15, 24]","(50, 55]",Male,9,4,2,1,2.250,2.000,1.125,1.536
20,"(15, 24]","(65, 70]",Female,2,1,2,1,2.000,2.000,1.000,1.733
21,"(24, 34]","(0, 5]",Female,30,23,28,30,1.304,0.933,1.398,0.538
22,"(24, 34]","(0, 5]",Male,21,23,23,27,0.913,0.852,1.072,0.447
23,"(24, 34]","(5, 10]",Female,19,34,14,29,0.559,0.483,1.158,0.505
24,"(24, 34]","(5, 10]",Male,11,15,16,15,0.733,1.067,0.688,0.370
25,"(24, 34]","(10, 15]",Female,14,26,6,5,0.538,1.200,0.449,0.311
26,"(24, 34]","(10, 15]",Male,7,17,10,12,0.412,0.833,0.494,0.308
27,"(24, 34]","(15, 20]",Female,7,12,8,18,0.583,0.444,1.313,0.840
28,"(24, 34]","(15, 20]",Male,33,30,47,75,1.100,0.627,1.755,0.557
29,"(24, 34]","(20, 25]",Female,13,17,5,12,0.765,0.417,1.835,1.192
30,"(24, 34]","(20, 25]",Male,28,40,94,148,0.700,0.635,1.102,0.313
31,"(24, 34]","(25, 30]",Female,16,13,12,16,1.231,0.750,1.641,0.880
32,"(24, 34]","(25, 30]",Male,28,28,100,118,1.000,0.847,1.180,0.359
33,"(24, 34]","(30, 35]",Female,8,8,9,8,1.000,1.125,0.889,0.621
34,"(24, 34]","(30, 35]",Male,20,19,45,44,1.053,1.023,1.029,0.399
35,"(24, 34]","(35, 40]",Female,4,5,4,3,0.800,1.333,0.600,0.611
36,"(24, 34]","(35, 40]",Male,12,8,15,15,1.500,1.000,1.500,0.880
37,"(24, 34]","(40, 45]",Female,4,4,1,3,1.000,0.333,3.000,4.065
38,"(24, 34]","(40, 45]",Male,5,2,13,11,2.500,1.182,2.115,1.973
39,"(24, 34]","(45, 50]",Female,2,2,1,1,1.000,1.000,1.000,1.733
40,"(24, 34]","(45, 50]",Male,6,1,6,5,6.000,1.200,5.000,6.196
41,"(24, 34]","(50, 55]",Female,3,1,3,1,3.000,3.000,1.000,1.634
42,"(24, 34]","(50, 55]",Male,6,3,5,4,2.000,1.250,1.600,1.562
43,"(24, 34]","(55, 60]",Male,5,4,2,3,1.250,0.667,1.875,2.126
44,"(34, 54]","(0, 5]",Female,10,8,10,14,1.250,0.714,1.750,1.105
45,"(34, 54]","(0, 5]",Male,9,15,9,16,0.600,0.562,1.067,0.635
46,"(34, 54]","(5, 10]",Female,10,21,11,17,0.476,0.647,0.736,0.403
47,"(34, 54]","(5, 10]",Male,16,27,14,25,0.593,0.560,1.058,0.489
48,"(34, 54]","(10, 15]",Female,13,34,12,34,0.382,0.353,1.083,0.510
49,"(34, 54]","(10, 15]",Male,15,42,12,29,0.357,0.414,0.863,0.396
50,"(34, 54]","(15, 20]",Female,6,27,5,10,0.222,0.500,0.444,0.316
51,"(34, 54]","(15, 20]",Male,12,37,8,21,0.324,0.381,0.851,0.455
52,"(34, 54]","(20, 25]",Female,2,11,2,9,0.182,0.222,0.818,0.898
53,"(34, 54]","(20, 25]",Male,8,15,18,39,0.533,0.462,1.156,0.606
54,"(34, 54]","(25, 30]",Female,1,5,4,8,0.200,0.500,0.400,0.502
55,"(34, 54]","(25, 30]",Male,9,14,18,31,0.643,0.581,1.107,0.578
56,"(34, 54]","(30, 35]",Male,13,19,21,33,0.684,0.636,1.075,0.493
57,"(34, 54]","(35, 40]",Female,3,9,3,5,0.333,0.600,0.556,0.550
58,"(34, 54]","(35, 40]",Male,12,10,14,21,1.200,0.667,1.800,0.994
59,"(34, 54]","(40, 45]",Male,12,11,9,26,1.091,0.346,3.152,1.800
60,"(34, 54]","(45, 50]",Female,4,3,3,4,1.333,0.750,1.778,1.922
61,"(34, 54]","(45, 50]",Male,12,7,11,8,1.714,1.375,1.247,0.831
62,"(34, 54]","(50, 55]",Female,4,5,1,2,0.800,0.500,1.600,2.236
63,"(34, 54]","(50, 55]",Male,11,8,7,7,1.375,1.000,1.375,0.976
64,"(34, 54]","(55, 60]",Male,5,3,6,3,1.667,2.000,0.833,0.848
65,"(34, 54]","(65, 70]",Male,18,2,8,4,9.000,2.000,4.500,4.347
66,"(34, 54]","(70, 75]",Male,9,4,4,3,2.250,1.333,1.688,1.642
67,"(34, 54]","(75, 80]",Female,6,1,3,1,6.000,3.000,2.000,3.164
68,"(34, 54]","(75, 80]",Male,4,2,4,1,2.000,4.000,0.500,0.708
69,"(54, 100]","(0, 5]",Male,2,9,3,6,0.222,0.500,0.444,0.469
70,"(54, 100]","(5, 10]",Male,2,5,4,6,0.400,0.667,0.600,0.635
71,"(54, 100]","(15, 20]",Female,1,5,2,2,0.200,1.000,0.200,0.297
72,"(54, 100]","(15, 20]",Male,2,12,3,12,0.167,0.250,0.667,0.667
73,"(54, 100]","(20, 25]",Male,1,8,2,7,0.125,0.286,0.438,0.582
74,"(54, 100]","(25, 30]",Female,1,2,1,6,0.500,0.167,3.000,4.901
75,"(54, 100]","(30, 35]",Female,1,7,1,2,0.143,0.500,0.286,0.465
76,"(54, 100]","(30, 35]",Male,3,6,1,8,0.500,0.125,4.000,5.103
77,"(54, 100]","(35, 40]",Male,2,4,2,6,0.500,0.333,1.500,1.787
78,"(54, 100]","(40, 45]",Female,1,1,1,2,1.000,0.500,2.000,3.743
79,"(54, 100]","(40, 45]",Male,3,11,2,2,0.273,1.000,0.273,0.326
80,"(54, 100]","(45, 50]",Male,5,10,2,8,0.500,0.250,2.000,1.926
81,"(54, 100]","(50, 55]",Male,9,6,5,6,1.500,0.833,1.800,1.448
82,"(54, 100]","(55, 60]",Female,2,4,2,2,0.500,1.000,0.500,0.662
83,"(54, 100]","(55, 60]",Male,12,12,5,5,1.000,1.000,1.000,0.754
84,"(54, 100]","(60, 65]",Female,3,5,1,4,0.600,0.250,2.400,3.207
85,"(54, 100]","(60, 65]",Male,15,16,3,7,0.938,0.429,2.188,1.705
86,"(54, 100]","(65, 70]",Female,3,6,2,3,0.500,0.667,0.750,0.867
87,"(54, 100]","(65, 70]",Male,12,17,5,3,0.706,1.667,0.424,0.349
88,"(54, 100]","(70, 75]",Female,8,9,6,3,0.889,2.000,0.444,0.382
89,"(54, 100]","(70, 75]",Male,16,17,5,2,0.941,2.500,0.376,0.342
90,"(54, 100]","(75, 80]",Male,17,15,5,5,1.133,1.000,1.133,0.824
91,"(54, 100]","(80, 85]",Female,11,3,3,2,3.667,1.500,2.444,2.744
92,"(54, 100]","(80, 85]",Male,13,5,3,1,2.600,3.000,0.867,1.101
93,"(54, 100]","(85, 90]",Male,10,5,3,2,2.000,1.500,1.333,1.421
