,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,144,153,229,268,0.941,0.854,1.101,0.171
1,"(15, 24]","(15, 22]",Male,78,95,733,900,0.821,0.814,1.008,0.170
2,"(15, 24]","(22, 27]",Female,33,46,127,164,0.717,0.774,0.926,0.242
3,"(15, 24]","(22, 27]",Male,25,30,307,318,0.833,0.965,0.863,0.248
4,"(15, 24]","(27, 32]",Female,8,4,42,39,2.000,1.077,1.857,1.213
5,"(15, 24]","(27, 32]",Male,6,6,68,61,1.000,1.115,0.897,0.543
6,"(15, 24]","(32, 37]",Female,4,5,11,12,0.800,0.917,0.873,0.691
7,"(15, 24]","(32, 37]",Male,8,2,51,30,4.000,1.700,2.353,1.941
8,"(15, 24]","(37, 42]",Female,8,4,7,9,2.000,0.778,2.571,2.043
9,"(15, 24]","(42, 47]",Female,3,1,3,2,3.000,1.500,2.000,2.946
10,"(15, 24]","(42, 47]",Male,3,1,13,2,3.000,6.500,0.462,0.638
11,"(15, 24]","(47, 52]",Female,4,1,4,4,4.000,1.000,4.000,5.295
12,"(24, 34]","(15, 22]",Female,12,11,26,31,1.091,0.839,1.301,0.647
13,"(24, 34]","(15, 22]",Male,23,23,93,125,1.000,0.744,1.344,0.442
14,"(24, 34]","(22, 27]",Female,18,27,62,87,0.667,0.713,0.935,0.328
15,"(24, 34]","(22, 27]",Male,29,31,206,252,0.935,0.817,1.144,0.320
16,"(24, 34]","(27, 32]",Female,23,21,67,82,1.095,0.817,1.340,0.466
17,"(24, 34]","(27, 32]",Male,27,32,137,155,0.844,0.884,0.955,0.278
18,"(24, 34]","(32, 37]",Female,6,9,56,58,0.667,0.966,0.690,0.388
19,"(24, 34]","(32, 37]",Male,10,12,67,67,0.833,1.000,0.833,0.387
20,"(24, 34]","(37, 42]",Female,6,5,22,25,1.200,0.880,1.364,0.919
21,"(24, 34]","(37, 42]",Male,13,6,22,33,2.167,0.667,3.250,1.844
22,"(24, 34]","(42, 47]",Male,4,2,24,14,2.000,1.714,1.167,1.085
23,"(24, 34]","(47, 52]",Female,2,2,4,4,1.000,1.000,1.000,1.226
24,"(24, 34]","(47, 52]",Male,5,1,11,7,5.000,1.571,3.182,3.813
25,"(34, 54]","(15, 22]",Female,4,7,2,9,0.571,0.222,2.571,2.580
26,"(34, 54]","(15, 22]",Male,2,3,13,27,0.667,0.481,1.385,1.349
27,"(34, 54]","(22, 27]",Female,7,9,13,23,0.778,0.565,1.376,0.845
