,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,782,710,1468,1935,1.101,0.759,1.452,0.116
1,"(15, 24]","(15, 22]",Male,626,452,6611,6813,1.385,0.970,1.427,0.116
2,"(15, 24]","(22, 27]",Female,177,157,769,880,1.127,0.874,1.290,0.168
3,"(15, 24]","(22, 27]",Male,179,124,2100,1932,1.444,1.087,1.328,0.174
4,"(15, 24]","(27, 32]",Female,72,40,300,299,1.800,1.003,1.794,0.393
5,"(15, 24]","(27, 32]",Male,61,39,648,471,1.564,1.376,1.137,0.250
6,"(15, 24]","(32, 37]",Female,31,22,115,98,1.409,1.173,1.201,0.378
7,"(15, 24]","(32, 37]",Male,44,18,256,172,2.444,1.488,1.642,0.494
8,"(15, 24]","(37, 42]",Female,29,14,63,35,2.071,1.800,1.151,0.450
9,"(15, 24]","(37, 42]",Male,26,12,127,75,2.167,1.693,1.280,0.488
10,"(15, 24]","(42, 47]",Female,11,2,36,21,5.500,1.714,3.208,2.624
11,"(15, 24]","(42, 47]",Male,19,3,97,35,6.333,2.771,2.285,1.494
12,"(15, 24]","(47, 52]",Female,11,2,20,8,5.500,2.500,2.200,1.928
13,"(15, 24]","(52, 57]",Female,4,1,15,3,4.000,5.000,0.800,1.028
14,"(15, 24]","(52, 57]",Male,3,2,28,7,1.500,4.000,0.375,0.378
15,"(15, 24]","(57, 62]",Male,2,1,15,6,2.000,2.500,0.800,1.054
16,"(15, 24]","(62, 67]",Female,2,2,4,2,1.000,2.000,0.500,0.662
17,"(24, 34]","(15, 22]",Female,69,77,130,218,0.896,0.596,1.503,0.309
18,"(24, 34]","(15, 22]",Male,176,144,754,871,1.222,0.866,1.412,0.187
19,"(24, 34]","(22, 27]",Female,117,122,360,480,0.959,0.750,1.279,0.199
20,"(24, 34]","(22, 27]",Male,216,207,1338,1527,1.043,0.876,1.191,0.138
21,"(24, 34]","(27, 32]",Female,97,104,410,483,0.933,0.849,1.099,0.180
22,"(24, 34]","(27, 32]",Male,187,138,966,1016,1.355,0.951,1.425,0.186
23,"(24, 34]","(32, 37]",Female,54,45,291,310,1.200,0.939,1.278,0.286
24,"(24, 34]","(32, 37]",Male,98,65,481,401,1.508,1.200,1.257,0.227
25,"(24, 34]","(37, 42]",Female,29,20,121,128,1.450,0.945,1.534,0.492
26,"(24, 34]","(37, 42]",Male,51,34,231,173,1.500,1.335,1.123,0.279
27,"(24, 34]","(42, 47]",Female,9,13,70,54,0.692,1.296,0.534,0.252
28,"(24, 34]","(42, 47]",Male,30,13,121,76,2.308,1.592,1.449,0.531
29,"(24, 34]","(47, 52]",Female,11,2,32,12,5.500,2.667,2.062,1.735
30,"(24, 34]","(47, 52]",Male,10,5,75,37,2.000,2.027,0.987,0.578
31,"(24, 34]","(52, 57]",Female,6,5,25,8,1.200,3.125,0.384,0.281
32,"(24, 34]","(57, 62]",Male,1,1,22,7,1.000,3.143,0.318,0.471
33,"(24, 34]","(67, 72]",Female,2,1,7,4,2.000,1.750,1.143,1.573
34,"(34, 54]","(15, 22]",Female,11,32,33,70,0.344,0.471,0.729,0.300
35,"(34, 54]","(15, 22]",Male,33,33,132,261,1.000,0.506,1.977,0.540
36,"(34, 54]","(22, 27]",Female,27,53,60,130,0.509,0.462,1.104,0.318
37,"(34, 54]","(22, 27]",Male,53,73,250,400,0.726,0.625,1.162,0.237
38,"(34, 54]","(27, 32]",Female,41,42,94,192,0.976,0.490,1.994,0.514
39,"(34, 54]","(27, 32]",Male,87,100,289,349,0.870,0.828,1.051,0.183
40,"(34, 54]","(32, 37]",Female,39,35,153,239,1.114,0.640,1.741,0.452
41,"(34, 54]","(32, 37]",Male,111,99,290,416,1.121,0.697,1.608,0.267
42,"(34, 54]","(37, 42]",Female,36,30,181,259,1.200,0.699,1.717,0.464
43,"(34, 54]","(37, 42]",Male,109,121,298,351,0.901,0.849,1.061,0.172
44,"(34, 54]","(42, 47]",Female,28,30,177,224,0.933,0.790,1.181,0.338
45,"(34, 54]","(42, 47]",Male,70,62,197,185,1.129,1.065,1.060,0.221
46,"(34, 54]","(47, 52]",Female,16,15,170,167,1.067,1.018,1.048,0.397
47,"(34, 54]","(47, 52]",Male,41,46,139,127,0.891,1.094,0.814,0.206
48,"(34, 54]","(52, 57]",Female,8,7,105,93,1.143,1.129,1.012,0.546
49,"(34, 54]","(52, 57]",Male,24,13,106,79,1.846,1.342,1.376,0.521
50,"(34, 54]","(57, 62]",Female,5,2,52,58,2.500,0.897,2.788,2.397
51,"(34, 54]","(57, 62]",Male,7,8,52,31,0.875,1.677,0.522,0.296
52,"(34, 54]","(62, 67]",Female,8,3,27,17,2.667,1.588,1.679,1.253
53,"(34, 54]","(62, 67]",Male,3,4,31,18,0.750,1.722,0.435,0.357
