,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,1152,1159,1094,1363,0.994,0.803,1.238,0.095
1,"(15, 24]","(15, 22]",Male,806,609,2333,2176,1.323,1.072,1.234,0.098
2,"(15, 24]","(22, 27]",Female,200,160,477,533,1.250,0.895,1.397,0.186
3,"(15, 24]","(22, 27]",Male,138,110,464,352,1.255,1.318,0.952,0.147
4,"(15, 24]","(27, 32]",Female,49,29,141,133,1.690,1.060,1.594,0.428
5,"(15, 24]","(27, 32]",Male,30,12,121,87,2.500,1.391,1.798,0.670
6,"(15, 24]","(32, 37]",Female,51,29,52,51,1.759,1.020,1.725,0.533
7,"(15, 24]","(32, 37]",Male,33,19,69,44,1.737,1.568,1.108,0.388
8,"(15, 24]","(37, 42]",Female,115,61,28,18,1.885,1.556,1.212,0.418
9,"(15, 24]","(37, 42]",Male,79,33,63,34,2.394,1.853,1.292,0.389
10,"(15, 24]","(42, 47]",Female,135,59,38,29,2.288,1.310,1.746,0.517
11,"(15, 24]","(42, 47]",Male,80,29,61,31,2.759,1.968,1.402,0.439
12,"(15, 24]","(47, 52]",Female,85,43,41,20,1.977,2.050,0.964,0.323
13,"(15, 24]","(47, 52]",Male,43,20,68,26,2.150,2.615,0.822,0.295
14,"(15, 24]","(52, 57]",Female,61,23,31,11,2.652,2.818,0.941,0.405
15,"(15, 24]","(52, 57]",Male,33,10,30,16,3.300,1.875,1.760,0.842
16,"(15, 24]","(57, 62]",Female,31,7,16,3,4.429,5.333,0.830,0.629
17,"(15, 24]","(57, 62]",Male,24,5,28,6,4.800,4.667,1.029,0.687
18,"(15, 24]","(62, 67]",Female,20,4,10,3,5.000,3.333,1.500,1.287
19,"(15, 24]","(62, 67]",Male,10,3,19,3,3.333,6.333,0.526,0.477
20,"(15, 24]","(67, 72]",Female,17,5,6,2,3.400,3.000,1.133,1.092
21,"(15, 24]","(67, 72]",Male,12,1,14,1,12.000,14.000,0.857,1.259
22,"(15, 24]","(72, 77]",Male,4,1,12,1,4.000,12.000,0.333,0.509
23,"(15, 24]","(77, 82]",Female,9,2,8,4,4.500,2.000,2.250,2.237
24,"(15, 24]","(77, 82]",Male,10,2,9,1,5.000,9.000,0.556,0.727
25,"(24, 34]","(15, 22]",Female,68,86,58,80,0.791,0.725,1.091,0.264
26,"(24, 34]","(15, 22]",Male,125,95,154,180,1.316,0.856,1.538,0.280
27,"(24, 34]","(22, 27]",Female,124,121,264,313,1.025,0.843,1.215,0.195
28,"(24, 34]","(22, 27]",Male,213,183,288,298,1.164,0.966,1.204,0.168
29,"(24, 34]","(27, 32]",Female,102,92,400,450,1.109,0.889,1.247,0.208
30,"(24, 34]","(27, 32]",Male,177,132,237,202,1.341,1.173,1.143,0.180
31,"(24, 34]","(32, 37]",Female,73,43,274,282,1.698,0.972,1.747,0.377
32,"(24, 34]","(32, 37]",Male,77,45,114,91,1.711,1.253,1.366,0.327
33,"(24, 34]","(37, 42]",Female,37,27,114,113,1.370,1.009,1.358,0.394
34,"(24, 34]","(37, 42]",Male,35,31,66,55,1.129,1.200,0.941,0.293
35,"(24, 34]","(42, 47]",Female,48,17,66,47,2.824,1.404,2.011,0.692
36,"(24, 34]","(42, 47]",Male,22,11,45,28,2.000,1.607,1.244,0.552
37,"(24, 34]","(47, 52]",Female,50,38,36,27,1.316,1.333,0.987,0.333
38,"(24, 34]","(47, 52]",Male,35,19,45,22,1.842,2.045,0.901,0.350
39,"(24, 34]","(52, 57]",Female,56,25,37,19,2.240,1.947,1.150,0.430
40,"(24, 34]","(52, 57]",Male,13,7,33,16,1.857,2.062,0.900,0.505
41,"(24, 34]","(57, 62]",Female,40,17,24,9,2.353,2.667,0.882,0.431
42,"(24, 34]","(57, 62]",Male,14,5,29,7,2.800,4.143,0.676,0.454
43,"(24, 34]","(62, 67]",Female,6,3,12,2,2.000,6.000,0.333,0.347
44,"(24, 34]","(62, 67]",Male,9,1,27,8,9.000,3.375,2.667,3.012
45,"(24, 34]","(67, 72]",Female,16,7,6,3,2.286,2.000,1.143,0.962
46,"(24, 34]","(67, 72]",Male,8,2,17,3,4.000,5.667,0.706,0.713
47,"(24, 34]","(72, 77]",Female,13,4,8,3,3.250,2.667,1.219,1.082
48,"(24, 34]","(72, 77]",Male,5,2,9,2,2.500,4.500,0.556,0.637
49,"(24, 34]","(77, 82]",Female,3,1,6,3,3.000,2.000,1.500,2.032
50,"(34, 54]","(15, 22]",Female,148,254,82,188,0.583,0.436,1.336,0.234
51,"(34, 54]","(15, 22]",Male,45,70,99,153,0.643,0.647,0.994,0.234
52,"(34, 54]","(22, 27]",Female,71,141,51,111,0.504,0.459,1.096,0.251
53,"(34, 54]","(22, 27]",Male,41,53,62,109,0.774,0.569,1.360,0.363
54,"(34, 54]","(27, 32]",Female,93,130,65,125,0.715,0.520,1.376,0.290
55,"(34, 54]","(27, 32]",Male,104,96,102,124,1.083,0.823,1.317,0.265
56,"(34, 54]","(32, 37]",Female,68,104,178,225,0.654,0.791,0.826,0.159
57,"(34, 54]","(32, 37]",Male,130,117,107,122,1.111,0.877,1.267,0.241
58,"(34, 54]","(37, 42]",Female,88,106,321,357,0.830,0.899,0.923,0.158
59,"(34, 54]","(37, 42]",Male,188,156,135,141,1.205,0.957,1.259,0.213
60,"(34, 54]","(42, 47]",Female,102,93,354,429,1.097,0.825,1.329,0.223
61,"(34, 54]","(42, 47]",Male,161,146,96,94,1.103,1.021,1.080,0.207
62,"(34, 54]","(47, 52]",Female,88,83,455,473,1.060,0.962,1.102,0.192
63,"(34, 54]","(47, 52]",Male,138,120,96,63,1.150,1.524,0.755,0.159
64,"(34, 54]","(52, 57]",Female,92,53,404,361,1.736,1.119,1.551,0.300
65,"(34, 54]","(52, 57]",Male,67,50,101,67,1.340,1.507,0.889,0.222
66,"(34, 54]","(57, 62]",Female,67,52,195,167,1.288,1.168,1.103,0.241
67,"(34, 54]","(57, 62]",Male,37,17,47,32,2.176,1.469,1.482,0.556
68,"(34, 54]","(62, 67]",Female,71,43,111,74,1.651,1.500,1.101,0.275
69,"(34, 54]","(62, 67]",Male,32,12,40,25,2.667,1.600,1.667,0.711
70,"(34, 54]","(67, 72]",Female,68,35,63,42,1.943,1.500,1.295,0.379
71,"(34, 54]","(67, 72]",Male,37,21,50,13,1.762,3.846,0.458,0.191
72,"(34, 54]","(72, 77]",Female,71,26,49,24,2.731,2.042,1.338,0.458
73,"(34, 54]","(72, 77]",Male,26,6,52,11,4.333,4.727,0.917,0.517
74,"(34, 54]","(77, 82]",Female,25,9,30,12,2.778,2.500,1.111,0.578
75,"(34, 54]","(77, 82]",Male,23,8,23,7,2.875,3.286,0.875,0.523
76,"(34, 54]","(82, 87]",Female,12,4,22,6,3.000,3.667,0.818,0.606
77,"(34, 54]","(87, 92]",Female,2,1,11,5,2.000,2.200,0.909,1.217
78,"(54, 100]","(15, 22]",Female,30,139,11,102,0.216,0.108,2.001,0.759
79,"(54, 100]","(15, 22]",Male,16,49,15,77,0.327,0.195,1.676,0.681
80,"(54, 100]","(22, 27]",Female,29,157,14,71,0.185,0.197,0.937,0.336
81,"(54, 100]","(22, 27]",Male,9,43,8,45,0.209,0.178,1.177,0.628
82,"(54, 100]","(27, 32]",Female,47,161,19,80,0.292,0.237,1.229,0.379
83,"(54, 100]","(27, 32]",Male,15,43,27,57,0.349,0.474,0.736,0.282
84,"(54, 100]","(32, 37]",Female,60,215,22,94,0.279,0.234,1.192,0.337
85,"(54, 100]","(32, 37]",Male,23,55,23,76,0.418,0.303,1.382,0.480
86,"(54, 100]","(37, 42]",Female,76,268,30,103,0.284,0.291,0.974,0.243
87,"(54, 100]","(37, 42]",Male,24,73,32,69,0.329,0.464,0.709,0.228
88,"(54, 100]","(42, 47]",Female,91,299,43,146,0.304,0.295,1.033,0.224
89,"(54, 100]","(42, 47]",Male,36,89,31,95,0.404,0.326,1.240,0.360
90,"(54, 100]","(47, 52]",Female,117,348,70,207,0.336,0.338,0.994,0.181
91,"(54, 100]","(47, 52]",Male,63,112,30,90,0.562,0.333,1.688,0.452
