,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.260,0.060,19.000
1,"(22, 27]",1.187,0.078,25.000
2,"(27, 32]",1.265,0.100,30.000
3,"(32, 37]",1.255,0.109,35.000
4,"(37, 42]",1.068,0.091,40.000
5,"(42, 47]",1.279,0.112,45.000
6,"(47, 52]",1.010,0.088,50.000
7,"(52, 57]",0.947,0.080,55.000
8,"(57, 62]",0.815,0.068,60.000
9,"(62, 67]",0.752,0.062,65.000
10,"(67, 72]",0.766,0.060,70.000
11,"(72, 77]",0.758,0.057,75.000
12,"(77, 82]",0.785,0.063,80.000
13,"(82, 87]",0.898,0.092,85.000
14,"(87, 92]",0.750,0.126,90.000
15,"(92, 97]",1.243,0.590,95.000
