,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,2139,2078,3051,3552,1.029,0.859,1.198,0.076
1,"(15, 24]","(15, 22]",Male,1521,1116,8531,8163,1.363,1.045,1.304,0.085
2,"(15, 24]","(22, 27]",Female,358,339,1315,1390,1.056,0.946,1.116,0.110
3,"(15, 24]","(22, 27]",Male,291,178,1981,1640,1.635,1.208,1.353,0.152
4,"(15, 24]","(27, 32]",Female,148,105,450,471,1.410,0.955,1.475,0.224
5,"(15, 24]","(27, 32]",Male,103,61,588,391,1.689,1.504,1.123,0.204
6,"(15, 24]","(32, 37]",Female,127,65,166,119,1.954,1.395,1.401,0.281
7,"(15, 24]","(32, 37]",Male,84,46,257,143,1.826,1.797,1.016,0.220
8,"(15, 24]","(37, 42]",Female,167,76,83,49,2.197,1.694,1.297,0.302
9,"(15, 24]","(37, 42]",Male,96,41,176,95,2.341,1.853,1.264,0.292
10,"(15, 24]","(42, 47]",Female,142,63,55,35,2.254,1.571,1.434,0.385
11,"(15, 24]","(42, 47]",Male,64,32,136,50,2.000,2.720,0.735,0.204
12,"(15, 24]","(47, 52]",Female,79,32,53,29,2.469,1.828,1.351,0.427
13,"(15, 24]","(47, 52]",Male,40,12,126,39,3.333,3.231,1.032,0.392
14,"(15, 24]","(52, 57]",Female,61,25,34,17,2.440,2.000,1.220,0.468
15,"(15, 24]","(52, 57]",Male,19,10,62,18,1.900,3.444,0.552,0.263
16,"(15, 24]","(57, 62]",Female,38,12,26,11,3.167,2.364,1.340,0.658
17,"(15, 24]","(57, 62]",Male,29,4,43,16,7.250,2.688,2.698,1.647
18,"(15, 24]","(62, 67]",Female,23,3,30,6,7.667,5.000,1.533,1.167
19,"(15, 24]","(62, 67]",Male,16,8,46,11,2.000,4.182,0.478,0.263
20,"(15, 24]","(67, 72]",Male,7,3,22,5,2.333,4.400,0.530,0.451
21,"(15, 24]","(72, 77]",Female,3,2,16,2,1.500,8.000,0.188,0.222
22,"(24, 34]","(15, 22]",Female,162,162,188,267,1.000,0.704,1.420,0.220
23,"(24, 34]","(15, 22]",Male,279,262,745,780,1.065,0.955,1.115,0.125
24,"(24, 34]","(22, 27]",Female,270,261,555,719,1.034,0.772,1.340,0.154
25,"(24, 34]","(22, 27]",Male,431,341,1118,1006,1.264,1.111,1.137,0.112
26,"(24, 34]","(27, 32]",Female,209,186,787,964,1.124,0.816,1.376,0.168
27,"(24, 34]","(27, 32]",Male,294,210,814,707,1.400,1.151,1.216,0.140
28,"(24, 34]","(32, 37]",Female,126,114,543,584,1.105,0.930,1.189,0.179
29,"(24, 34]","(32, 37]",Male,147,86,399,316,1.709,1.263,1.354,0.221
30,"(24, 34]","(37, 42]",Female,67,42,252,239,1.595,1.054,1.513,0.336
31,"(24, 34]","(37, 42]",Male,72,31,194,113,2.323,1.717,1.353,0.339
32,"(24, 34]","(42, 47]",Female,51,37,108,72,1.378,1.500,0.919,0.247
33,"(24, 34]","(42, 47]",Male,44,18,115,60,2.444,1.917,1.275,0.416
34,"(24, 34]","(47, 52]",Female,75,42,72,50,1.786,1.440,1.240,0.336
35,"(24, 34]","(47, 52]",Male,35,15,92,42,2.333,2.190,1.065,0.388
36,"(24, 34]","(52, 57]",Female,65,31,63,31,2.097,2.032,1.032,0.323
37,"(24, 34]","(52, 57]",Male,17,8,74,32,2.125,2.312,0.919,0.442
38,"(24, 34]","(57, 62]",Female,44,15,43,18,2.933,2.389,1.228,0.507
39,"(24, 34]","(57, 62]",Male,18,5,48,18,3.600,2.667,1.350,0.781
40,"(24, 34]","(62, 67]",Female,26,13,28,11,2.000,2.545,0.786,0.389
41,"(24, 34]","(62, 67]",Male,14,2,40,13,7.000,3.077,2.275,1.870
42,"(24, 34]","(67, 72]",Female,11,4,20,6,2.750,3.333,0.825,0.617
