,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,28,33,62,65,0.848,0.954,0.890,0.281
1,"(15, 24]","(15, 22]",Male,23,26,123,163,0.885,0.755,1.172,0.368
2,"(15, 24]","(22, 27]",Female,6,5,27,38,1.200,0.711,1.689,1.111
3,"(15, 24]","(22, 27]",Male,6,6,34,38,1.000,0.895,1.118,0.699
4,"(15, 24]","(27, 32]",Female,1,1,10,10,1.000,1.000,1.000,1.484
5,"(15, 24]","(32, 37]",Male,4,4,3,5,1.000,0.600,1.667,1.696
6,"(15, 24]","(37, 42]",Female,5,2,3,2,2.500,1.500,1.667,2.065
7,"(15, 24]","(37, 42]",Male,1,1,3,1,1.000,3.000,0.333,0.609
8,"(15, 24]","(52, 57]",Female,2,1,1,2,2.000,0.500,4.000,6.931
9,"(24, 34]","(15, 22]",Female,4,6,4,4,0.667,1.000,0.667,0.639
10,"(24, 34]","(15, 22]",Male,9,11,9,13,0.818,0.692,1.182,0.740
11,"(24, 34]","(22, 27]",Female,3,6,12,14,0.500,0.857,0.583,0.473
12,"(24, 34]","(22, 27]",Male,11,13,26,29,0.846,0.897,0.944,0.466
13,"(24, 34]","(27, 32]",Female,7,4,18,24,1.750,0.750,2.333,1.638
14,"(24, 34]","(27, 32]",Male,7,8,22,19,0.875,1.158,0.756,0.459
15,"(24, 34]","(32, 37]",Male,4,3,10,6,1.333,1.667,0.800,0.739
16,"(24, 34]","(37, 42]",Female,2,4,7,6,0.500,1.167,0.429,0.442
17,"(24, 34]","(37, 42]",Male,1,4,3,8,0.250,0.375,0.667,0.872
18,"(24, 34]","(42, 47]",Female,1,2,6,6,0.500,1.000,0.500,0.677
19,"(24, 34]","(47, 52]",Male,2,1,2,1,2.000,2.000,1.000,1.733
20,"(34, 54]","(15, 22]",Female,2,4,1,2,0.500,0.500,1.000,1.501
21,"(34, 54]","(22, 27]",Female,3,4,3,5,0.750,0.600,1.250,1.322
22,"(34, 54]","(22, 27]",Male,6,6,7,7,1.000,1.000,1.000,0.788
23,"(34, 54]","(27, 32]",Male,3,4,8,8,0.750,1.000,0.750,0.686
24,"(34, 54]","(32, 37]",Female,5,7,6,13,0.714,0.462,1.548,1.188
25,"(34, 54]","(32, 37]",Male,6,5,6,7,1.200,0.857,1.400,1.153
26,"(34, 54]","(37, 42]",Male,10,9,12,11,1.111,1.091,1.019,0.634
27,"(34, 54]","(42, 47]",Female,4,4,9,5,1.000,1.800,0.556,0.501
28,"(34, 54]","(42, 47]",Male,9,6,6,5,1.500,1.200,1.250,1.005
29,"(34, 54]","(47, 52]",Female,1,2,10,15,0.500,0.667,0.750,0.969
30,"(34, 54]","(47, 52]",Male,4,6,9,7,0.667,1.286,0.519,0.425
31,"(34, 54]","(52, 57]",Female,2,1,8,6,2.000,1.333,1.500,2.009
32,"(34, 54]","(52, 57]",Male,3,1,2,4,3.000,0.500,6.000,8.665
33,"(34, 54]","(67, 72]",Female,1,1,3,2,1.000,1.500,0.667,1.123
34,"(54, 100]","(37, 42]",Male,2,1,2,2,2.000,1.000,2.000,3.164
35,"(54, 100]","(42, 47]",Male,1,2,2,3,0.500,0.667,0.750,1.146
36,"(54, 100]","(47, 52]",Male,1,3,2,2,0.333,1.000,0.333,0.509
37,"(54, 100]","(52, 57]",Female,1,2,3,7,0.500,0.429,1.167,1.641
38,"(54, 100]","(52, 57]",Male,5,3,3,4,1.667,0.750,2.222,2.351
39,"(54, 100]","(57, 62]",Female,4,9,10,7,0.444,1.429,0.311,0.242
40,"(54, 100]","(57, 62]",Male,1,3,2,2,0.333,1.000,0.333,0.509
41,"(54, 100]","(62, 67]",Male,3,3,2,1,1.000,2.000,0.500,0.736
42,"(54, 100]","(72, 77]",Female,3,2,11,5,1.500,2.200,0.682,0.724
43,"(54, 100]","(77, 82]",Male,4,2,2,1,2.000,2.000,1.000,1.501
