,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,35,45,94,121,0.778,0.777,1.001,0.269
1,"(15, 24]","(15, 22]",Male,40,44,288,328,0.909,0.878,1.035,0.247
2,"(15, 24]","(22, 27]",Female,6,7,55,64,0.857,0.859,0.997,0.587
3,"(15, 24]","(22, 27]",Male,8,6,74,88,1.333,0.841,1.586,0.896
4,"(15, 24]","(27, 32]",Female,3,4,17,24,0.750,0.708,1.059,0.877
5,"(15, 24]","(32, 37]",Female,2,1,9,7,2.000,1.286,1.556,2.062
6,"(15, 24]","(32, 37]",Male,4,3,10,7,1.333,1.429,0.933,0.850
7,"(15, 24]","(42, 47]",Male,1,1,5,2,1.000,2.500,0.400,0.658
8,"(24, 34]","(15, 22]",Female,1,6,10,15,0.167,0.667,0.250,0.289
9,"(24, 34]","(15, 22]",Male,11,14,24,23,0.786,1.043,0.753,0.376
10,"(24, 34]","(22, 27]",Female,4,7,20,38,0.571,0.526,1.086,0.746
11,"(24, 34]","(22, 27]",Male,10,18,40,58,0.556,0.690,0.806,0.361
12,"(24, 34]","(27, 32]",Female,6,11,22,39,0.545,0.564,0.967,0.556
13,"(24, 34]","(27, 32]",Male,15,18,51,38,0.833,1.342,0.621,0.256
14,"(24, 34]","(32, 37]",Female,3,2,17,20,1.500,0.850,1.765,1.715
15,"(24, 34]","(32, 37]",Male,9,7,29,19,1.286,1.526,0.842,0.494
16,"(24, 34]","(37, 42]",Female,3,3,12,13,1.000,0.923,1.083,0.987
17,"(24, 34]","(37, 42]",Male,2,3,10,10,0.667,1.000,0.667,0.679
18,"(24, 34]","(42, 47]",Female,2,2,5,2,1.000,2.500,0.400,0.522
19,"(24, 34]","(42, 47]",Male,3,1,8,4,3.000,2.000,1.500,1.962
20,"(34, 54]","(15, 22]",Male,1,4,7,10,0.250,0.700,0.357,0.437
21,"(34, 54]","(22, 27]",Female,4,3,3,8,1.333,0.375,3.556,3.633
22,"(34, 54]","(22, 27]",Male,1,2,10,17,0.500,0.588,0.850,1.096
23,"(34, 54]","(27, 32]",Female,2,3,12,20,0.667,0.600,1.111,1.094
24,"(34, 54]","(27, 32]",Male,5,9,15,15,0.556,1.000,0.556,0.371
25,"(34, 54]","(32, 37]",Female,4,6,14,17,0.667,0.824,0.810,0.600
26,"(34, 54]","(32, 37]",Male,8,10,15,32,0.800,0.469,1.707,0.974
27,"(34, 54]","(37, 42]",Female,6,4,14,12,1.500,1.167,1.286,0.974
28,"(34, 54]","(37, 42]",Male,9,7,19,27,1.286,0.704,1.827,1.075
29,"(34, 54]","(42, 47]",Female,2,2,15,10,1.000,1.500,0.667,0.721
30,"(34, 54]","(42, 47]",Male,6,8,9,13,0.750,0.692,1.083,0.752
31,"(34, 54]","(47, 52]",Female,3,3,8,8,1.000,1.000,1.000,0.959
32,"(34, 54]","(47, 52]",Male,4,1,9,2,4.000,4.500,0.889,1.213
33,"(54, 100]","(27, 32]",Male,1,1,1,2,1.000,0.500,2.000,3.743
34,"(54, 100]","(52, 57]",Male,1,3,3,5,0.333,0.600,0.556,0.760
35,"(54, 100]","(57, 62]",Female,1,1,2,2,1.000,1.000,1.000,1.733
36,"(54, 100]","(62, 67]",Male,1,2,1,1,0.500,1.000,0.500,0.936
