,Age,R,DeltaR
0,2.5,1.0,inf
1,7.5,1.0,inf
2,12.5,1.0,inf
3,17.5,0.970843180268328,0.12420417796349105
4,22.5,1.0860474668740607,0.20635723667989184
5,27.5,0.8539088568214989,0.18958839892946
6,32.5,1.2067405862884573,0.30217631447024873
7,37.5,1.1007809956100618,0.31441440516704516
8,42.5,0.8132133769334038,0.28366342585986776
9,47.5,0.6864920835240502,0.324685422196334
10,52.5,1.8450929446774444,1.0151141256891825
11,57.5,0.37009575246743814,0.2383966910931531
12,62.5,0.5000000000000001,0.5786956102436842
13,67.5,0.6666666666666666,1.1226621799857561
14,72.5,0.6818181818181818,0.7237372095310594
15,77.5,1.0,1.5008331019803633
16,82.5,1.0,inf
17,87.5,1.0,inf
18,92.5,1.0,inf
19,97.5,1.0,inf
