,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,1268,1279,1261,1566,0.991,0.805,1.231,0.091
1,"(15, 24]","(15, 22]",Male,861,678,2943,2913,1.270,1.010,1.257,0.096
2,"(15, 24]","(22, 27]",Female,227,201,577,659,1.129,0.876,1.290,0.159
3,"(15, 24]","(22, 27]",Male,157,134,737,632,1.172,1.166,1.005,0.139
4,"(15, 24]","(27, 32]",Female,56,32,173,162,1.750,1.068,1.639,0.413
5,"(15, 24]","(27, 32]",Male,35,18,181,142,1.944,1.275,1.525,0.480
6,"(15, 24]","(32, 37]",Female,55,34,58,60,1.618,0.967,1.673,0.485
7,"(15, 24]","(32, 37]",Male,37,17,117,69,2.176,1.696,1.284,0.428
8,"(15, 24]","(37, 42]",Female,118,63,32,25,1.873,1.280,1.463,0.458
9,"(15, 24]","(37, 42]",Male,81,32,80,41,2.531,1.951,1.297,0.374
10,"(15, 24]","(42, 47]",Female,137,60,37,29,2.283,1.276,1.790,0.531
11,"(15, 24]","(42, 47]",Male,81,30,72,31,2.700,2.323,1.163,0.357
12,"(15, 24]","(47, 52]",Female,89,44,45,24,2.023,1.875,1.079,0.342
13,"(15, 24]","(47, 52]",Male,43,21,76,30,2.048,2.533,0.808,0.280
14,"(15, 24]","(52, 57]",Female,59,23,32,12,2.565,2.667,0.962,0.405
15,"(15, 24]","(52, 57]",Male,36,11,34,16,3.273,2.125,1.540,0.711
16,"(15, 24]","(57, 62]",Female,32,7,17,3,4.571,5.667,0.807,0.608
17,"(15, 24]","(57, 62]",Male,23,5,28,9,4.600,3.111,1.479,0.927
18,"(15, 24]","(62, 67]",Female,20,4,11,3,5.000,3.667,1.364,1.162
19,"(15, 24]","(62, 67]",Male,10,3,21,3,3.333,7.000,0.476,0.430
20,"(15, 24]","(67, 72]",Female,17,5,7,3,3.400,2.333,1.457,1.251
21,"(15, 24]","(67, 72]",Male,10,1,14,1,10.000,14.000,0.714,1.053
22,"(15, 24]","(72, 77]",Male,4,1,13,1,4.000,13.000,0.308,0.470
23,"(15, 24]","(77, 82]",Female,9,2,8,4,4.500,2.000,2.250,2.237
24,"(15, 24]","(77, 82]",Male,10,2,9,1,5.000,9.000,0.556,0.727
25,"(24, 34]","(15, 22]",Female,76,91,80,107,0.835,0.748,1.117,0.246
26,"(24, 34]","(15, 22]",Male,139,107,238,292,1.299,0.815,1.594,0.260
27,"(24, 34]","(22, 27]",Female,139,142,314,386,0.979,0.813,1.203,0.181
28,"(24, 34]","(22, 27]",Male,231,201,468,521,1.149,0.898,1.279,0.161
29,"(24, 34]","(27, 32]",Female,118,109,449,508,1.083,0.884,1.225,0.191
30,"(24, 34]","(27, 32]",Male,197,156,352,338,1.263,1.041,1.213,0.171
31,"(24, 34]","(32, 37]",Female,77,52,318,329,1.481,0.967,1.532,0.310
32,"(24, 34]","(32, 37]",Male,83,54,171,152,1.537,1.125,1.366,0.291
33,"(24, 34]","(37, 42]",Female,41,28,129,132,1.464,0.977,1.498,0.418
34,"(24, 34]","(37, 42]",Male,47,33,85,80,1.424,1.062,1.340,0.375
35,"(24, 34]","(42, 47]",Female,47,19,75,53,2.474,1.415,1.748,0.576
36,"(24, 34]","(42, 47]",Male,25,13,67,40,1.923,1.675,1.148,0.458
37,"(24, 34]","(47, 52]",Female,50,36,38,31,1.389,1.226,1.133,0.374
38,"(24, 34]","(47, 52]",Male,38,19,54,28,2.000,1.929,1.037,0.382
39,"(24, 34]","(52, 57]",Female,57,25,39,21,2.280,1.857,1.228,0.448
40,"(24, 34]","(52, 57]",Male,13,8,38,17,1.625,2.235,0.727,0.391
41,"(24, 34]","(57, 62]",Female,40,17,24,8,2.353,3.000,0.784,0.394
42,"(24, 34]","(57, 62]",Male,15,5,32,9,3.000,3.556,0.844,0.541
43,"(24, 34]","(62, 67]",Female,6,3,16,3,2.000,5.333,0.375,0.355
44,"(24, 34]","(62, 67]",Male,9,1,26,8,9.000,3.250,2.769,3.129
45,"(24, 34]","(67, 72]",Female,15,7,6,4,2.143,1.500,1.429,1.133
46,"(24, 34]","(67, 72]",Male,8,2,18,3,4.000,6.000,0.667,0.672
47,"(24, 34]","(72, 77]",Female,13,4,8,4,3.250,2.000,1.625,1.364
48,"(24, 34]","(72, 77]",Male,5,2,9,2,2.500,4.500,0.556,0.637
49,"(24, 34]","(77, 82]",Female,3,1,6,3,3.000,2.000,1.500,2.032
50,"(34, 54]","(15, 22]",Female,150,257,83,195,0.584,0.426,1.371,0.238
51,"(34, 54]","(15, 22]",Male,47,72,109,172,0.653,0.634,1.030,0.236
52,"(34, 54]","(22, 27]",Female,75,146,61,129,0.514,0.473,1.086,0.235
53,"(34, 54]","(22, 27]",Male,44,56,84,158,0.786,0.532,1.478,0.366
54,"(34, 54]","(27, 32]",Female,101,146,72,150,0.692,0.480,1.441,0.288
55,"(34, 54]","(27, 32]",Male,114,115,123,171,0.991,0.719,1.378,0.254
56,"(34, 54]","(32, 37]",Female,74,115,201,262,0.643,0.767,0.839,0.154
57,"(34, 54]","(32, 37]",Male,149,133,138,191,1.120,0.723,1.551,0.265
58,"(34, 54]","(37, 42]",Female,96,114,355,407,0.842,0.872,0.965,0.159
59,"(34, 54]","(37, 42]",Male,207,180,173,189,1.150,0.915,1.256,0.194
60,"(34, 54]","(42, 47]",Female,109,102,395,473,1.069,0.835,1.280,0.207
