,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.275,0.058,19.000
1,"(22, 27]",1.194,0.072,25.000
2,"(27, 32]",1.291,0.094,30.000
3,"(32, 37]",1.309,0.106,35.000
4,"(37, 42]",1.142,0.092,40.000
5,"(42, 47]",1.252,0.104,45.000
6,"(47, 52]",1.070,0.090,50.000
7,"(52, 57]",0.933,0.077,55.000
8,"(57, 62]",0.820,0.067,60.000
9,"(62, 67]",0.753,0.061,65.000
10,"(67, 72]",0.784,0.061,70.000
11,"(72, 77]",0.761,0.057,75.000
12,"(77, 82]",0.784,0.063,80.000
13,"(82, 87]",0.906,0.093,85.000
14,"(87, 92]",0.769,0.128,90.000
15,"(92, 97]",1.243,0.590,95.000
