,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,2886,2743,4425,5366,1.052,0.825,1.276,0.077
1,"(15, 24]","(15, 22]",Male,2107,1524,14853,14647,1.383,1.014,1.363,0.084
2,"(15, 24]","(22, 27]",Female,529,489,2029,2206,1.082,0.920,1.176,0.101
3,"(15, 24]","(22, 27]",Male,462,296,4007,3484,1.561,1.150,1.357,0.126
4,"(15, 24]","(27, 32]",Female,217,141,733,746,1.539,0.983,1.566,0.204
5,"(15, 24]","(27, 32]",Male,164,98,1204,838,1.673,1.437,1.165,0.168
6,"(15, 24]","(32, 37]",Female,156,86,272,210,1.814,1.295,1.400,0.238
7,"(15, 24]","(32, 37]",Male,124,61,503,308,2.033,1.633,1.245,0.223
8,"(15, 24]","(37, 42]",Female,195,90,142,82,2.167,1.732,1.251,0.244
9,"(15, 24]","(37, 42]",Male,120,53,297,167,2.264,1.778,1.273,0.252
10,"(15, 24]","(42, 47]",Female,153,64,88,56,2.391,1.571,1.521,0.353
11,"(15, 24]","(42, 47]",Male,82,34,228,83,2.412,2.747,0.878,0.216
12,"(15, 24]","(47, 52]",Female,90,34,73,37,2.647,1.973,1.342,0.388
13,"(15, 24]","(47, 52]",Male,41,12,184,56,3.417,3.286,1.040,0.380
14,"(15, 24]","(52, 57]",Female,65,26,48,20,2.500,2.400,1.042,0.371
15,"(15, 24]","(52, 57]",Male,22,12,89,24,1.833,3.708,0.494,0.212
16,"(15, 24]","(57, 62]",Female,40,12,32,12,3.333,2.667,1.250,0.593
17,"(15, 24]","(57, 62]",Male,31,5,57,21,6.200,2.714,2.284,1.251
18,"(15, 24]","(62, 67]",Female,25,5,34,8,5.000,4.250,1.176,0.741
19,"(15, 24]","(62, 67]",Male,16,8,53,12,2.000,4.417,0.453,0.245
20,"(15, 24]","(67, 72]",Male,8,3,23,5,2.667,4.600,0.580,0.487
21,"(15, 24]","(72, 77]",Female,3,2,16,3,1.500,5.333,0.281,0.312
22,"(24, 34]","(15, 22]",Female,230,233,308,470,0.987,0.655,1.506,0.194
23,"(24, 34]","(15, 22]",Male,444,392,1475,1628,1.133,0.906,1.250,0.116
24,"(24, 34]","(22, 27]",Female,383,376,895,1161,1.019,0.771,1.321,0.130
25,"(24, 34]","(22, 27]",Male,637,530,2416,2475,1.202,0.976,1.231,0.101
26,"(24, 34]","(27, 32]",Female,300,279,1175,1408,1.075,0.835,1.288,0.135
27,"(24, 34]","(27, 32]",Male,466,330,1729,1685,1.412,1.026,1.376,0.129
28,"(24, 34]","(32, 37]",Female,177,157,817,874,1.127,0.935,1.206,0.157
29,"(24, 34]","(32, 37]",Male,236,144,851,698,1.639,1.219,1.344,0.172
30,"(24, 34]","(37, 42]",Female,93,59,361,354,1.576,1.020,1.546,0.292
31,"(24, 34]","(37, 42]",Male,121,62,415,276,1.952,1.504,1.298,0.236
32,"(24, 34]","(42, 47]",Female,58,48,173,124,1.208,1.395,0.866,0.202
33,"(24, 34]","(42, 47]",Male,71,30,228,132,2.367,1.727,1.370,0.341
34,"(24, 34]","(47, 52]",Female,83,43,103,62,1.930,1.661,1.162,0.293
35,"(24, 34]","(47, 52]",Male,45,19,166,75,2.368,2.213,1.070,0.333
36,"(24, 34]","(52, 57]",Female,71,35,84,38,2.029,2.211,0.918,0.265
37,"(24, 34]","(52, 57]",Male,26,8,112,47,3.250,2.383,1.364,0.604
38,"(24, 34]","(57, 62]",Female,46,15,53,25,3.067,2.120,1.447,0.560
39,"(24, 34]","(57, 62]",Male,19,6,70,25,3.167,2.800,1.131,0.594
40,"(24, 34]","(62, 67]",Female,26,14,33,12,1.857,2.750,0.675,0.321
41,"(24, 34]","(62, 67]",Male,14,2,47,16,7.000,2.938,2.383,1.933
42,"(24, 34]","(67, 72]",Female,13,5,27,10,2.600,2.700,0.963,0.621
43,"(24, 34]","(67, 72]",Male,5,3,22,10,1.667,2.200,0.758,0.625
44,"(24, 34]","(72, 77]",Female,6,1,13,4,6.000,3.250,1.846,2.258
45,"(24, 34]","(72, 77]",Male,6,1,26,15,6.000,1.733,3.462,3.908
46,"(34, 54]","(15, 22]",Female,210,388,144,365,0.541,0.395,1.372,0.192
47,"(34, 54]","(15, 22]",Male,94,120,360,643,0.783,0.560,1.399,0.225
48,"(34, 54]","(22, 27]",Female,145,267,179,312,0.543,0.574,0.947,0.140
49,"(34, 54]","(22, 27]",Male,137,164,467,701,0.835,0.666,1.254,0.175
50,"(34, 54]","(27, 32]",Female,137,200,217,376,0.685,0.577,1.187,0.176
51,"(34, 54]","(27, 32]",Male,226,221,553,632,1.023,0.875,1.169,0.142
52,"(34, 54]","(32, 37]",Female,152,156,439,602,0.974,0.729,1.336,0.186
53,"(34, 54]","(32, 37]",Male,333,278,556,686,1.198,0.810,1.478,0.164
54,"(34, 54]","(37, 42]",Female,158,157,642,763,1.006,0.841,1.196,0.161
55,"(34, 54]","(37, 42]",Male,317,265,575,595,1.196,0.966,1.238,0.140
56,"(34, 54]","(42, 47]",Female,146,132,675,770,1.106,0.877,1.262,0.177
57,"(34, 54]","(42, 47]",Male,265,218,407,360,1.216,1.131,1.075,0.136
58,"(34, 54]","(47, 52]",Female,99,98,720,743,1.010,0.969,1.042,0.167
59,"(34, 54]","(47, 52]",Male,167,175,313,247,0.954,1.267,0.753,0.110
60,"(34, 54]","(52, 57]",Female,88,78,590,596,1.128,0.990,1.140,0.198
61,"(34, 54]","(52, 57]",Male,87,61,236,180,1.426,1.311,1.088,0.218
62,"(34, 54]","(57, 62]",Female,85,44,289,269,1.932,1.074,1.798,0.378
63,"(34, 54]","(57, 62]",Male,46,38,158,98,1.211,1.612,0.751,0.194
64,"(34, 54]","(62, 67]",Female,79,36,174,116,2.194,1.500,1.463,0.350
65,"(34, 54]","(62, 67]",Male,35,21,102,68,1.667,1.500,1.111,0.357
66,"(34, 54]","(67, 72]",Female,45,25,101,55,1.800,1.836,0.980,0.299
67,"(34, 54]","(67, 72]",Male,27,16,70,36,1.688,1.944,0.868,0.329
68,"(34, 54]","(72, 77]",Female,36,15,57,34,2.400,1.676,1.432,0.543
69,"(34, 54]","(72, 77]",Male,16,6,52,21,2.667,2.476,1.077,0.588
70,"(34, 54]","(77, 82]",Female,10,4,45,21,2.500,2.143,1.167,0.758
71,"(34, 54]","(77, 82]",Male,6,3,33,12,2.000,2.750,0.727,0.571
72,"(34, 54]","(82, 87]",Female,5,2,14,7,2.500,2.000,1.250,1.197
73,"(54, 100]","(15, 22]",Female,43,217,27,150,0.198,0.180,1.101,0.300
74,"(54, 100]","(15, 22]",Male,23,61,61,198,0.377,0.308,1.224,0.354
75,"(54, 100]","(22, 27]",Female,54,193,31,116,0.280,0.267,1.047,0.271
76,"(54, 100]","(22, 27]",Male,16,52,61,193,0.308,0.316,0.974,0.317
77,"(54, 100]","(27, 32]",Female,87,239,35,120,0.364,0.292,1.248,0.293
78,"(54, 100]","(27, 32]",Male,28,71,61,158,0.394,0.386,1.021,0.280
79,"(54, 100]","(32, 37]",Female,82,250,59,132,0.328,0.447,0.734,0.153
80,"(54, 100]","(32, 37]",Male,25,77,70,175,0.325,0.400,0.812,0.223
81,"(54, 100]","(37, 42]",Female,91,239,46,120,0.381,0.383,0.993,0.217
82,"(54, 100]","(37, 42]",Male,38,83,84,182,0.458,0.462,0.992,0.239
83,"(54, 100]","(42, 47]",Female,101,259,55,136,0.390,0.404,0.964,0.197
84,"(54, 100]","(42, 47]",Male,63,122,93,165,0.516,0.564,0.916,0.191
85,"(54, 100]","(47, 52]",Female,116,287,100,207,0.404,0.483,0.837,0.144
86,"(54, 100]","(47, 52]",Male,107,154,107,177,0.695,0.605,1.149,0.210
87,"(54, 100]","(52, 57]",Female,179,358,268,405,0.500,0.662,0.756,0.099
88,"(54, 100]","(52, 57]",Male,169,260,119,198,0.650,0.601,1.082,0.173
89,"(54, 100]","(57, 62]",Female,205,375,652,834,0.547,0.782,0.699,0.079
90,"(54, 100]","(57, 62]",Male,238,288,162,210,0.826,0.771,1.071,0.156
91,"(54, 100]","(62, 67]",Female,216,403,908,1098,0.536,0.827,0.648,0.070
92,"(54, 100]","(62, 67]",Male,231,364,144,213,0.635,0.676,0.939,0.137
93,"(54, 100]","(67, 72]",Female,269,357,1099,1300,0.754,0.845,0.891,0.092
94,"(54, 100]","(67, 72]",Male,243,329,162,193,0.739,0.839,0.880,0.128
95,"(54, 100]","(72, 77]",Female,268,368,1120,1318,0.728,0.850,0.857,0.088
96,"(54, 100]","(72, 77]",Male,200,319,113,129,0.627,0.876,0.716,0.118
97,"(54, 100]","(77, 82]",Female,213,249,922,1125,0.855,0.820,1.044,0.120
98,"(54, 100]","(77, 82]",Male,141,229,106,103,0.616,1.029,0.598,0.109
99,"(54, 100]","(82, 87]",Female,93,96,538,646,0.969,0.833,1.163,0.191
100,"(54, 100]","(82, 87]",Male,69,97,45,53,0.711,0.849,0.838,0.219
101,"(54, 100]","(87, 92]",Female,19,26,166,190,0.731,0.874,0.836,0.271
102,"(54, 100]","(87, 92]",Male,14,14,19,11,1.000,1.727,0.579,0.311
103,"(54, 100]","(92, 97]",Female,4,3,23,19,1.333,1.211,1.101,0.910
