,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.323,0.046,19.000
1,"(22, 27]",1.225,0.049,25.000
2,"(27, 32]",1.289,0.060,30.000
3,"(32, 37]",1.268,0.067,35.000
4,"(37, 42]",1.231,0.073,40.000
5,"(42, 47]",1.098,0.072,45.000
6,"(47, 52]",0.967,0.069,50.000
7,"(52, 57]",0.948,0.070,55.000
8,"(57, 62]",0.951,0.071,60.000
9,"(62, 67]",0.814,0.062,65.000
10,"(67, 72]",0.889,0.069,70.000
11,"(72, 77]",0.848,0.071,75.000
12,"(77, 82]",0.893,0.085,80.000
13,"(82, 87]",1.063,0.147,85.000
14,"(87, 92]",0.758,0.210,90.000
15,"(92, 97]",1.101,0.910,95.000
