,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,976,1001,920,1121,0.975,0.821,1.188,0.096
1,"(15, 24]","(15, 22]",Male,644,512,2084,2087,1.258,0.999,1.260,0.105
2,"(15, 24]","(22, 27]",Female,187,172,441,494,1.087,0.893,1.218,0.163
3,"(15, 24]","(22, 27]",Male,120,104,512,455,1.154,1.125,1.025,0.161
4,"(15, 24]","(27, 32]",Female,46,26,132,131,1.769,1.008,1.756,0.490
5,"(15, 24]","(27, 32]",Male,28,12,124,90,2.333,1.378,1.694,0.635
6,"(15, 24]","(32, 37]",Female,39,24,37,41,1.625,0.902,1.801,0.627
7,"(15, 24]","(32, 37]",Male,26,14,63,46,1.857,1.370,1.356,0.525
8,"(15, 24]","(37, 42]",Female,90,51,27,20,1.765,1.350,1.307,0.453
9,"(15, 24]","(37, 42]",Male,64,25,53,29,2.560,1.828,1.401,0.468
10,"(15, 24]","(42, 47]",Female,110,44,27,19,2.500,1.421,1.759,0.619
11,"(15, 24]","(42, 47]",Male,63,25,49,23,2.520,2.130,1.183,0.414
12,"(15, 24]","(47, 52]",Female,68,33,30,19,2.061,1.579,1.305,0.477
13,"(15, 24]","(47, 52]",Male,33,14,53,19,2.357,2.789,0.845,0.354
14,"(15, 24]","(52, 57]",Female,45,20,20,6,2.250,3.333,0.675,0.364
15,"(15, 24]","(52, 57]",Male,19,8,23,12,2.375,1.917,1.239,0.687
16,"(15, 24]","(57, 62]",Female,29,4,9,2,7.250,4.500,1.611,1.527
17,"(15, 24]","(57, 62]",Male,16,3,20,4,5.333,5.000,1.067,0.891
18,"(15, 24]","(62, 67]",Female,17,4,7,2,4.250,3.500,1.214,1.186
19,"(15, 24]","(62, 67]",Male,8,3,14,3,2.667,4.667,0.571,0.532
20,"(15, 24]","(67, 72]",Female,13,4,6,3,3.250,2.000,1.625,1.480
21,"(15, 24]","(72, 77]",Male,4,1,10,1,4.000,10.000,0.400,0.614
22,"(15, 24]","(77, 82]",Female,6,2,5,3,3.000,1.667,1.800,1.974
23,"(15, 24]","(77, 82]",Male,7,2,7,1,3.500,7.000,0.500,0.669
24,"(24, 34]","(15, 22]",Female,59,74,49,82,0.797,0.598,1.334,0.342
25,"(24, 34]","(15, 22]",Male,95,81,148,197,1.173,0.751,1.561,0.301
26,"(24, 34]","(22, 27]",Female,119,124,260,310,0.960,0.839,1.144,0.185
27,"(24, 34]","(22, 27]",Male,189,166,354,386,1.139,0.917,1.241,0.172
28,"(24, 34]","(27, 32]",Female,94,80,367,397,1.175,0.924,1.271,0.223
29,"(24, 34]","(27, 32]",Male,152,128,254,264,1.188,0.962,1.234,0.194
30,"(24, 34]","(32, 37]",Female,67,45,251,263,1.489,0.954,1.560,0.340
31,"(24, 34]","(32, 37]",Male,63,41,122,107,1.537,1.140,1.348,0.331
32,"(24, 34]","(37, 42]",Female,30,24,115,110,1.250,1.045,1.196,0.369
33,"(24, 34]","(37, 42]",Male,28,27,50,55,1.037,0.909,1.141,0.384
34,"(24, 34]","(42, 47]",Female,38,17,59,39,2.235,1.513,1.478,0.533
35,"(24, 34]","(42, 47]",Male,16,9,39,24,1.778,1.625,1.094,0.540
36,"(24, 34]","(47, 52]",Female,46,35,20,18,1.314,1.111,1.183,0.471
37,"(24, 34]","(47, 52]",Male,32,17,34,14,1.882,2.429,0.775,0.341
38,"(24, 34]","(52, 57]",Female,44,18,23,11,2.444,2.091,1.169,0.542
39,"(24, 34]","(52, 57]",Male,9,7,23,15,1.286,1.533,0.839,0.508
40,"(24, 34]","(57, 62]",Female,32,15,19,6,2.133,3.167,0.674,0.381
41,"(24, 34]","(57, 62]",Male,10,5,20,5,2.000,4.000,0.500,0.372
42,"(24, 34]","(62, 67]",Female,3,3,12,2,1.000,6.000,0.167,0.187
43,"(24, 34]","(62, 67]",Male,8,1,15,5,8.000,3.000,2.667,3.149
44,"(24, 34]","(67, 72]",Female,13,6,6,2,2.167,3.000,0.722,0.690
45,"(24, 34]","(67, 72]",Male,7,2,8,2,3.500,4.000,0.875,0.986
46,"(24, 34]","(72, 77]",Female,9,2,6,4,4.500,1.500,3.000,3.045
47,"(24, 34]","(72, 77]",Male,5,2,8,1,2.500,8.000,0.312,0.422
48,"(24, 34]","(77, 82]",Female,1,1,4,2,1.000,2.000,0.500,0.830
49,"(34, 54]","(15, 22]",Female,125,207,60,135,0.604,0.444,1.359,0.270
50,"(34, 54]","(15, 22]",Male,36,57,61,98,0.632,0.622,1.015,0.277
51,"(34, 54]","(22, 27]",Female,58,124,43,90,0.468,0.478,0.979,0.244
52,"(34, 54]","(22, 27]",Male,31,44,50,102,0.705,0.490,1.437,0.425
53,"(34, 54]","(27, 32]",Female,79,109,61,110,0.725,0.555,1.307,0.292
54,"(34, 54]","(27, 32]",Male,82,77,89,109,1.065,0.817,1.304,0.286
55,"(34, 54]","(32, 37]",Female,61,97,155,199,0.629,0.779,0.807,0.163
56,"(34, 54]","(32, 37]",Male,120,104,97,131,1.154,0.740,1.558,0.305
57,"(34, 54]","(37, 42]",Female,82,91,278,297,0.901,0.936,0.963,0.174
58,"(34, 54]","(37, 42]",Male,162,134,115,140,1.209,0.821,1.472,0.263
59,"(34, 54]","(42, 47]",Female,84,86,315,358,0.977,0.880,1.110,0.199
60,"(34, 54]","(42, 47]",Male,134,129,82,85,1.039,0.965,1.077,0.220
61,"(34, 54]","(47, 52]",Female,74,70,382,394,1.057,0.970,1.090,0.205
62,"(34, 54]","(47, 52]",Male,111,103,76,55,1.078,1.382,0.780,0.179
63,"(34, 54]","(52, 57]",Female,76,46,335,295,1.652,1.136,1.455,0.304
64,"(34, 54]","(52, 57]",Male,50,46,74,44,1.087,1.682,0.646,0.183
65,"(34, 54]","(57, 62]",Female,50,38,164,130,1.316,1.262,1.043,0.261
66,"(34, 54]","(57, 62]",Male,21,10,32,27,2.100,1.185,1.772,0.828
67,"(34, 54]","(62, 67]",Female,54,30,93,62,1.800,1.500,1.200,0.342
68,"(34, 54]","(62, 67]",Male,21,8,28,15,2.625,1.867,1.406,0.741
69,"(34, 54]","(67, 72]",Female,52,28,48,33,1.857,1.455,1.277,0.421
70,"(34, 54]","(67, 72]",Male,28,19,30,9,1.474,3.333,0.442,0.214
71,"(34, 54]","(72, 77]",Female,56,21,39,18,2.667,2.167,1.231,0.475
72,"(34, 54]","(72, 77]",Male,19,3,35,9,6.333,3.889,1.629,1.184
73,"(34, 54]","(77, 82]",Female,18,8,21,9,2.250,2.333,0.964,0.564
74,"(34, 54]","(77, 82]",Male,14,6,16,4,2.333,4.000,0.583,0.434
75,"(34, 54]","(82, 87]",Female,9,3,11,3,3.000,3.667,0.818,0.764
