,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.263,0.064,19.000
1,"(22, 27]",1.148,0.077,25.000
2,"(27, 32]",1.297,0.107,30.000
3,"(32, 37]",1.258,0.114,35.000
4,"(37, 42]",1.105,0.101,40.000
5,"(42, 47]",1.158,0.111,45.000
6,"(47, 52]",1.070,0.104,50.000
7,"(52, 57]",0.863,0.082,55.000
8,"(57, 62]",0.805,0.074,60.000
9,"(62, 67]",0.731,0.066,65.000
10,"(67, 72]",0.786,0.067,70.000
11,"(72, 77]",0.788,0.065,75.000
12,"(77, 82]",0.766,0.070,80.000
13,"(82, 87]",0.947,0.115,85.000
14,"(87, 92]",0.726,0.151,90.000
15,"(92, 97]",0.981,0.722,95.000
