,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,74,52,55,45,1.423,1.222,1.164,0.320
1,"(15, 24]","(0, 5]",Male,16,3,15,5,5.333,3.000,1.778,1.450
2,"(15, 24]","(5, 10]",Female,32,21,24,21,1.524,1.143,1.333,0.551
3,"(15, 24]","(5, 10]",Male,11,9,11,11,1.222,1.000,1.222,0.760
4,"(15, 24]","(10, 15]",Female,240,245,79,98,0.980,0.806,1.215,0.223
5,"(15, 24]","(10, 15]",Male,157,150,274,259,1.047,1.058,0.989,0.150
6,"(15, 24]","(15, 20]",Female,803,802,338,429,1.001,0.788,1.271,0.129
7,"(15, 24]","(15, 20]",Male,943,807,1612,1596,1.169,1.010,1.157,0.090
8,"(15, 24]","(20, 25]",Female,325,310,271,337,1.048,0.804,1.304,0.162
9,"(15, 24]","(20, 25]",Male,490,374,857,884,1.310,0.969,1.351,0.132
10,"(15, 24]","(25, 30]",Female,70,46,82,97,1.522,0.845,1.800,0.445
11,"(15, 24]","(25, 30]",Male,89,59,198,146,1.508,1.356,1.112,0.230
12,"(15, 24]","(30, 35]",Female,30,33,34,33,0.909,1.030,0.882,0.313
13,"(15, 24]","(30, 35]",Male,28,30,69,44,0.933,1.568,0.595,0.196
14,"(15, 24]","(35, 40]",Female,49,36,16,13,1.361,1.231,1.106,0.482
15,"(15, 24]","(35, 40]",Male,39,21,40,20,1.857,2.000,0.929,0.361
16,"(15, 24]","(40, 45]",Female,72,46,20,16,1.565,1.250,1.252,0.486
17,"(15, 24]","(40, 45]",Male,57,21,35,21,2.714,1.667,1.629,0.618
18,"(15, 24]","(45, 50]",Female,76,37,23,10,2.054,2.300,0.893,0.385
19,"(15, 24]","(45, 50]",Male,41,22,30,17,1.864,1.765,1.056,0.428
20,"(15, 24]","(50, 55]",Female,59,26,10,6,2.269,1.667,1.362,0.776
21,"(15, 24]","(50, 55]",Male,31,9,31,12,3.444,2.583,1.333,0.682
22,"(15, 24]","(55, 60]",Female,42,8,10,5,5.250,2.000,2.625,1.763
23,"(15, 24]","(55, 60]",Male,19,5,22,2,3.800,11.000,0.345,0.309
24,"(15, 24]","(60, 65]",Female,28,5,5,2,5.600,2.500,2.240,2.170
25,"(15, 24]","(60, 65]",Male,13,1,17,6,13.000,2.833,4.588,5.241
26,"(15, 24]","(65, 70]",Female,18,6,8,1,3.000,8.000,0.375,0.436
27,"(15, 24]","(65, 70]",Male,14,2,8,1,7.000,8.000,0.875,1.141
28,"(15, 24]","(70, 75]",Female,23,2,7,1,11.500,7.000,1.643,2.135
29,"(15, 24]","(70, 75]",Male,16,1,5,1,16.000,5.000,3.200,4.816
30,"(15, 24]","(75, 80]",Female,16,3,5,1,5.333,5.000,1.067,1.349
31,"(15, 24]","(75, 80]",Male,8,2,5,1,4.000,5.000,0.800,1.081
32,"(15, 24]","(80, 85]",Male,9,1,7,1,9.000,7.000,1.286,1.931
33,"(24, 34]","(0, 5]",Female,95,56,95,90,1.696,1.056,1.607,0.368
34,"(24, 34]","(0, 5]",Male,32,10,28,23,3.200,1.217,2.629,1.213
35,"(24, 34]","(5, 10]",Female,107,88,102,86,1.216,1.186,1.025,0.217
36,"(24, 34]","(5, 10]",Male,33,22,22,27,1.500,0.815,1.841,0.738
37,"(24, 34]","(10, 15]",Female,68,90,41,64,0.756,0.641,1.179,0.308
38,"(24, 34]","(10, 15]",Male,14,13,26,44,1.077,0.591,1.822,0.839
39,"(24, 34]","(15, 20]",Female,30,53,12,26,0.566,0.462,1.226,0.515
40,"(24, 34]","(15, 20]",Male,74,83,77,121,0.892,0.636,1.401,0.311
41,"(24, 34]","(20, 25]",Female,89,102,60,72,0.873,0.833,1.047,0.244
42,"(24, 34]","(20, 25]",Male,402,381,281,325,1.055,0.865,1.220,0.146
43,"(24, 34]","(25, 30]",Female,111,119,137,165,0.933,0.830,1.123,0.205
44,"(24, 34]","(25, 30]",Male,468,416,331,339,1.125,0.976,1.152,0.131
45,"(24, 34]","(30, 35]",Female,70,76,118,133,0.921,0.887,1.038,0.223
