,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,2387,2271,3461,4100,1.051,0.844,1.245,0.078
1,"(15, 24]","(15, 22]",Male,1664,1215,10836,10562,1.370,1.026,1.335,0.086
2,"(15, 24]","(22, 27]",Female,434,401,1599,1706,1.082,0.937,1.155,0.107
3,"(15, 24]","(22, 27]",Male,363,221,2803,2501,1.643,1.121,1.466,0.150
4,"(15, 24]","(27, 32]",Female,182,110,550,553,1.655,0.995,1.664,0.239
5,"(15, 24]","(27, 32]",Male,120,74,830,608,1.622,1.365,1.188,0.196
6,"(15, 24]","(32, 37]",Female,123,71,198,151,1.732,1.311,1.321,0.252
7,"(15, 24]","(32, 37]",Male,88,44,320,182,2.000,1.758,1.137,0.242
8,"(15, 24]","(37, 42]",Female,156,75,104,62,2.080,1.677,1.240,0.272
9,"(15, 24]","(37, 42]",Male,84,32,184,102,2.625,1.804,1.455,0.359
10,"(15, 24]","(42, 47]",Female,124,45,68,36,2.756,1.889,1.459,0.400
11,"(15, 24]","(42, 47]",Male,65,28,132,55,2.321,2.400,0.967,0.272
12,"(15, 24]","(47, 52]",Female,71,26,53,28,2.731,1.893,1.443,0.478
13,"(15, 24]","(47, 52]",Male,34,9,127,42,3.778,3.024,1.249,0.522
14,"(15, 24]","(52, 57]",Female,57,23,38,18,2.478,2.111,1.174,0.448
15,"(15, 24]","(52, 57]",Male,18,9,59,19,2.000,3.105,0.644,0.315
16,"(15, 24]","(57, 62]",Female,32,10,26,8,3.200,3.250,0.985,0.537
17,"(15, 24]","(57, 62]",Male,27,5,36,12,5.400,3.000,1.800,1.066
18,"(15, 24]","(62, 67]",Female,19,3,28,7,6.333,4.000,1.583,1.192
19,"(15, 24]","(62, 67]",Male,10,5,32,7,2.000,4.571,0.438,0.302
20,"(15, 24]","(67, 72]",Male,7,3,18,5,2.333,3.600,0.648,0.555
21,"(15, 24]","(72, 77]",Female,1,2,9,2,0.500,4.500,0.111,0.162
22,"(24, 34]","(15, 22]",Female,187,186,225,354,1.005,0.636,1.582,0.226
23,"(24, 34]","(15, 22]",Male,350,288,994,1093,1.215,0.909,1.336,0.139
24,"(24, 34]","(22, 27]",Female,299,298,665,867,1.003,0.767,1.308,0.142
