,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.318,0.049,19.000
1,"(22, 27]",1.234,0.054,25.000
2,"(27, 32]",1.341,0.071,30.000
3,"(32, 37]",1.229,0.075,35.000
4,"(37, 42]",1.289,0.089,40.000
5,"(42, 47]",1.090,0.082,45.000
6,"(47, 52]",0.961,0.080,50.000
7,"(52, 57]",0.949,0.078,55.000
8,"(57, 62]",0.980,0.080,60.000
9,"(62, 67]",0.865,0.072,65.000
10,"(67, 72]",0.923,0.080,70.000
11,"(72, 77]",0.852,0.081,75.000
12,"(77, 82]",0.916,0.102,80.000
13,"(82, 87]",1.036,0.175,85.000
14,"(87, 92]",0.758,0.294,90.000
