,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,49,68,69,73,0.721,0.945,0.762,0.196
1,"(15, 24]","(0, 5]",Male,48,36,47,37,1.333,1.270,1.050,0.331
2,"(15, 24]","(5, 10]",Female,23,33,14,25,0.697,0.560,1.245,0.539
3,"(15, 24]","(5, 10]",Male,20,28,24,21,0.714,1.143,0.625,0.263
4,"(15, 24]","(10, 15]",Female,89,128,49,74,0.695,0.662,1.050,0.247
5,"(15, 24]","(10, 15]",Male,187,245,259,339,0.763,0.764,0.999,0.137
6,"(15, 24]","(15, 20]",Female,223,316,123,249,0.706,0.494,1.429,0.213
7,"(15, 24]","(15, 20]",Male,466,535,1218,1692,0.871,0.720,1.210,0.108
8,"(15, 24]","(20, 25]",Female,59,75,64,96,0.787,0.667,1.180,0.286
9,"(15, 24]","(20, 25]",Male,103,144,477,609,0.715,0.783,0.913,0.138
10,"(15, 24]","(25, 30]",Female,14,13,17,34,1.077,0.500,2.154,1.053
11,"(15, 24]","(25, 30]",Male,31,29,118,130,1.069,0.908,1.178,0.344
12,"(15, 24]","(30, 35]",Female,10,10,7,12,1.000,0.583,1.714,1.122
13,"(15, 24]","(30, 35]",Male,17,9,35,47,1.889,0.745,2.537,1.196
14,"(15, 24]","(35, 40]",Female,7,7,4,4,1.000,1.000,1.000,0.888
15,"(15, 24]","(35, 40]",Male,11,11,17,18,1.000,0.944,1.059,0.579
16,"(15, 24]","(40, 45]",Female,13,11,3,2,1.182,1.500,0.788,0.789
17,"(15, 24]","(40, 45]",Male,16,5,22,16,3.200,1.375,2.327,1.421
18,"(15, 24]","(45, 50]",Female,6,3,9,4,2.000,2.250,0.889,0.826
19,"(15, 24]","(45, 50]",Male,8,6,12,6,1.333,2.000,0.667,0.492
20,"(15, 24]","(50, 55]",Male,10,3,8,5,3.333,1.600,2.083,1.817
21,"(15, 24]","(55, 60]",Male,4,3,11,1,1.333,11.000,0.121,0.157
22,"(15, 24]","(60, 65]",Male,2,1,3,1,2.000,3.000,0.667,1.123
23,"(15, 24]","(65, 70]",Female,1,2,1,1,0.500,1.000,0.500,0.936
24,"(15, 24]","(65, 70]",Male,4,2,4,2,2.000,2.000,1.000,1.226
25,"(24, 34]","(0, 5]",Female,88,109,73,96,0.807,0.760,1.062,0.231
26,"(24, 34]","(0, 5]",Male,77,81,76,79,0.951,0.962,0.988,0.229
27,"(24, 34]","(5, 10]",Female,80,108,80,115,0.741,0.696,1.065,0.227
28,"(24, 34]","(5, 10]",Male,47,75,70,98,0.627,0.714,0.877,0.218
29,"(24, 34]","(10, 15]",Female,42,78,31,61,0.538,0.508,1.060,0.314
30,"(24, 34]","(10, 15]",Male,26,51,40,65,0.510,0.615,0.828,0.263
31,"(24, 34]","(15, 20]",Female,22,44,10,33,0.500,0.303,1.650,0.740
32,"(24, 34]","(15, 20]",Male,56,102,117,192,0.549,0.609,0.901,0.189
33,"(24, 34]","(20, 25]",Female,24,42,21,49,0.571,0.429,1.333,0.492
34,"(24, 34]","(20, 25]",Male,65,85,157,262,0.765,0.599,1.276,0.255
35,"(24, 34]","(25, 30]",Female,19,44,15,29,0.432,0.517,0.835,0.353
36,"(24, 34]","(25, 30]",Male,59,67,121,179,0.881,0.676,1.303,0.286
37,"(24, 34]","(30, 35]",Female,10,9,14,16,1.111,0.875,1.270,0.749
38,"(24, 34]","(30, 35]",Male,19,25,75,89,0.760,0.843,0.902,0.312
39,"(24, 34]","(35, 40]",Female,8,12,5,11,0.667,0.455,1.467,1.039
40,"(24, 34]","(35, 40]",Male,13,16,29,36,0.812,0.806,1.009,0.456
41,"(24, 34]","(40, 45]",Female,6,9,3,8,0.667,0.375,1.778,1.528
42,"(24, 34]","(40, 45]",Male,3,7,13,18,0.429,0.722,0.593,0.464
43,"(24, 34]","(45, 50]",Female,10,6,3,2,1.667,1.500,1.111,1.167
44,"(24, 34]","(45, 50]",Male,10,9,12,13,1.111,0.923,1.204,0.736
45,"(24, 34]","(50, 55]",Female,6,6,4,1,1.000,4.000,0.250,0.315
46,"(24, 34]","(50, 55]",Male,20,13,13,7,1.538,1.857,0.828,0.490
47,"(24, 34]","(55, 60]",Female,5,3,5,2,1.667,2.500,0.667,0.741
48,"(24, 34]","(55, 60]",Male,15,5,11,8,3.000,1.375,2.182,1.520
49,"(24, 34]","(60, 65]",Female,7,7,3,2,1.000,1.500,0.667,0.706
50,"(24, 34]","(60, 65]",Male,8,3,12,7,2.667,1.714,1.556,1.289
51,"(24, 34]","(65, 70]",Female,10,4,3,3,2.500,1.000,2.500,2.524
52,"(24, 34]","(65, 70]",Male,3,2,7,1,1.500,7.000,0.214,0.301
53,"(34, 54]","(0, 5]",Female,25,37,21,45,0.676,0.467,1.448,0.541
54,"(34, 54]","(0, 5]",Male,26,39,27,42,0.667,0.643,1.037,0.370
55,"(34, 54]","(5, 10]",Female,30,60,28,82,0.500,0.341,1.464,0.464
56,"(34, 54]","(5, 10]",Male,50,97,52,92,0.515,0.565,0.912,0.229
57,"(34, 54]","(10, 15]",Female,47,112,41,94,0.420,0.436,0.962,0.250
58,"(34, 54]","(10, 15]",Male,53,130,79,157,0.408,0.503,0.810,0.178
59,"(34, 54]","(15, 20]",Female,25,62,17,45,0.403,0.378,1.067,0.399
60,"(34, 54]","(15, 20]",Male,37,69,38,105,0.536,0.362,1.482,0.419
61,"(34, 54]","(20, 25]",Female,12,17,6,18,0.706,0.333,2.118,1.283
62,"(34, 54]","(20, 25]",Male,20,42,28,59,0.476,0.475,1.003,0.360
63,"(34, 54]","(25, 30]",Female,8,15,8,17,0.533,0.471,1.133,0.697
64,"(34, 54]","(25, 30]",Male,18,30,27,70,0.600,0.386,1.556,0.588
65,"(34, 54]","(30, 35]",Female,17,18,10,16,0.944,0.625,1.511,0.799
66,"(34, 54]","(30, 35]",Male,30,26,30,36,1.154,0.833,1.385,0.510
67,"(34, 54]","(35, 40]",Female,9,13,7,18,0.692,0.389,1.780,1.110
68,"(34, 54]","(35, 40]",Male,32,33,18,34,0.970,0.529,1.832,0.707
69,"(34, 54]","(40, 45]",Female,9,12,6,14,0.750,0.429,1.750,1.154
70,"(34, 54]","(40, 45]",Male,34,36,29,42,0.944,0.690,1.368,0.470
71,"(34, 54]","(45, 50]",Female,5,11,3,6,0.455,0.500,0.909,0.810
72,"(34, 54]","(45, 50]",Male,31,41,29,30,0.756,0.967,0.782,0.279
