,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.011,0.112,3.000
1,"(5, 10]",1.035,0.115,8.000
2,"(10, 15]",0.954,0.083,13.000
3,"(15, 20]",1.234,0.083,18.000
4,"(20, 25]",1.076,0.105,23.000
5,"(25, 30]",1.234,0.167,28.000
6,"(30, 35]",1.262,0.229,33.000
7,"(35, 40]",1.397,0.292,38.000
8,"(40, 45]",1.314,0.300,43.000
9,"(45, 50]",0.935,0.214,48.000
10,"(50, 55]",1.059,0.270,53.000
11,"(55, 60]",0.957,0.260,58.000
12,"(60, 65]",0.857,0.233,63.000
13,"(65, 70]",1.087,0.303,68.000
14,"(70, 75]",0.853,0.270,73.000
15,"(75, 80]",0.911,0.322,78.000
16,"(80, 85]",0.551,0.292,83.000
17,"(85, 90]",1.152,0.961,88.000
18,"(90, 95]",1.667,2.654,93.000
