,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,191,139,204,164,1.374,1.244,1.105,0.178
1,"(15, 24]","(0, 5]",Male,63,42,93,42,1.500,2.214,0.677,0.188
2,"(15, 24]","(5, 10]",Female,45,54,47,39,0.833,1.205,0.691,0.208
3,"(15, 24]","(5, 10]",Male,28,11,52,40,2.545,1.300,1.958,0.815
4,"(15, 24]","(10, 15]",Female,445,465,169,190,0.957,0.889,1.076,0.145
5,"(15, 24]","(10, 15]",Male,654,538,1015,941,1.216,1.079,1.127,0.100
6,"(15, 24]","(15, 20]",Female,1909,2014,783,1078,0.948,0.726,1.305,0.099
7,"(15, 24]","(15, 20]",Male,3671,3189,8167,8557,1.151,0.954,1.206,0.070
8,"(15, 24]","(20, 25]",Female,688,698,659,934,0.986,0.706,1.397,0.125
9,"(15, 24]","(20, 25]",Male,1497,1218,4338,4305,1.229,1.008,1.220,0.081
10,"(15, 24]","(25, 30]",Female,165,162,267,315,1.019,0.848,1.202,0.177
11,"(15, 24]","(25, 30]",Male,336,236,985,933,1.424,1.056,1.349,0.146
12,"(15, 24]","(30, 35]",Female,80,61,83,95,1.311,0.874,1.501,0.349
13,"(15, 24]","(30, 35]",Male,180,96,351,280,1.875,1.254,1.496,0.236
14,"(15, 24]","(35, 40]",Female,92,63,43,43,1.460,1.000,1.460,0.402
15,"(15, 24]","(35, 40]",Male,99,44,206,148,2.250,1.392,1.617,0.350
16,"(15, 24]","(40, 45]",Female,112,66,45,26,1.697,1.731,0.980,0.290
17,"(15, 24]","(40, 45]",Male,97,40,145,78,2.425,1.859,1.304,0.313
18,"(15, 24]","(45, 50]",Female,108,56,27,13,1.929,2.077,0.929,0.352
19,"(15, 24]","(45, 50]",Male,67,24,117,54,2.792,2.167,1.288,0.378
20,"(15, 24]","(50, 55]",Female,88,22,18,12,4.000,1.500,2.667,1.187
21,"(15, 24]","(50, 55]",Male,58,23,70,35,2.522,2.000,1.261,0.411
22,"(15, 24]","(55, 60]",Female,56,19,6,6,2.947,1.000,2.947,1.879
23,"(15, 24]","(55, 60]",Male,51,8,56,28,6.375,2.000,3.188,1.428
24,"(15, 24]","(60, 65]",Female,40,7,21,7,5.714,3.000,1.905,1.144
25,"(15, 24]","(60, 65]",Male,22,7,45,10,3.143,4.500,0.698,0.391
26,"(15, 24]","(65, 70]",Female,35,9,7,3,3.889,2.333,1.667,1.311
27,"(15, 24]","(65, 70]",Male,18,6,32,6,3.000,5.333,0.562,0.366
28,"(15, 24]","(70, 75]",Female,33,7,7,3,4.714,2.333,2.020,1.631
29,"(15, 24]","(70, 75]",Male,15,8,22,3,1.875,7.333,0.256,0.194
30,"(15, 24]","(80, 85]",Female,16,3,6,1,5.333,6.000,0.889,1.112
31,"(15, 24]","(80, 85]",Male,10,1,7,1,10.000,7.000,1.429,2.141
32,"(15, 24]","(85, 90]",Female,12,1,5,2,12.000,2.500,4.800,6.414
33,"(24, 34]","(0, 5]",Female,191,190,189,162,1.005,1.167,0.862,0.135
34,"(24, 34]","(0, 5]",Male,115,98,114,111,1.173,1.027,1.143,0.226
35,"(24, 34]","(5, 10]",Female,203,239,173,213,0.849,0.812,1.046,0.155
36,"(24, 34]","(5, 10]",Male,38,44,59,78,0.864,0.756,1.142,0.326
37,"(24, 34]","(10, 15]",Female,123,164,69,129,0.750,0.535,1.402,0.277
38,"(24, 34]","(10, 15]",Male,47,63,87,108,0.746,0.806,0.926,0.228
39,"(24, 34]","(15, 20]",Female,129,186,59,124,0.694,0.476,1.458,0.294
40,"(24, 34]","(15, 20]",Male,455,485,595,808,0.938,0.736,1.274,0.125
41,"(24, 34]","(20, 25]",Female,229,305,172,274,0.751,0.628,1.196,0.167
42,"(24, 34]","(20, 25]",Male,1286,1194,1513,1789,1.077,0.846,1.274,0.093
43,"(24, 34]","(25, 30]",Female,254,271,302,420,0.937,0.719,1.303,0.164
44,"(24, 34]","(25, 30]",Male,1188,1013,1394,1520,1.173,0.917,1.279,0.097
45,"(24, 34]","(30, 35]",Female,177,175,240,296,1.011,0.811,1.247,0.183
46,"(24, 34]","(30, 35]",Male,606,460,726,698,1.317,1.040,1.267,0.121
47,"(24, 34]","(35, 40]",Female,69,70,116,159,0.986,0.730,1.351,0.290
48,"(24, 34]","(35, 40]",Male,224,162,358,320,1.383,1.119,1.236,0.171
49,"(24, 34]","(40, 45]",Female,58,43,70,70,1.349,1.000,1.349,0.361
50,"(24, 34]","(40, 45]",Male,126,75,204,163,1.680,1.252,1.342,0.250
51,"(24, 34]","(45, 50]",Female,89,47,36,28,1.894,1.286,1.473,0.462
52,"(24, 34]","(45, 50]",Male,67,32,126,82,2.094,1.537,1.363,0.357
53,"(24, 34]","(50, 55]",Female,109,47,34,21,2.319,1.619,1.432,0.475
54,"(24, 34]","(50, 55]",Male,58,18,92,54,3.222,1.704,1.891,0.612
55,"(24, 34]","(55, 60]",Female,114,51,17,12,2.235,1.417,1.578,0.656
56,"(24, 34]","(55, 60]",Male,51,8,76,41,6.375,1.854,3.439,1.478
57,"(24, 34]","(60, 65]",Female,84,27,22,12,3.111,1.833,1.697,0.720
58,"(24, 34]","(60, 65]",Male,33,16,56,22,2.062,2.545,0.810,0.323
59,"(24, 34]","(65, 70]",Female,67,26,18,4,2.577,4.500,0.573,0.344
60,"(24, 34]","(65, 70]",Male,36,15,35,11,2.400,3.182,0.754,0.351
61,"(24, 34]","(70, 75]",Female,41,10,12,2,4.100,6.000,0.683,0.576
62,"(24, 34]","(70, 75]",Male,18,2,21,7,9.000,3.000,3.000,2.596
63,"(24, 34]","(75, 80]",Male,17,3,18,3,5.667,6.000,0.944,0.836
64,"(24, 34]","(80, 85]",Female,26,3,7,2,8.667,3.500,2.476,2.497
65,"(24, 34]","(80, 85]",Male,13,3,6,1,4.333,6.000,0.722,0.908
66,"(24, 34]","(85, 90]",Male,6,1,4,1,6.000,4.000,1.500,2.333
67,"(34, 54]","(0, 5]",Female,52,76,57,68,0.684,0.838,0.816,0.211
68,"(34, 54]","(0, 5]",Male,36,57,43,64,0.632,0.672,0.940,0.277
69,"(34, 54]","(5, 10]",Female,88,159,78,134,0.553,0.582,0.951,0.191
70,"(34, 54]","(5, 10]",Male,39,54,69,89,0.722,0.775,0.932,0.251
71,"(34, 54]","(10, 15]",Female,154,314,134,264,0.490,0.508,0.966,0.148
72,"(34, 54]","(10, 15]",Male,49,94,120,231,0.521,0.519,1.003,0.216
73,"(34, 54]","(15, 20]",Female,140,298,61,147,0.470,0.415,1.132,0.215
74,"(34, 54]","(15, 20]",Male,98,169,133,323,0.580,0.412,1.408,0.241
75,"(34, 54]","(20, 25]",Female,83,197,44,126,0.421,0.349,1.207,0.271
76,"(34, 54]","(20, 25]",Male,143,224,217,398,0.638,0.545,1.171,0.170
77,"(34, 54]","(25, 30]",Female,91,141,51,109,0.645,0.468,1.379,0.306
78,"(34, 54]","(25, 30]",Male,290,331,240,412,0.876,0.583,1.504,0.188
79,"(34, 54]","(30, 35]",Female,91,126,95,146,0.722,0.651,1.110,0.219
80,"(34, 54]","(30, 35]",Male,522,518,303,386,1.008,0.785,1.284,0.142
81,"(34, 54]","(35, 40]",Female,89,127,159,209,0.701,0.761,0.921,0.167
82,"(34, 54]","(35, 40]",Male,680,620,383,401,1.097,0.955,1.148,0.119
83,"(34, 54]","(40, 45]",Female,90,111,173,221,0.811,0.783,1.036,0.188
84,"(34, 54]","(40, 45]",Male,614,560,245,264,1.096,0.928,1.181,0.139
85,"(34, 54]","(45, 50]",Female,115,111,139,187,1.036,0.743,1.394,0.252
86,"(34, 54]","(45, 50]",Male,522,504,214,230,1.036,0.930,1.113,0.138
87,"(34, 54]","(50, 55]",Female,107,70,165,150,1.529,1.100,1.390,0.274
88,"(34, 54]","(50, 55]",Male,329,275,160,138,1.196,1.159,1.032,0.155
89,"(34, 54]","(55, 60]",Female,102,70,121,97,1.457,1.247,1.168,0.248
90,"(34, 54]","(55, 60]",Male,109,78,123,97,1.397,1.268,1.102,0.228
91,"(34, 54]","(60, 65]",Female,147,71,84,39,2.070,2.154,0.961,0.237
92,"(34, 54]","(60, 65]",Male,77,52,83,50,1.481,1.660,0.892,0.230
93,"(34, 54]","(65, 70]",Female,152,62,49,25,2.452,1.960,1.251,0.366
94,"(34, 54]","(65, 70]",Male,63,24,85,30,2.625,2.833,0.926,0.300
95,"(34, 54]","(70, 75]",Female,169,55,48,23,3.073,2.087,1.472,0.444
96,"(34, 54]","(70, 75]",Male,72,22,69,25,3.273,2.760,1.186,0.404
97,"(34, 54]","(75, 80]",Female,138,46,29,8,3.000,3.625,0.828,0.362
98,"(34, 54]","(75, 80]",Male,58,17,39,12,3.412,3.250,1.050,0.455
99,"(34, 54]","(80, 85]",Female,87,20,27,4,4.350,6.750,0.644,0.382
100,"(34, 54]","(80, 85]",Male,29,6,34,6,4.833,5.667,0.853,0.539
101,"(34, 54]","(85, 90]",Female,53,4,12,4,13.250,3.000,4.417,3.435
102,"(34, 54]","(85, 90]",Male,17,1,4,1,17.000,4.000,4.250,6.461
103,"(54, 100]","(0, 5]",Female,15,33,9,29,0.455,0.310,1.465,0.725
104,"(54, 100]","(0, 5]",Male,5,15,10,28,0.333,0.357,0.933,0.594
105,"(54, 100]","(5, 10]",Female,22,44,19,44,0.500,0.432,1.158,0.442
