,Subject Age,R,DeltaR,Age
0,"(0, 5]",0.959,0.078,3.000
1,"(5, 10]",1.013,0.092,8.000
2,"(10, 15]",1.082,0.062,13.000
3,"(15, 20]",1.256,0.048,18.000
4,"(20, 25]",1.253,0.049,23.000
5,"(25, 30]",1.311,0.061,28.000
6,"(30, 35]",1.308,0.071,33.000
7,"(35, 40]",1.173,0.074,38.000
8,"(40, 45]",1.135,0.081,43.000
9,"(45, 50]",1.289,0.099,48.000
10,"(50, 55]",1.260,0.101,53.000
11,"(55, 60]",1.174,0.105,58.000
12,"(60, 65]",0.966,0.084,63.000
13,"(65, 70]",0.910,0.083,68.000
14,"(70, 75]",1.039,0.095,73.000
15,"(75, 80]",0.937,0.097,78.000
16,"(80, 85]",0.958,0.114,83.000
17,"(85, 90]",0.963,0.167,88.000
18,"(90, 95]",1.515,0.450,93.000
19,"(95, 100]",1.268,1.059,98.000
