,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,49,71,55,60,0.690,0.917,0.753,0.202
1,"(15, 24]","(0, 5]",Male,35,30,35,42,1.167,0.833,1.400,0.478
2,"(15, 24]","(5, 10]",Female,25,26,24,20,0.962,1.200,0.801,0.333
3,"(15, 24]","(5, 10]",Male,22,20,15,22,1.100,0.682,1.613,0.739
4,"(15, 24]","(10, 15]",Female,107,136,63,93,0.787,0.677,1.161,0.249
5,"(15, 24]","(10, 15]",Male,203,245,252,369,0.829,0.683,1.213,0.164
6,"(15, 24]","(15, 20]",Female,234,331,155,289,0.707,0.536,1.318,0.185
7,"(15, 24]","(15, 20]",Male,451,530,1438,2097,0.851,0.686,1.241,0.109
8,"(15, 24]","(20, 25]",Female,57,70,78,155,0.814,0.503,1.618,0.375
9,"(15, 24]","(20, 25]",Male,130,153,536,779,0.850,0.688,1.235,0.174
10,"(15, 24]","(25, 30]",Female,27,27,24,23,1.000,1.043,0.958,0.385
11,"(15, 24]","(25, 30]",Male,42,28,147,147,1.500,1.000,1.500,0.413
12,"(15, 24]","(30, 35]",Female,11,8,11,14,1.375,0.786,1.750,1.080
13,"(15, 24]","(30, 35]",Male,13,15,42,43,0.867,0.977,0.887,0.390
14,"(15, 24]","(35, 40]",Female,6,6,11,9,1.000,1.222,0.818,0.600
15,"(15, 24]","(35, 40]",Male,15,9,31,23,1.667,1.348,1.237,0.626
16,"(15, 24]","(40, 45]",Female,11,10,6,4,1.100,1.500,0.733,0.573
17,"(15, 24]","(40, 45]",Male,17,13,23,15,1.308,1.533,0.853,0.425
18,"(15, 24]","(45, 50]",Female,6,9,4,4,0.667,1.000,0.667,0.589
19,"(15, 24]","(45, 50]",Male,18,11,15,8,1.636,1.875,0.873,0.509
20,"(15, 24]","(50, 55]",Female,10,3,3,1,3.333,3.000,1.111,1.478
21,"(15, 24]","(50, 55]",Male,13,9,14,4,1.444,3.500,0.413,0.295
22,"(15, 24]","(55, 60]",Female,6,4,3,2,1.500,1.500,1.000,1.119
23,"(15, 24]","(55, 60]",Male,12,3,8,4,4.000,2.000,2.000,1.782
24,"(15, 24]","(60, 65]",Female,7,5,3,2,1.400,1.500,0.933,1.013
25,"(15, 24]","(60, 65]",Male,11,3,9,2,3.667,4.500,0.815,0.830
26,"(15, 24]","(65, 70]",Female,7,3,3,2,2.333,1.500,1.556,1.782
27,"(15, 24]","(65, 70]",Male,6,1,7,2,6.000,3.500,1.714,2.308
28,"(15, 24]","(80, 85]",Male,5,1,2,1,5.000,2.000,2.500,4.110
29,"(24, 34]","(0, 5]",Female,75,88,77,95,0.852,0.811,1.052,0.237
30,"(24, 34]","(0, 5]",Male,60,88,71,88,0.682,0.807,0.845,0.200
31,"(24, 34]","(5, 10]",Female,72,120,67,118,0.600,0.568,1.057,0.232
32,"(24, 34]","(5, 10]",Male,47,73,52,80,0.644,0.650,0.991,0.261
33,"(24, 34]","(10, 15]",Female,41,73,23,57,0.562,0.404,1.392,0.444
34,"(24, 34]","(10, 15]",Male,24,46,47,57,0.522,0.825,0.633,0.205
35,"(24, 34]","(15, 20]",Female,18,44,14,41,0.409,0.341,1.198,0.503
36,"(24, 34]","(15, 20]",Male,55,88,110,207,0.625,0.531,1.176,0.252
37,"(24, 34]","(20, 25]",Female,23,43,16,32,0.535,0.500,1.070,0.432
38,"(24, 34]","(20, 25]",Male,73,94,207,347,0.777,0.597,1.302,0.242
39,"(24, 34]","(25, 30]",Female,24,35,22,35,0.686,0.629,1.091,0.418
40,"(24, 34]","(25, 30]",Male,71,74,141,228,0.959,0.618,1.551,0.316
41,"(24, 34]","(30, 35]",Female,16,19,20,24,0.842,0.833,1.011,0.462
42,"(24, 34]","(30, 35]",Male,37,38,80,98,0.974,0.816,1.193,0.334
43,"(24, 34]","(35, 40]",Female,11,9,5,12,1.222,0.417,2.933,2.049
44,"(24, 34]","(35, 40]",Male,22,17,29,53,1.294,0.547,2.365,0.946
45,"(24, 34]","(40, 45]",Female,11,13,8,10,0.846,0.800,1.058,0.665
46,"(24, 34]","(40, 45]",Male,11,4,21,26,2.750,0.808,3.405,2.231
47,"(24, 34]","(45, 50]",Female,10,5,8,10,2.000,0.800,2.500,1.816
48,"(24, 34]","(45, 50]",Male,21,14,14,15,1.500,0.933,1.607,0.819
49,"(24, 34]","(50, 55]",Female,6,9,4,3,0.667,1.333,0.500,0.465
50,"(24, 34]","(50, 55]",Male,23,11,19,12,2.091,1.583,1.321,0.690
51,"(24, 34]","(55, 60]",Male,19,13,14,9,1.462,1.556,0.940,0.527
52,"(24, 34]","(60, 65]",Male,10,6,12,3,1.667,4.000,0.417,0.345
53,"(24, 34]","(65, 70]",Female,12,5,4,4,2.400,1.000,2.400,2.128
54,"(24, 34]","(65, 70]",Male,7,4,8,2,1.750,4.000,0.438,0.442
55,"(24, 34]","(70, 75]",Female,3,3,3,1,1.000,3.000,0.333,0.472
56,"(24, 34]","(70, 75]",Male,8,2,6,3,4.000,2.000,2.000,2.124
57,"(34, 54]","(0, 5]",Female,28,44,21,36,0.636,0.583,1.091,0.403
58,"(34, 54]","(0, 5]",Male,19,42,26,43,0.452,0.605,0.748,0.281
59,"(34, 54]","(5, 10]",Female,41,81,24,69,0.506,0.348,1.455,0.449
60,"(34, 54]","(5, 10]",Male,41,93,51,90,0.441,0.567,0.778,0.203
61,"(34, 54]","(10, 15]",Female,48,129,32,109,0.372,0.294,1.267,0.339
62,"(34, 54]","(10, 15]",Male,50,146,52,134,0.342,0.388,0.883,0.209
63,"(34, 54]","(15, 20]",Female,28,69,18,42,0.406,0.429,0.947,0.344
64,"(34, 54]","(15, 20]",Male,36,107,37,97,0.336,0.381,0.882,0.245
65,"(34, 54]","(20, 25]",Female,13,24,4,29,0.542,0.138,3.927,2.501
66,"(34, 54]","(20, 25]",Male,20,45,28,75,0.444,0.373,1.190,0.419
67,"(34, 54]","(25, 30]",Female,10,19,8,18,0.526,0.444,1.184,0.686
68,"(34, 54]","(25, 30]",Male,20,38,38,57,0.526,0.667,0.789,0.277
69,"(34, 54]","(30, 35]",Female,8,20,6,17,0.400,0.353,1.133,0.719
70,"(34, 54]","(30, 35]",Male,23,42,40,70,0.548,0.571,0.958,0.317
71,"(34, 54]","(35, 40]",Female,7,22,7,16,0.318,0.438,0.727,0.458
72,"(34, 54]","(35, 40]",Male,44,55,30,54,0.800,0.556,1.440,0.444
73,"(34, 54]","(40, 45]",Female,4,11,9,15,0.364,0.600,0.606,0.438
74,"(34, 54]","(40, 45]",Male,39,41,27,50,0.951,0.540,1.762,0.583
75,"(34, 54]","(45, 50]",Female,15,13,8,10,1.154,0.800,1.442,0.879
76,"(34, 54]","(45, 50]",Male,37,28,34,29,1.321,1.172,1.127,0.405
77,"(34, 54]","(50, 55]",Female,15,11,12,16,1.364,0.750,1.818,1.006
78,"(34, 54]","(50, 55]",Male,36,33,13,11,1.091,1.182,0.923,0.441
79,"(34, 54]","(55, 60]",Female,11,10,10,7,1.100,1.429,0.770,0.509
80,"(34, 54]","(55, 60]",Male,13,23,15,6,0.565,2.500,0.226,0.135
81,"(34, 54]","(60, 65]",Female,13,9,6,6,1.444,1.000,1.444,1.045
82,"(34, 54]","(60, 65]",Male,25,21,17,12,1.190,1.417,0.840,0.405
83,"(34, 54]","(65, 70]",Female,11,7,5,2,1.571,2.500,0.629,0.608
84,"(34, 54]","(65, 70]",Male,30,14,16,7,2.143,2.286,0.938,0.524
85,"(34, 54]","(70, 75]",Female,26,10,8,2,2.600,4.000,0.650,0.569
86,"(34, 54]","(70, 75]",Male,19,9,9,7,2.111,1.286,1.642,1.064
87,"(34, 54]","(75, 80]",Female,13,7,6,2,1.857,3.000,0.619,0.584
88,"(34, 54]","(75, 80]",Male,28,8,7,3,3.500,2.333,1.500,1.199
89,"(34, 54]","(80, 85]",Male,8,3,5,1,2.667,5.000,0.533,0.687
90,"(54, 100]","(0, 5]",Female,2,24,1,11,0.083,0.091,0.917,1.172
91,"(54, 100]","(0, 5]",Male,3,20,5,18,0.150,0.278,0.540,0.432
92,"(54, 100]","(5, 10]",Female,2,14,4,12,0.143,0.333,0.429,0.408
93,"(54, 100]","(5, 10]",Male,2,26,8,24,0.077,0.333,0.231,0.194
94,"(54, 100]","(10, 15]",Female,4,22,6,18,0.182,0.333,0.545,0.393
95,"(54, 100]","(10, 15]",Male,9,40,12,48,0.225,0.250,0.900,0.443
96,"(54, 100]","(15, 20]",Female,4,13,3,9,0.308,0.333,0.923,0.812
97,"(54, 100]","(15, 20]",Male,8,35,8,28,0.229,0.286,0.800,0.450
98,"(54, 100]","(20, 25]",Female,3,6,1,8,0.500,0.125,4.000,5.103
