,Subject Age,R,DeltaR,Age
0,"(0, 5]",0.930,0.106,3.000
1,"(5, 10]",0.990,0.116,8.000
2,"(10, 15]",1.096,0.095,13.000
3,"(15, 20]",1.206,0.079,18.000
4,"(20, 25]",1.295,0.119,23.000
5,"(25, 30]",1.277,0.160,28.000
6,"(30, 35]",1.082,0.170,33.000
7,"(35, 40]",1.547,0.285,38.000
8,"(40, 45]",1.319,0.281,43.000
9,"(45, 50]",1.239,0.253,48.000
10,"(50, 55]",1.134,0.246,53.000
11,"(55, 60]",0.860,0.207,58.000
12,"(60, 65]",1.039,0.235,63.000
13,"(65, 70]",0.897,0.214,68.000
14,"(70, 75]",0.663,0.180,73.000
15,"(75, 80]",1.235,0.379,78.000
16,"(80, 85]",1.258,0.483,83.000
17,"(85, 90]",0.974,0.606,88.000
18,"(90, 95]",0.833,0.740,93.000
19,"(95, 100]",4.000,6.003,98.000
