,Age,R,DeltaR
0,2.5,1.0088064143112112,0.05289209958086564
1,7.5,1.064523270926739,0.05692733536177238
2,12.5,1.0683192500308405,0.039859455839147725
3,17.5,1.2621335418771586,0.024837071871378968
4,22.5,1.2309173026526057,0.028098445677342255
5,27.5,1.2923684469479624,0.03608200883559155
6,32.5,1.2110150840478133,0.03971000965792933
7,37.5,1.205212243136252,0.0440523121127072
8,42.5,1.1680507649191467,0.046562821093977164
9,47.5,1.114858871526477,0.04728621289768377
10,52.5,1.0578046013882076,0.04550539675659349
11,57.5,1.011048285906929,0.04493061615283576
12,62.5,0.897323093510159,0.039238570668333854
13,67.5,0.9259318464495019,0.04063788639748343
14,72.5,0.8894907670360168,0.039048989523092784
15,77.5,0.8793805855807123,0.04224369544956682
16,82.5,0.9637710159528754,0.057528891691157026
17,87.5,0.9385804810861756,0.08337447703611857
18,92.5,1.2625061567911402,0.21969305933730954
19,97.5,2.0331590977164264,1.1102319029311538
