,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,448,451,524,652,0.993,0.804,1.236,0.126
1,"(15, 24]","(15, 22]",Male,299,279,1717,1747,1.072,0.983,1.090,0.112
2,"(15, 24]","(22, 27]",Female,67,60,222,233,1.117,0.953,1.172,0.243
3,"(15, 24]","(22, 27]",Male,52,45,440,389,1.156,1.131,1.022,0.226
4,"(15, 24]","(27, 32]",Female,17,6,37,35,2.833,1.057,2.680,1.427
5,"(15, 24]","(27, 32]",Male,9,7,100,70,1.286,1.429,0.900,0.477
6,"(15, 24]","(32, 37]",Female,7,15,21,25,0.467,0.840,0.556,0.304
7,"(15, 24]","(32, 37]",Male,12,4,52,38,3.000,1.368,2.192,1.354
8,"(15, 24]","(37, 42]",Female,18,5,11,11,3.600,1.000,3.600,2.388
9,"(15, 24]","(37, 42]",Male,11,4,28,11,2.750,2.545,1.080,0.741
10,"(15, 24]","(42, 47]",Female,20,7,12,6,2.857,2.000,1.429,0.953
11,"(15, 24]","(42, 47]",Male,21,5,37,11,4.200,3.364,1.249,0.758
12,"(15, 24]","(47, 52]",Female,14,10,15,9,1.400,1.667,0.840,0.498
13,"(15, 24]","(47, 52]",Male,9,3,26,7,3.000,3.714,0.808,0.640
14,"(15, 24]","(52, 57]",Female,12,5,7,2,2.400,3.500,0.686,0.661
15,"(15, 24]","(52, 57]",Male,4,1,11,3,4.000,3.667,1.091,1.413
16,"(15, 24]","(57, 62]",Male,5,2,9,4,2.500,2.250,1.111,1.146
17,"(15, 24]","(62, 67]",Male,3,1,4,1,3.000,4.000,0.750,1.206
18,"(24, 34]","(15, 22]",Female,18,13,35,41,1.385,0.854,1.622,0.703
19,"(24, 34]","(15, 22]",Male,46,41,129,148,1.122,0.872,1.287,0.323
20,"(24, 34]","(22, 27]",Female,31,41,113,125,0.756,0.904,0.836,0.231
21,"(24, 34]","(22, 27]",Male,64,68,264,284,0.941,0.930,1.012,0.203
22,"(24, 34]","(27, 32]",Female,34,28,112,141,1.214,0.794,1.529,0.442
23,"(24, 34]","(27, 32]",Male,60,60,196,174,1.000,1.126,0.888,0.192
24,"(24, 34]","(32, 37]",Female,20,11,81,80,1.818,1.012,1.796,0.737
25,"(24, 34]","(32, 37]",Male,21,12,85,80,1.750,1.062,1.647,0.654
26,"(24, 34]","(37, 42]",Female,8,7,32,33,1.143,0.970,1.179,0.679
27,"(24, 34]","(37, 42]",Male,18,9,33,37,2.000,0.892,2.242,1.067
28,"(24, 34]","(42, 47]",Female,4,4,24,15,1.000,1.600,0.625,0.488
29,"(24, 34]","(42, 47]",Male,3,2,32,14,1.500,2.286,0.656,0.636
30,"(24, 34]","(47, 52]",Female,10,10,8,6,1.000,1.333,0.750,0.527
31,"(24, 34]","(47, 52]",Male,4,3,17,9,1.333,1.889,0.706,0.614
32,"(24, 34]","(52, 57]",Female,11,6,12,8,1.833,1.500,1.222,0.836
33,"(24, 34]","(52, 57]",Male,4,1,12,6,4.000,2.000,2.000,2.452
34,"(24, 34]","(57, 62]",Female,8,3,7,3,2.667,2.333,1.143,1.106
35,"(24, 34]","(62, 67]",Male,4,1,5,2,4.000,2.500,1.600,2.236
36,"(24, 34]","(67, 72]",Male,2,1,6,2,2.000,3.000,0.667,0.982
37,"(34, 54]","(15, 22]",Female,24,40,13,50,0.600,0.260,2.308,0.940
38,"(34, 54]","(15, 22]",Male,14,15,34,62,0.933,0.548,1.702,0.734
39,"(34, 54]","(22, 27]",Female,15,33,16,31,0.455,0.516,0.881,0.388
40,"(34, 54]","(22, 27]",Male,13,15,30,63,0.867,0.476,1.820,0.804
41,"(34, 54]","(27, 32]",Female,10,21,18,46,0.476,0.391,1.217,0.580
42,"(34, 54]","(27, 32]",Male,23,33,45,71,0.697,0.634,1.100,0.369
43,"(34, 54]","(32, 37]",Female,15,19,44,63,0.789,0.698,1.130,0.453
44,"(34, 54]","(32, 37]",Male,37,38,55,65,0.974,0.846,1.151,0.344
45,"(34, 54]","(37, 42]",Female,13,27,81,88,0.481,0.920,0.523,0.196
46,"(34, 54]","(37, 42]",Male,55,45,75,76,1.222,0.987,1.239,0.326
47,"(34, 54]","(42, 47]",Female,22,23,89,80,0.957,1.113,0.860,0.292
48,"(34, 54]","(42, 47]",Male,50,40,36,46,1.250,0.783,1.597,0.497
49,"(34, 54]","(47, 52]",Female,16,21,78,91,0.762,0.857,0.889,0.328
50,"(34, 54]","(47, 52]",Male,33,30,45,26,1.100,1.731,0.636,0.226
51,"(34, 54]","(52, 57]",Female,10,10,71,59,1.000,1.203,0.831,0.402
