,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,23,10,12,8,2.300,1.500,1.533,0.913
1,"(15, 24]","(0, 5]",Male,6,1,6,1,6.000,6.000,1.000,1.528
2,"(15, 24]","(5, 10]",Female,11,9,9,5,1.222,1.800,0.679,0.488
3,"(15, 24]","(5, 10]",Male,6,5,2,6,1.200,0.333,3.600,3.664
4,"(15, 24]","(10, 15]",Female,114,93,24,41,1.226,0.585,2.094,0.621
5,"(15, 24]","(10, 15]",Male,90,93,196,205,0.968,0.956,1.012,0.188
6,"(15, 24]","(15, 20]",Female,375,372,197,215,1.008,0.916,1.100,0.146
7,"(15, 24]","(15, 20]",Male,576,482,1336,1309,1.195,1.021,1.171,0.104
8,"(15, 24]","(20, 25]",Female,119,120,122,130,0.992,0.938,1.057,0.198
9,"(15, 24]","(20, 25]",Male,238,191,722,749,1.246,0.964,1.293,0.157
10,"(15, 24]","(25, 30]",Female,17,14,40,48,1.214,0.833,1.457,0.616
11,"(15, 24]","(25, 30]",Male,42,35,150,121,1.200,1.240,0.968,0.256
12,"(15, 24]","(30, 35]",Female,6,7,17,14,0.857,1.214,0.706,0.469
13,"(15, 24]","(30, 35]",Male,12,18,42,31,0.667,1.355,0.492,0.219
14,"(15, 24]","(35, 40]",Female,8,8,5,6,1.000,0.833,1.200,0.944
15,"(15, 24]","(35, 40]",Male,18,9,31,15,2.000,2.067,0.968,0.501
16,"(15, 24]","(40, 45]",Female,17,8,3,6,2.125,0.500,4.250,3.521
17,"(15, 24]","(40, 45]",Male,17,5,23,13,3.400,1.769,1.922,1.187
18,"(15, 24]","(45, 50]",Female,14,6,5,5,2.333,1.000,2.333,1.868
19,"(15, 24]","(45, 50]",Male,16,2,21,12,8.000,1.750,4.571,3.814
20,"(15, 24]","(50, 55]",Male,6,2,13,2,3.000,6.500,0.462,0.515
21,"(15, 24]","(55, 60]",Male,2,1,11,1,2.000,11.000,0.182,0.293
22,"(15, 24]","(65, 70]",Male,6,1,1,1,6.000,1.000,6.000,10.681
23,"(24, 34]","(0, 5]",Female,23,13,23,21,1.769,1.095,1.615,0.747
24,"(24, 34]","(0, 5]",Male,7,2,7,11,3.500,0.636,5.500,5.157
25,"(24, 34]","(5, 10]",Female,27,14,20,16,1.929,1.250,1.543,0.729
26,"(24, 34]","(5, 10]",Male,10,5,9,5,2.000,1.800,1.111,0.870
27,"(24, 34]","(10, 15]",Female,12,22,16,17,0.545,0.941,0.580,0.291
28,"(24, 34]","(10, 15]",Male,2,8,17,27,0.250,0.630,0.397,0.338
29,"(24, 34]","(15, 20]",Female,9,20,7,9,0.450,0.778,0.579,0.374
30,"(24, 34]","(15, 20]",Male,30,40,59,96,0.750,0.615,1.220,0.362
31,"(24, 34]","(20, 25]",Female,38,39,27,26,0.974,1.038,0.938,0.338
32,"(24, 34]","(20, 25]",Male,139,133,229,272,1.045,0.842,1.241,0.197
33,"(24, 34]","(25, 30]",Female,32,33,62,64,0.970,0.969,1.001,0.310
34,"(24, 34]","(25, 30]",Male,188,146,233,258,1.288,0.903,1.426,0.215
35,"(24, 34]","(30, 35]",Female,23,27,44,48,0.852,0.917,0.929,0.331
36,"(24, 34]","(30, 35]",Male,76,58,114,98,1.310,1.163,1.126,0.257
37,"(24, 34]","(35, 40]",Female,20,9,23,17,2.222,1.353,1.643,0.847
38,"(24, 34]","(35, 40]",Male,40,24,57,40,1.667,1.425,1.170,0.391
39,"(24, 34]","(40, 45]",Female,14,9,16,10,1.556,1.600,0.972,0.573
40,"(24, 34]","(40, 45]",Male,26,9,21,18,2.889,1.167,2.476,1.251
41,"(24, 34]","(45, 50]",Female,7,6,7,6,1.167,1.167,1.000,0.788
42,"(24, 34]","(45, 50]",Male,13,1,24,9,13.000,2.667,4.875,5.411
43,"(24, 34]","(50, 55]",Female,8,2,5,4,4.000,1.250,3.200,3.322
44,"(24, 34]","(50, 55]",Male,8,1,17,8,8.000,2.125,3.765,4.311
45,"(24, 34]","(55, 60]",Female,3,1,9,2,3.000,4.500,0.667,0.930
46,"(24, 34]","(55, 60]",Male,11,3,8,5,3.667,1.600,2.292,1.987
47,"(24, 34]","(65, 70]",Female,7,3,4,4,2.333,1.000,2.333,2.308
48,"(24, 34]","(70, 75]",Male,6,1,2,2,6.000,1.000,6.000,8.837
49,"(34, 54]","(0, 5]",Female,8,13,11,9,0.615,1.222,0.503,0.321
50,"(34, 54]","(0, 5]",Male,2,3,3,3,0.667,1.000,0.667,0.817
51,"(34, 54]","(5, 10]",Female,11,23,7,17,0.478,0.412,1.161,0.676
