,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.262,0.353,3.000
1,"(5, 10]",1.258,0.309,8.000
2,"(10, 15]",1.253,0.165,13.000
3,"(15, 20]",1.164,0.080,18.000
4,"(20, 25]",1.255,0.100,23.000
5,"(25, 30]",1.231,0.128,28.000
6,"(30, 35]",0.961,0.128,33.000
7,"(35, 40]",1.327,0.199,38.000
8,"(40, 45]",1.262,0.200,43.000
9,"(45, 50]",1.458,0.271,48.000
10,"(50, 55]",0.956,0.187,53.000
11,"(55, 60]",1.192,0.265,58.000
12,"(60, 65]",0.869,0.201,63.000
13,"(65, 70]",1.254,0.277,68.000
14,"(70, 75]",1.241,0.256,73.000
15,"(75, 80]",1.108,0.223,78.000
16,"(80, 85]",1.255,0.272,83.000
17,"(85, 90]",1.168,0.326,88.000
18,"(90, 95]",2.162,1.090,93.000
19,"(95, 100]",2.143,3.187,98.000
