,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,1523,1456,2369,3052,1.046,0.776,1.348,0.091
1,"(15, 24]","(15, 22]",Male,1271,886,10213,10008,1.435,1.020,1.406,0.095
2,"(15, 24]","(22, 27]",Female,243,216,1034,1142,1.125,0.905,1.243,0.142
3,"(15, 24]","(22, 27]",Male,269,154,2658,2345,1.747,1.133,1.541,0.179
4,"(15, 24]","(27, 32]",Female,96,62,375,378,1.548,0.992,1.561,0.289
5,"(15, 24]","(27, 32]",Male,79,56,786,562,1.411,1.399,1.009,0.192
6,"(15, 24]","(32, 37]",Female,62,40,145,100,1.550,1.450,1.069,0.263
7,"(15, 24]","(32, 37]",Male,67,32,311,193,2.094,1.611,1.299,0.310
8,"(15, 24]","(37, 42]",Female,50,16,65,39,3.125,1.667,1.875,0.666
9,"(15, 24]","(37, 42]",Male,55,20,159,94,2.750,1.691,1.626,0.481
10,"(15, 24]","(42, 47]",Female,42,23,35,19,1.826,1.842,0.991,0.385
11,"(15, 24]","(42, 47]",Male,30,7,112,50,4.286,2.240,1.913,0.872
12,"(15, 24]","(47, 52]",Female,21,13,30,16,1.615,1.875,0.862,0.407
13,"(15, 24]","(47, 52]",Male,10,1,96,26,10.000,3.692,2.708,2.906
14,"(15, 24]","(52, 57]",Female,16,5,18,5,3.200,3.600,0.889,0.641
15,"(15, 24]","(52, 57]",Male,9,5,34,9,1.800,3.778,0.476,0.321
16,"(15, 24]","(57, 62]",Female,10,4,12,7,2.500,1.714,1.458,1.109
17,"(15, 24]","(57, 62]",Male,12,3,19,5,4.000,3.800,1.053,0.863
18,"(15, 24]","(62, 67]",Female,7,2,8,3,3.500,2.667,1.312,1.379
19,"(24, 34]","(15, 22]",Female,102,108,167,266,0.944,0.628,1.504,0.266
20,"(24, 34]","(15, 22]",Male,272,237,989,1080,1.148,0.916,1.253,0.139
21,"(24, 34]","(22, 27]",Female,182,170,435,615,1.071,0.707,1.514,0.202
