,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,33,36,34,34,0.917,1.000,0.917,0.317
1,"(15, 24]","(0, 5]",Male,20,19,29,16,1.053,1.812,0.581,0.261
2,"(15, 24]","(5, 10]",Female,6,15,8,11,0.400,0.727,0.550,0.370
3,"(15, 24]","(5, 10]",Male,10,10,14,12,1.000,1.167,0.857,0.512
4,"(15, 24]","(10, 15]",Female,55,72,26,49,0.764,0.531,1.440,0.440
5,"(15, 24]","(10, 15]",Male,153,219,214,308,0.699,0.695,1.006,0.148
6,"(15, 24]","(15, 20]",Female,115,216,86,198,0.532,0.434,1.226,0.221
7,"(15, 24]","(15, 20]",Male,362,438,1075,1556,0.826,0.691,1.196,0.114
8,"(15, 24]","(20, 25]",Female,31,43,52,76,0.721,0.684,1.054,0.317
9,"(15, 24]","(20, 25]",Male,76,97,411,551,0.784,0.746,1.050,0.183
10,"(15, 24]","(25, 30]",Female,7,6,8,20,1.167,0.400,2.917,2.035
11,"(15, 24]","(25, 30]",Male,30,22,106,119,1.364,0.891,1.531,0.482
12,"(15, 24]","(30, 35]",Female,4,4,6,11,1.000,0.545,1.833,1.598
13,"(15, 24]","(30, 35]",Male,11,7,26,34,1.571,0.765,2.055,1.133
14,"(15, 24]","(35, 40]",Female,2,2,4,3,1.000,1.333,0.750,0.944
15,"(15, 24]","(35, 40]",Male,8,11,11,12,0.727,0.917,0.793,0.497
16,"(15, 24]","(40, 45]",Female,2,5,2,1,0.400,2.000,0.200,0.297
17,"(15, 24]","(40, 45]",Male,7,1,25,16,7.000,1.562,4.480,5.004
18,"(15, 24]","(45, 50]",Female,4,2,5,2,2.000,2.500,0.800,0.964
19,"(15, 24]","(45, 50]",Male,5,5,12,2,1.000,6.000,0.167,0.165
20,"(24, 34]","(0, 5]",Female,39,41,29,31,0.951,0.935,1.017,0.351
21,"(24, 34]","(0, 5]",Male,23,34,36,35,0.676,1.029,0.658,0.239
22,"(24, 34]","(5, 10]",Female,34,35,28,52,0.971,0.538,1.804,0.613
23,"(24, 34]","(5, 10]",Male,14,26,33,40,0.538,0.825,0.653,0.267
24,"(24, 34]","(10, 15]",Female,19,21,9,20,0.905,0.450,2.011,1.033
25,"(24, 34]","(10, 15]",Male,13,21,22,43,0.619,0.512,1.210,0.535
26,"(24, 34]","(15, 20]",Female,7,21,6,29,0.333,0.207,1.611,1.011
27,"(24, 34]","(15, 20]",Male,33,65,88,179,0.508,0.492,1.033,0.264
28,"(24, 34]","(20, 25]",Female,12,27,14,32,0.444,0.438,1.016,0.482
29,"(24, 34]","(20, 25]",Male,31,53,130,226,0.585,0.575,1.017,0.261
30,"(24, 34]","(25, 30]",Female,9,28,7,13,0.321,0.538,0.597,0.363
31,"(24, 34]","(25, 30]",Male,35,40,100,157,0.875,0.637,1.374,0.370
32,"(24, 34]","(30, 35]",Female,2,4,15,11,0.500,1.364,0.367,0.350
33,"(24, 34]","(30, 35]",Male,22,14,56,63,1.571,0.889,1.768,0.692
34,"(24, 34]","(35, 40]",Female,3,5,3,11,0.600,0.273,2.200,2.156
35,"(24, 34]","(35, 40]",Male,3,10,26,31,0.300,0.839,0.358,0.255
36,"(24, 34]","(40, 45]",Female,3,4,3,9,0.750,0.333,2.250,2.284
37,"(24, 34]","(45, 50]",Female,3,1,2,1,3.000,2.000,1.500,2.526
38,"(24, 34]","(45, 50]",Male,5,5,12,8,1.000,1.500,0.667,0.521
39,"(24, 34]","(50, 55]",Male,4,1,13,6,4.000,2.167,1.846,2.258
40,"(24, 34]","(55, 60]",Male,6,1,5,5,6.000,1.000,6.000,7.516
41,"(24, 34]","(60, 65]",Male,3,1,6,3,3.000,2.000,1.500,2.032
42,"(24, 34]","(65, 70]",Female,2,1,1,1,2.000,1.000,2.000,3.743
43,"(34, 54]","(0, 5]",Female,11,11,8,21,1.000,0.381,2.625,1.568
44,"(34, 54]","(0, 5]",Male,7,15,15,15,0.467,1.000,0.467,0.274
45,"(34, 54]","(5, 10]",Female,8,16,10,40,0.500,0.250,2.000,1.122
46,"(34, 54]","(5, 10]",Male,15,25,14,30,0.600,0.467,1.286,0.595
47,"(34, 54]","(10, 15]",Female,12,38,9,29,0.316,0.310,1.018,0.517
48,"(34, 54]","(10, 15]",Male,11,47,13,56,0.234,0.232,1.008,0.461
49,"(34, 54]","(15, 20]",Female,10,22,5,17,0.455,0.294,1.545,0.986
50,"(34, 54]","(15, 20]",Male,11,21,15,52,0.524,0.288,1.816,0.865
51,"(34, 54]","(20, 25]",Female,10,13,2,12,0.769,0.167,4.615,4.031
52,"(34, 54]","(20, 25]",Male,9,15,19,41,0.600,0.463,1.295,0.657
