,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,110,69,101,74,1.594,1.365,1.168,0.260
1,"(15, 24]","(0, 5]",Male,33,19,55,29,1.737,1.897,0.916,0.340
2,"(15, 24]","(5, 10]",Female,26,28,25,16,0.929,1.562,0.594,0.252
3,"(15, 24]","(5, 10]",Male,13,8,30,21,1.625,1.429,1.137,0.608
4,"(15, 24]","(10, 15]",Female,259,280,102,109,0.925,0.936,0.988,0.168
5,"(15, 24]","(10, 15]",Male,544,463,884,838,1.175,1.055,1.114,0.105
6,"(15, 24]","(15, 20]",Female,1218,1276,578,851,0.955,0.679,1.405,0.118
7,"(15, 24]","(15, 20]",Male,2749,2206,7694,7999,1.246,0.962,1.296,0.077
8,"(15, 24]","(20, 25]",Female,408,426,476,669,0.958,0.712,1.346,0.140
9,"(15, 24]","(20, 25]",Male,1017,804,4167,4194,1.265,0.994,1.273,0.092
10,"(15, 24]","(25, 30]",Female,97,91,196,233,1.066,0.841,1.267,0.231
11,"(15, 24]","(25, 30]",Male,251,171,981,922,1.468,1.064,1.380,0.166
12,"(15, 24]","(30, 35]",Female,45,41,73,78,1.098,0.936,1.173,0.323
13,"(15, 24]","(30, 35]",Male,132,68,371,288,1.941,1.288,1.507,0.265
14,"(15, 24]","(35, 40]",Female,42,22,37,36,1.909,1.028,1.857,0.661
15,"(15, 24]","(35, 40]",Male,74,35,207,138,2.114,1.500,1.410,0.336
16,"(15, 24]","(40, 45]",Female,43,23,31,12,1.870,2.583,0.724,0.311
17,"(15, 24]","(40, 45]",Male,48,18,138,72,2.667,1.917,1.391,0.440
18,"(15, 24]","(45, 50]",Female,24,10,19,8,2.400,2.375,1.011,0.573
19,"(15, 24]","(45, 50]",Male,42,16,91,44,2.625,2.068,1.269,0.444
20,"(15, 24]","(50, 55]",Female,29,6,11,7,4.833,1.571,3.076,2.034
21,"(15, 24]","(50, 55]",Male,26,8,51,19,3.250,2.684,1.211,0.591
22,"(15, 24]","(55, 60]",Female,17,7,4,5,2.429,0.800,3.036,2.455
23,"(15, 24]","(55, 60]",Male,20,1,32,20,20.000,1.600,12.500,13.310
24,"(15, 24]","(60, 65]",Female,21,2,10,4,10.500,2.500,4.200,3.985
25,"(15, 24]","(60, 65]",Male,14,2,29,6,7.000,4.833,1.448,1.275
26,"(15, 24]","(70, 75]",Female,6,3,6,2,2.000,3.000,0.667,0.721
27,"(15, 24]","(70, 75]",Male,4,2,13,4,2.000,3.250,0.615,0.639
28,"(15, 24]","(75, 80]",Male,5,1,6,2,5.000,3.000,1.667,2.279
29,"(24, 34]","(0, 5]",Female,92,81,94,72,1.136,1.306,0.870,0.195
30,"(24, 34]","(0, 5]",Male,60,42,62,49,1.429,1.265,1.129,0.318
31,"(24, 34]","(5, 10]",Female,77,90,65,73,0.856,0.890,0.961,0.227
32,"(24, 34]","(5, 10]",Male,24,22,45,45,1.091,1.000,1.091,0.399
33,"(24, 34]","(10, 15]",Female,49,66,28,51,0.742,0.549,1.352,0.413
34,"(24, 34]","(10, 15]",Male,29,36,70,85,0.806,0.824,0.978,0.295
35,"(24, 34]","(15, 20]",Female,66,102,43,86,0.647,0.500,1.294,0.323
36,"(24, 34]","(15, 20]",Male,344,358,534,758,0.961,0.704,1.364,0.146
37,"(24, 34]","(20, 25]",Female,138,192,130,201,0.719,0.647,1.111,0.185
38,"(24, 34]","(20, 25]",Male,830,731,1381,1657,1.135,0.833,1.362,0.109
39,"(24, 34]","(25, 30]",Female,133,134,206,273,0.993,0.755,1.315,0.212
40,"(24, 34]","(25, 30]",Male,707,570,1345,1401,1.240,0.960,1.292,0.109
41,"(24, 34]","(30, 35]",Female,101,79,191,216,1.278,0.884,1.446,0.270
42,"(24, 34]","(30, 35]",Male,360,279,681,685,1.290,0.994,1.298,0.141
43,"(24, 34]","(35, 40]",Female,41,35,83,114,1.171,0.728,1.609,0.444
44,"(24, 34]","(35, 40]",Male,168,107,315,270,1.570,1.167,1.346,0.211
45,"(24, 34]","(40, 45]",Female,32,20,55,41,1.600,1.341,1.193,0.424
46,"(24, 34]","(40, 45]",Male,76,46,173,140,1.652,1.236,1.337,0.300
47,"(24, 34]","(45, 50]",Female,31,14,33,20,2.214,1.650,1.342,0.580
48,"(24, 34]","(45, 50]",Male,39,18,113,68,2.167,1.662,1.304,0.427
49,"(24, 34]","(50, 55]",Female,35,15,18,13,2.333,1.385,1.685,0.809
50,"(24, 34]","(50, 55]",Male,27,10,79,44,2.700,1.795,1.504,0.629
51,"(24, 34]","(55, 60]",Female,21,8,5,7,2.625,0.714,3.675,2.645
52,"(24, 34]","(55, 60]",Male,24,2,56,27,12.000,2.074,5.786,4.478
53,"(24, 34]","(60, 65]",Female,20,4,15,6,5.000,2.500,2.000,1.464
54,"(24, 34]","(60, 65]",Male,13,5,37,9,2.600,4.111,0.632,0.409
55,"(24, 34]","(65, 70]",Female,13,3,6,1,4.333,6.000,0.722,0.908
56,"(24, 34]","(65, 70]",Male,15,6,15,2,2.500,7.500,0.333,0.299
57,"(24, 34]","(70, 75]",Female,11,3,4,1,3.667,4.000,0.917,1.187
58,"(24, 34]","(70, 75]",Male,6,1,15,5,6.000,3.000,2.000,2.397
59,"(24, 34]","(75, 80]",Male,6,1,6,2,6.000,3.000,2.000,2.710
60,"(24, 34]","(80, 85]",Female,6,1,2,1,6.000,2.000,3.000,4.901
61,"(34, 54]","(0, 5]",Female,23,28,29,29,0.821,1.000,0.821,0.319
62,"(34, 54]","(0, 5]",Male,16,20,27,31,0.800,0.871,0.919,0.394
63,"(34, 54]","(5, 10]",Female,44,69,33,53,0.638,0.623,1.024,0.305
64,"(34, 54]","(5, 10]",Male,13,23,27,48,0.565,0.562,1.005,0.427
65,"(34, 54]","(10, 15]",Female,43,96,45,70,0.448,0.643,0.697,0.188
66,"(34, 54]","(10, 15]",Male,25,49,63,138,0.510,0.457,1.118,0.328
67,"(34, 54]","(15, 20]",Female,49,99,22,64,0.495,0.344,1.440,0.442
68,"(34, 54]","(15, 20]",Male,53,89,111,240,0.596,0.463,1.288,0.275
69,"(34, 54]","(20, 25]",Female,39,61,31,88,0.639,0.352,1.815,0.539
70,"(34, 54]","(20, 25]",Male,104,165,204,377,0.630,0.541,1.165,0.187
71,"(34, 54]","(25, 30]",Female,43,56,43,77,0.768,0.558,1.375,0.389
72,"(34, 54]","(25, 30]",Male,167,198,225,377,0.843,0.597,1.413,0.203
73,"(34, 54]","(30, 35]",Female,48,61,92,134,0.787,0.687,1.146,0.276
74,"(34, 54]","(30, 35]",Male,269,272,278,376,0.989,0.739,1.338,0.170
