,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,34,44,28,33,0.773,0.848,0.911,0.316
1,"(15, 24]","(0, 5]",Male,26,19,17,29,1.368,0.586,2.334,1.009
2,"(15, 24]","(5, 10]",Female,15,12,10,12,1.250,0.833,1.500,0.869
3,"(15, 24]","(5, 10]",Male,12,10,14,16,1.200,0.875,1.371,0.776
4,"(15, 24]","(10, 15]",Female,74,95,40,56,0.779,0.714,1.091,0.287
5,"(15, 24]","(10, 15]",Male,160,202,226,328,0.792,0.689,1.150,0.167
6,"(15, 24]","(15, 20]",Female,149,216,115,215,0.690,0.535,1.290,0.213
7,"(15, 24]","(15, 20]",Male,382,446,1293,1901,0.857,0.680,1.259,0.117
8,"(15, 24]","(20, 25]",Female,36,41,62,119,0.878,0.521,1.685,0.474
9,"(15, 24]","(20, 25]",Male,105,118,510,718,0.890,0.710,1.253,0.193
10,"(15, 24]","(25, 30]",Female,11,11,17,13,1.000,1.308,0.765,0.433
11,"(15, 24]","(25, 30]",Male,26,19,112,142,1.368,0.789,1.735,0.574
12,"(15, 24]","(30, 35]",Female,5,3,8,12,1.667,0.667,2.500,2.157
13,"(15, 24]","(30, 35]",Male,12,11,42,50,1.091,0.840,1.299,0.610
14,"(15, 24]","(35, 40]",Female,3,2,7,6,1.500,1.167,1.286,1.376
15,"(15, 24]","(35, 40]",Male,10,8,23,24,1.250,0.958,1.304,0.729
16,"(15, 24]","(40, 45]",Female,5,4,4,1,1.250,4.000,0.312,0.408
17,"(15, 24]","(40, 45]",Male,7,5,21,12,1.400,1.750,0.800,0.552
18,"(15, 24]","(45, 50]",Female,4,3,2,3,1.333,0.667,2.000,2.383
19,"(15, 24]","(45, 50]",Male,8,7,10,8,1.143,1.250,0.914,0.643
20,"(15, 24]","(50, 55]",Male,2,1,13,4,2.000,3.250,0.615,0.832
21,"(15, 24]","(55, 60]",Female,2,1,2,1,2.000,2.000,1.000,1.733
22,"(15, 24]","(55, 60]",Male,4,1,6,2,4.000,3.000,1.333,1.847
23,"(15, 24]","(65, 70]",Female,2,1,2,1,2.000,2.000,1.000,1.733
24,"(24, 34]","(0, 5]",Female,39,31,36,38,1.258,0.947,1.328,0.449
25,"(24, 34]","(0, 5]",Male,19,29,24,42,0.655,0.571,1.147,0.452
26,"(24, 34]","(5, 10]",Female,33,43,32,52,0.767,0.615,1.247,0.407
27,"(24, 34]","(5, 10]",Male,17,21,22,31,0.810,0.710,1.141,0.493
28,"(24, 34]","(10, 15]",Female,20,27,10,30,0.741,0.333,2.222,1.049
29,"(24, 34]","(10, 15]",Male,16,26,21,37,0.615,0.568,1.084,0.458
30,"(24, 34]","(15, 20]",Female,6,20,4,26,0.300,0.154,1.950,1.389
31,"(24, 34]","(15, 20]",Male,38,63,95,208,0.603,0.457,1.321,0.324
32,"(24, 34]","(20, 25]",Female,14,20,13,29,0.700,0.448,1.562,0.758
33,"(24, 34]","(20, 25]",Male,57,56,166,310,1.018,0.535,1.901,0.413
34,"(24, 34]","(25, 30]",Female,10,24,16,25,0.417,0.640,0.651,0.323
35,"(24, 34]","(25, 30]",Male,41,43,127,189,0.953,0.672,1.419,0.357
36,"(24, 34]","(30, 35]",Female,10,14,12,14,0.714,0.857,0.833,0.478
37,"(24, 34]","(30, 35]",Male,20,21,62,74,0.952,0.838,1.137,0.409
38,"(24, 34]","(35, 40]",Female,3,3,2,10,1.000,0.200,5.000,5.633
39,"(24, 34]","(35, 40]",Male,15,15,24,37,1.000,0.649,1.542,0.697
40,"(24, 34]","(40, 45]",Female,5,5,1,4,1.000,0.250,4.000,5.142
41,"(24, 34]","(40, 45]",Male,5,2,23,26,2.500,0.885,2.826,2.503
42,"(24, 34]","(45, 50]",Female,3,4,3,6,0.750,0.500,1.500,1.563
43,"(24, 34]","(45, 50]",Male,7,6,6,9,1.167,0.667,1.750,1.344
44,"(24, 34]","(50, 55]",Female,3,4,1,1,0.750,1.000,0.750,1.206
45,"(24, 34]","(50, 55]",Male,9,4,13,5,2.250,2.600,0.865,0.693
46,"(24, 34]","(55, 60]",Male,10,6,8,5,1.667,1.600,1.042,0.803
47,"(24, 34]","(60, 65]",Male,3,2,3,1,1.500,3.000,0.500,0.736
48,"(24, 34]","(65, 70]",Male,2,1,4,1,2.000,4.000,0.500,0.830
49,"(24, 34]","(70, 75]",Male,4,2,2,1,2.000,2.000,1.000,1.501
50,"(34, 54]","(0, 5]",Female,12,19,7,14,0.632,0.500,1.263,0.750
51,"(34, 54]","(0, 5]",Male,8,15,13,19,0.533,0.684,0.779,0.444
52,"(34, 54]","(5, 10]",Female,11,23,15,21,0.478,0.714,0.670,0.336
53,"(34, 54]","(5, 10]",Male,13,23,18,42,0.565,0.429,1.319,0.593
54,"(34, 54]","(10, 15]",Female,13,42,9,37,0.310,0.243,1.272,0.625
55,"(34, 54]","(10, 15]",Male,15,43,15,62,0.349,0.242,1.442,0.604
56,"(34, 54]","(15, 20]",Female,7,27,7,23,0.259,0.304,0.852,0.517
57,"(34, 54]","(15, 20]",Male,8,29,21,59,0.276,0.356,0.775,0.369
58,"(34, 54]","(20, 25]",Female,3,9,1,15,0.333,0.067,5.000,6.151
59,"(34, 54]","(20, 25]",Male,9,15,18,56,0.600,0.321,1.867,0.940
60,"(34, 54]","(25, 30]",Female,4,3,8,9,1.333,0.889,1.500,1.360
61,"(34, 54]","(25, 30]",Male,10,24,22,40,0.417,0.550,0.758,0.351
62,"(34, 54]","(30, 35]",Female,5,3,6,14,1.667,0.429,3.889,3.421
63,"(34, 54]","(30, 35]",Male,10,24,26,48,0.417,0.542,0.769,0.347
64,"(34, 54]","(35, 40]",Female,2,8,5,5,0.250,1.000,0.250,0.253
65,"(34, 54]","(35, 40]",Male,12,15,24,41,0.800,0.585,1.367,0.639
66,"(34, 54]","(40, 45]",Male,9,10,18,28,0.900,0.643,1.400,0.773
67,"(34, 54]","(45, 50]",Female,3,5,3,5,0.600,0.600,1.000,1.034
68,"(34, 54]","(45, 50]",Male,10,10,13,22,1.000,0.591,1.692,0.965
69,"(34, 54]","(50, 55]",Female,5,2,9,10,2.500,0.900,2.778,2.655
70,"(34, 54]","(50, 55]",Male,10,11,10,9,0.909,1.111,0.818,0.520
71,"(34, 54]","(55, 60]",Female,3,4,1,1,0.750,1.000,0.750,1.206
72,"(34, 54]","(55, 60]",Male,5,8,11,3,0.625,3.667,0.170,0.148
73,"(34, 54]","(60, 65]",Female,6,1,4,4,6.000,1.000,6.000,7.752
74,"(34, 54]","(60, 65]",Male,10,7,8,6,1.429,1.333,1.071,0.785
75,"(34, 54]","(65, 70]",Male,3,3,6,2,1.000,3.000,0.333,0.385
76,"(34, 54]","(70, 75]",Male,8,3,1,3,2.667,0.333,8.000,10.716
77,"(54, 100]","(0, 5]",Female,2,11,2,4,0.182,0.500,0.364,0.421
78,"(54, 100]","(10, 15]",Male,2,12,4,13,0.167,0.308,0.542,0.517
79,"(54, 100]","(15, 20]",Male,3,13,1,9,0.231,0.111,2.077,2.564
80,"(54, 100]","(20, 25]",Male,2,10,4,7,0.200,0.571,0.350,0.349
81,"(54, 100]","(25, 30]",Male,3,5,2,11,0.600,0.182,3.300,3.503
82,"(54, 100]","(30, 35]",Male,5,5,3,6,1.000,0.500,2.000,1.900
83,"(54, 100]","(45, 50]",Female,1,5,3,1,0.200,3.000,0.067,0.106
84,"(54, 100]","(45, 50]",Male,4,7,6,7,0.571,0.857,0.667,0.560
85,"(54, 100]","(50, 55]",Male,7,10,8,6,0.700,1.333,0.525,0.385
86,"(54, 100]","(55, 60]",Male,11,14,2,6,0.786,0.333,2.357,2.149
