,Subject Age,R,DeltaR,Age
0,"(0, 5]",1.193,0.200,3.000
1,"(5, 10]",1.173,0.215,8.000
2,"(10, 15]",1.189,0.131,13.000
3,"(15, 20]",1.257,0.094,18.000
4,"(20, 25]",1.488,0.161,23.000
5,"(25, 30]",1.236,0.198,28.000
6,"(30, 35]",1.186,0.242,33.000
7,"(35, 40]",1.345,0.344,38.000
8,"(40, 45]",1.309,0.467,43.000
9,"(45, 50]",1.155,0.346,48.000
10,"(50, 55]",0.862,0.306,53.000
11,"(55, 60]",0.800,0.343,58.000
12,"(60, 65]",1.259,0.547,63.000
13,"(65, 70]",0.775,0.423,68.000
14,"(70, 75]",0.924,0.567,73.000
15,"(75, 80]",1.097,0.763,78.000
16,"(80, 85]",1.000,0.944,83.000
