,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,718,749,658,809,0.959,0.813,1.179,0.105
1,"(15, 24]","(15, 22]",Male,489,359,1154,1132,1.362,1.019,1.336,0.127
2,"(15, 24]","(22, 27]",Female,134,122,303,385,1.098,0.787,1.396,0.216
3,"(15, 24]","(22, 27]",Male,87,76,274,244,1.145,1.123,1.019,0.190
4,"(15, 24]","(27, 32]",Female,32,19,118,111,1.684,1.063,1.584,0.511
5,"(15, 24]","(27, 32]",Male,21,8,72,68,2.625,1.059,2.479,1.119
6,"(15, 24]","(32, 37]",Female,40,14,32,33,2.857,0.970,2.946,1.180
7,"(15, 24]","(32, 37]",Male,22,14,57,29,1.571,1.966,0.799,0.331
8,"(15, 24]","(37, 42]",Female,88,47,20,13,1.872,1.538,1.217,0.490
9,"(15, 24]","(37, 42]",Male,59,26,46,27,2.269,1.704,1.332,0.455
10,"(15, 24]","(42, 47]",Female,95,40,25,19,2.375,1.316,1.805,0.652
11,"(15, 24]","(42, 47]",Male,45,17,30,16,2.647,1.875,1.412,0.598
12,"(15, 24]","(47, 52]",Female,58,25,22,10,2.320,2.200,1.055,0.478
13,"(15, 24]","(47, 52]",Male,29,17,42,18,1.706,2.333,0.731,0.306
14,"(15, 24]","(52, 57]",Female,35,14,21,11,2.500,1.909,1.310,0.643
15,"(15, 24]","(52, 57]",Male,27,7,17,12,3.857,1.417,2.723,1.551
16,"(15, 24]","(57, 62]",Female,27,7,13,1,3.857,13.000,0.297,0.333
17,"(15, 24]","(57, 62]",Male,16,2,18,4,8.000,4.500,1.778,1.659
18,"(15, 24]","(62, 67]",Female,15,4,8,2,3.750,4.000,0.938,0.911
19,"(15, 24]","(62, 67]",Male,6,2,17,2,3.000,8.500,0.353,0.391
20,"(15, 24]","(67, 72]",Female,11,2,3,1,5.500,3.000,1.833,2.545
21,"(15, 24]","(77, 82]",Female,9,2,4,3,4.500,1.333,3.375,3.692
22,"(15, 24]","(77, 82]",Male,7,1,6,1,7.000,6.000,1.167,1.774
23,"(24, 34]","(15, 22]",Female,49,69,44,61,0.710,0.721,0.985,0.272
24,"(24, 34]","(15, 22]",Male,82,66,99,138,1.242,0.717,1.732,0.376
25,"(24, 34]","(22, 27]",Female,90,91,175,229,0.989,0.764,1.294,0.241
26,"(24, 34]","(22, 27]",Male,143,113,194,228,1.265,0.851,1.487,0.248
27,"(24, 34]","(27, 32]",Female,68,73,279,303,0.932,0.921,1.012,0.197
28,"(24, 34]","(27, 32]",Male,120,90,144,150,1.333,0.960,1.389,0.262
29,"(24, 34]","(32, 37]",Female,49,30,203,202,1.633,1.005,1.625,0.418
30,"(24, 34]","(32, 37]",Male,52,36,87,70,1.444,1.243,1.162,0.319
31,"(24, 34]","(37, 42]",Female,25,18,82,83,1.389,0.988,1.406,0.492
32,"(24, 34]","(37, 42]",Male,27,19,46,39,1.421,1.179,1.205,0.450
33,"(24, 34]","(42, 47]",Female,28,13,45,38,2.154,1.184,1.819,0.736
34,"(24, 34]","(42, 47]",Male,19,11,29,22,1.727,1.318,1.310,0.623
35,"(24, 34]","(47, 52]",Female,34,23,26,21,1.478,1.238,1.194,0.480
36,"(24, 34]","(47, 52]",Male,29,11,32,17,2.636,1.882,1.401,0.654
37,"(24, 34]","(52, 57]",Female,38,16,24,13,2.375,1.846,1.286,0.589
