,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,52,49,46,42,1.061,1.095,0.969,0.287
1,"(15, 24]","(0, 5]",Male,12,3,14,6,4.000,2.333,1.714,1.390
2,"(15, 24]","(5, 10]",Female,31,20,21,17,1.550,1.235,1.255,0.549
3,"(15, 24]","(5, 10]",Male,9,8,13,10,1.125,1.300,0.865,0.558
4,"(15, 24]","(10, 15]",Female,175,189,70,91,0.926,0.769,1.204,0.237
5,"(15, 24]","(10, 15]",Male,130,112,203,160,1.161,1.269,0.915,0.159
6,"(15, 24]","(15, 20]",Female,605,602,235,318,1.005,0.739,1.360,0.156
7,"(15, 24]","(15, 20]",Male,705,575,884,920,1.226,0.961,1.276,0.113
8,"(15, 24]","(20, 25]",Female,232,213,208,269,1.089,0.773,1.409,0.199
9,"(15, 24]","(20, 25]",Male,337,260,445,440,1.296,1.011,1.282,0.151
10,"(15, 24]","(25, 30]",Female,62,37,55,66,1.676,0.833,2.011,0.565
11,"(15, 24]","(25, 30]",Male,60,41,140,105,1.463,1.333,1.098,0.269
12,"(15, 24]","(30, 35]",Female,26,28,24,33,0.929,0.727,1.277,0.492
13,"(15, 24]","(30, 35]",Male,33,17,51,33,1.941,1.545,1.256,0.473
14,"(15, 24]","(35, 40]",Female,39,28,16,13,1.393,1.231,1.132,0.510
15,"(15, 24]","(35, 40]",Male,34,24,37,28,1.417,1.321,1.072,0.396
16,"(15, 24]","(40, 45]",Female,57,42,16,12,1.357,1.333,1.018,0.443
17,"(15, 24]","(40, 45]",Male,54,20,35,22,2.700,1.591,1.697,0.646
18,"(15, 24]","(45, 50]",Female,64,28,20,8,2.286,2.500,0.914,0.437
19,"(15, 24]","(45, 50]",Male,34,20,25,17,1.700,1.471,1.156,0.491
20,"(15, 24]","(50, 55]",Female,54,22,10,7,2.455,1.429,1.718,0.956
21,"(15, 24]","(50, 55]",Male,26,7,30,10,3.714,3.000,1.238,0.697
22,"(15, 24]","(55, 60]",Female,37,10,13,5,3.700,2.600,1.423,0.907
23,"(15, 24]","(55, 60]",Male,23,4,19,4,5.750,4.750,1.211,0.937
24,"(15, 24]","(60, 65]",Female,26,3,5,2,8.667,2.500,3.467,3.593
25,"(15, 24]","(60, 65]",Male,12,1,17,5,12.000,3.400,3.529,4.093
26,"(15, 24]","(65, 70]",Female,22,5,9,1,4.400,9.000,0.489,0.570
27,"(15, 24]","(65, 70]",Male,15,2,7,1,7.500,7.000,1.071,1.402
28,"(15, 24]","(70, 75]",Female,20,2,8,1,10.000,8.000,1.250,1.619
29,"(15, 24]","(75, 80]",Female,19,2,5,1,9.500,5.000,1.900,2.517
30,"(24, 34]","(0, 5]",Female,78,52,74,72,1.500,1.028,1.459,0.363
31,"(24, 34]","(0, 5]",Male,27,11,23,15,2.455,1.533,1.601,0.785
32,"(24, 34]","(5, 10]",Female,104,83,91,82,1.253,1.110,1.129,0.246
33,"(24, 34]","(5, 10]",Male,25,16,26,26,1.562,1.000,1.562,0.666
34,"(24, 34]","(10, 15]",Female,68,86,37,50,0.791,0.740,1.069,0.294
35,"(24, 34]","(10, 15]",Male,21,13,25,32,1.615,0.781,2.068,0.921
36,"(24, 34]","(15, 20]",Female,28,36,8,23,0.778,0.348,2.236,1.083
37,"(24, 34]","(15, 20]",Male,73,79,57,79,0.924,0.722,1.281,0.311
38,"(24, 34]","(20, 25]",Female,57,72,36,49,0.792,0.735,1.078,0.309
39,"(24, 34]","(20, 25]",Male,314,284,180,176,1.106,1.023,1.081,0.155
40,"(24, 34]","(25, 30]",Female,90,89,99,138,1.011,0.717,1.410,0.290
41,"(24, 34]","(25, 30]",Male,349,308,187,180,1.133,1.039,1.091,0.152
42,"(24, 34]","(30, 35]",Female,55,59,92,106,0.932,0.868,1.074,0.259
43,"(24, 34]","(30, 35]",Male,165,155,110,95,1.065,1.158,0.919,0.171
44,"(24, 34]","(35, 40]",Female,57,29,48,58,1.966,0.828,2.375,0.723
45,"(24, 34]","(35, 40]",Male,71,52,69,61,1.365,1.131,1.207,0.312
46,"(24, 34]","(40, 45]",Female,25,21,29,31,1.190,0.935,1.273,0.504
47,"(24, 34]","(40, 45]",Male,32,18,36,30,1.778,1.200,1.481,0.575
48,"(24, 34]","(45, 50]",Female,47,28,20,14,1.679,1.429,1.175,0.500
49,"(24, 34]","(45, 50]",Male,33,18,29,18,1.833,1.611,1.138,0.481
50,"(24, 34]","(50, 55]",Female,68,32,11,11,2.125,1.000,2.125,1.020
51,"(24, 34]","(50, 55]",Male,30,7,23,15,4.286,1.533,2.795,1.502
52,"(24, 34]","(55, 60]",Female,65,22,12,2,2.955,6.000,0.492,0.396
53,"(24, 34]","(55, 60]",Male,28,10,24,12,2.800,2.000,1.400,0.718
54,"(24, 34]","(60, 65]",Female,48,14,12,5,3.429,2.400,1.429,0.878
55,"(24, 34]","(60, 65]",Male,18,3,15,3,6.000,5.000,1.200,1.068
56,"(24, 34]","(65, 70]",Female,29,10,10,2,2.900,5.000,0.580,0.498
57,"(24, 34]","(65, 70]",Male,17,3,12,6,5.667,2.000,2.833,2.275
58,"(24, 34]","(70, 75]",Female,35,5,7,4,7.000,1.750,4.000,3.160
59,"(24, 34]","(75, 80]",Female,19,6,5,1,3.167,5.000,0.633,0.755
60,"(24, 34]","(75, 80]",Male,11,1,7,1,11.000,7.000,1.571,2.350
61,"(24, 34]","(80, 85]",Female,10,2,7,3,5.000,2.333,2.143,2.226
62,"(34, 54]","(0, 5]",Female,31,39,32,27,0.795,1.185,0.671,0.241
63,"(34, 54]","(0, 5]",Male,15,10,16,20,1.500,0.800,1.875,0.995
64,"(34, 54]","(5, 10]",Female,69,101,58,94,0.683,0.617,1.107,0.259
65,"(34, 54]","(5, 10]",Male,27,43,41,58,0.628,0.707,0.888,0.287
66,"(34, 54]","(10, 15]",Female,115,221,94,186,0.520,0.505,1.030,0.183
67,"(34, 54]","(10, 15]",Male,38,59,53,109,0.644,0.486,1.325,0.360
68,"(34, 54]","(15, 20]",Female,91,217,54,116,0.419,0.466,0.901,0.192
69,"(34, 54]","(15, 20]",Male,37,46,46,95,0.804,0.484,1.661,0.480
70,"(34, 54]","(20, 25]",Female,45,99,22,44,0.455,0.500,0.909,0.292
71,"(34, 54]","(20, 25]",Male,46,67,37,71,0.687,0.521,1.317,0.373
72,"(34, 54]","(25, 30]",Female,34,59,28,44,0.576,0.636,0.906,0.297
73,"(34, 54]","(25, 30]",Male,104,94,55,73,1.106,0.753,1.468,0.343
74,"(34, 54]","(30, 35]",Female,50,70,41,67,0.714,0.612,1.167,0.322
75,"(34, 54]","(30, 35]",Male,209,201,70,91,1.040,0.769,1.352,0.262
76,"(34, 54]","(35, 40]",Female,52,68,80,97,0.765,0.825,0.927,0.226
77,"(34, 54]","(35, 40]",Male,310,279,101,95,1.111,1.063,1.045,0.180
78,"(34, 54]","(40, 45]",Female,77,61,90,110,1.262,0.818,1.543,0.352
79,"(34, 54]","(40, 45]",Male,295,280,72,88,1.054,0.818,1.288,0.240
80,"(34, 54]","(45, 50]",Female,77,60,108,95,1.283,1.137,1.129,0.257
81,"(34, 54]","(45, 50]",Male,334,268,80,64,1.246,1.250,0.997,0.193
82,"(34, 54]","(50, 55]",Female,71,68,103,107,1.044,0.963,1.085,0.243
83,"(34, 54]","(50, 55]",Male,205,155,56,52,1.323,1.077,1.228,0.277
84,"(34, 54]","(55, 60]",Female,98,46,54,50,2.130,1.080,1.973,0.533
85,"(34, 54]","(55, 60]",Male,65,42,37,18,1.548,2.056,0.753,0.265
86,"(34, 54]","(60, 65]",Female,97,55,40,31,1.764,1.290,1.367,0.406
87,"(34, 54]","(60, 65]",Male,50,26,46,19,1.923,2.421,0.794,0.292
88,"(34, 54]","(65, 70]",Female,136,45,33,11,3.022,3.000,1.007,0.394
89,"(34, 54]","(65, 70]",Male,62,16,31,16,3.875,1.938,2.000,0.839
90,"(34, 54]","(70, 75]",Female,169,61,42,12,2.770,3.500,0.792,0.288
91,"(34, 54]","(70, 75]",Male,77,15,27,8,5.133,3.375,1.521,0.752
92,"(34, 54]","(75, 80]",Female,146,30,39,8,4.867,4.875,0.998,0.439
93,"(34, 54]","(75, 80]",Male,69,11,44,12,6.273,3.667,1.711,0.791
94,"(34, 54]","(80, 85]",Male,54,9,27,5,6.000,5.400,1.111,0.675
95,"(34, 54]","(85, 90]",Female,49,6,13,2,8.167,6.500,1.256,1.100
96,"(34, 54]","(85, 90]",Male,27,7,20,1,3.857,20.000,0.193,0.214
97,"(34, 54]","(90, 95]",Female,26,4,5,1,6.500,5.000,1.300,1.587
98,"(54, 100]","(0, 5]",Female,2,18,4,14,0.111,0.286,0.389,0.365
99,"(54, 100]","(0, 5]",Male,3,9,1,9,0.333,0.111,3.000,3.745
100,"(54, 100]","(5, 10]",Female,19,53,12,55,0.358,0.218,1.643,0.688
101,"(54, 100]","(5, 10]",Male,8,16,8,43,0.500,0.186,2.688,1.563
102,"(54, 100]","(10, 15]",Female,15,103,26,90,0.146,0.289,0.504,0.181
103,"(54, 100]","(10, 15]",Male,7,29,16,65,0.241,0.246,0.981,0.498
104,"(54, 100]","(15, 20]",Female,12,61,7,42,0.197,0.167,1.180,0.612
105,"(54, 100]","(15, 20]",Male,10,31,8,44,0.323,0.182,1.774,0.943
106,"(54, 100]","(20, 25]",Female,17,40,7,22,0.425,0.318,1.336,0.700
107,"(54, 100]","(20, 25]",Male,7,28,8,31,0.250,0.258,0.969,0.563
108,"(54, 100]","(25, 30]",Female,11,40,3,14,0.275,0.214,1.283,0.928
109,"(54, 100]","(25, 30]",Male,8,22,11,44,0.364,0.250,1.455,0.779
110,"(54, 100]","(30, 35]",Female,22,32,4,14,0.688,0.286,2.406,1.523
111,"(54, 100]","(30, 35]",Male,18,39,15,39,0.462,0.385,1.200,0.503
112,"(54, 100]","(35, 40]",Female,15,57,9,28,0.263,0.321,0.819,0.396
113,"(54, 100]","(35, 40]",Male,24,61,21,43,0.393,0.488,0.806,0.292
114,"(54, 100]","(40, 45]",Female,30,65,15,36,0.462,0.417,1.108,0.423
115,"(54, 100]","(40, 45]",Male,49,76,22,77,0.645,0.286,2.257,0.694
