,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,1250,1191,1904,2179,1.050,0.874,1.201,0.086
1,"(15, 24]","(15, 22]",Male,781,610,4424,4467,1.280,0.990,1.293,0.099
2,"(15, 24]","(22, 27]",Female,250,244,929,1012,1.025,0.918,1.116,0.126
3,"(15, 24]","(22, 27]",Male,181,129,1263,1101,1.403,1.147,1.223,0.162
4,"(15, 24]","(27, 32]",Female,104,69,334,359,1.507,0.930,1.620,0.292
5,"(15, 24]","(27, 32]",Male,76,41,404,271,1.854,1.491,1.243,0.267
6,"(15, 24]","(32, 37]",Female,83,43,116,103,1.930,1.126,1.714,0.406
7,"(15, 24]","(32, 37]",Male,53,25,177,110,2.120,1.609,1.318,0.363
8,"(15, 24]","(37, 42]",Female,125,64,75,39,1.953,1.923,1.016,0.259
9,"(15, 24]","(37, 42]",Male,59,26,124,64,2.269,1.938,1.171,0.335
10,"(15, 24]","(42, 47]",Female,98,39,49,32,2.513,1.531,1.641,0.492
11,"(15, 24]","(42, 47]",Male,51,27,106,26,1.889,4.077,0.463,0.152
12,"(15, 24]","(47, 52]",Female,60,14,38,19,4.286,2.000,2.143,0.882
13,"(15, 24]","(47, 52]",Male,27,9,79,25,3.000,3.160,0.949,0.428
14,"(15, 24]","(52, 57]",Female,45,15,27,12,3.000,2.250,1.333,0.614
15,"(15, 24]","(52, 57]",Male,12,7,49,12,1.714,4.083,0.420,0.242
16,"(15, 24]","(57, 62]",Female,24,7,19,4,3.429,4.750,0.722,0.505
17,"(15, 24]","(57, 62]",Male,16,2,34,16,8.000,2.125,3.765,3.051
18,"(15, 24]","(62, 67]",Female,15,1,21,4,15.000,5.250,2.857,3.340
19,"(15, 24]","(62, 67]",Male,14,8,36,9,1.750,4.000,0.438,0.254
20,"(15, 24]","(67, 72]",Male,6,3,14,5,2.000,2.800,0.714,0.628
21,"(15, 24]","(72, 77]",Female,1,1,13,3,1.000,4.333,0.231,0.358
22,"(24, 34]","(15, 22]",Female,112,116,133,189,0.966,0.704,1.372,0.249
23,"(24, 34]","(15, 22]",Male,165,157,450,523,1.051,0.860,1.221,0.169
24,"(24, 34]","(22, 27]",Female,180,193,429,527,0.933,0.814,1.146,0.151
25,"(24, 34]","(22, 27]",Male,286,242,768,777,1.182,0.988,1.196,0.135
26,"(24, 34]","(27, 32]",Female,173,158,588,742,1.095,0.792,1.382,0.184
27,"(24, 34]","(27, 32]",Male,206,148,602,606,1.392,0.993,1.401,0.185
28,"(24, 34]","(32, 37]",Female,103,75,446,473,1.373,0.943,1.456,0.252
29,"(24, 34]","(32, 37]",Male,89,44,308,268,2.023,1.149,1.760,0.367
