,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,41,42,46,51,0.976,0.902,1.082,0.328
1,"(15, 24]","(0, 5]",Male,34,21,34,34,1.619,1.000,1.619,0.602
2,"(15, 24]","(5, 10]",Female,22,29,16,25,0.759,0.640,1.185,0.510
3,"(15, 24]","(5, 10]",Male,16,22,13,18,0.727,0.722,1.007,0.496
4,"(15, 24]","(10, 15]",Female,50,85,27,46,0.588,0.587,1.002,0.306
5,"(15, 24]","(10, 15]",Male,83,114,126,157,0.728,0.803,0.907,0.176
6,"(15, 24]","(15, 20]",Female,125,146,64,111,0.856,0.577,1.485,0.304
7,"(15, 24]","(15, 20]",Male,223,246,529,709,0.907,0.746,1.215,0.146
8,"(15, 24]","(20, 25]",Female,40,42,29,39,0.952,0.744,1.281,0.428
9,"(15, 24]","(20, 25]",Male,55,79,207,267,0.696,0.775,0.898,0.184
10,"(15, 24]","(25, 30]",Female,11,7,9,15,1.571,0.600,2.619,1.685
11,"(15, 24]","(25, 30]",Male,8,16,53,69,0.500,0.768,0.651,0.308
12,"(15, 24]","(30, 35]",Female,5,6,7,6,0.833,1.167,0.714,0.588
13,"(15, 24]","(30, 35]",Male,11,7,25,30,1.571,0.833,1.886,1.049
14,"(15, 24]","(35, 40]",Female,8,6,1,2,1.333,0.500,2.667,3.572
15,"(15, 24]","(35, 40]",Male,4,3,14,13,1.333,1.077,1.238,1.061
16,"(15, 24]","(40, 45]",Female,9,4,1,1,2.250,1.000,2.250,3.459
17,"(15, 24]","(40, 45]",Male,13,5,8,9,2.600,0.889,2.925,2.100
18,"(15, 24]","(45, 50]",Female,4,2,3,2,2.000,1.500,1.333,1.679
19,"(15, 24]","(45, 50]",Male,4,1,10,7,4.000,1.429,2.800,3.424
20,"(15, 24]","(50, 55]",Male,5,1,7,4,5.000,1.750,2.857,3.609
21,"(15, 24]","(55, 60]",Male,7,3,7,2,2.333,3.500,0.667,0.706
22,"(15, 24]","(65, 70]",Male,5,1,3,2,5.000,1.500,3.333,4.756
23,"(24, 34]","(0, 5]",Female,54,83,58,84,0.651,0.690,0.942,0.235
24,"(24, 34]","(0, 5]",Male,61,55,57,69,1.109,0.826,1.343,0.353
25,"(24, 34]","(5, 10]",Female,57,94,62,89,0.606,0.697,0.870,0.210
26,"(24, 34]","(5, 10]",Male,41,64,61,82,0.641,0.744,0.861,0.230
27,"(24, 34]","(10, 15]",Female,33,67,26,50,0.493,0.520,0.947,0.309
28,"(24, 34]","(10, 15]",Male,22,37,28,44,0.595,0.636,0.934,0.341
29,"(24, 34]","(15, 20]",Female,20,33,3,15,0.606,0.200,3.030,2.106
30,"(24, 34]","(15, 20]",Male,33,58,70,103,0.569,0.680,0.837,0.228
31,"(24, 34]","(20, 25]",Female,16,20,12,30,0.800,0.400,2.000,0.963
32,"(24, 34]","(20, 25]",Male,48,60,83,138,0.800,0.601,1.330,0.324
33,"(24, 34]","(25, 30]",Female,14,24,15,21,0.583,0.714,0.817,0.392
34,"(24, 34]","(25, 30]",Male,36,38,58,83,0.947,0.699,1.356,0.397
35,"(24, 34]","(30, 35]",Female,12,6,6,9,2.000,0.667,3.000,2.185
36,"(24, 34]","(30, 35]",Male,10,17,51,62,0.588,0.823,0.715,0.317
37,"(24, 34]","(35, 40]",Female,6,9,5,5,0.667,1.000,0.667,0.550
38,"(24, 34]","(35, 40]",Male,11,14,15,19,0.786,0.789,0.995,0.531
39,"(24, 34]","(40, 45]",Female,3,4,3,2,0.750,1.500,0.500,0.596
40,"(24, 34]","(40, 45]",Male,6,8,10,13,0.750,0.769,0.975,0.669
41,"(24, 34]","(45, 50]",Female,7,7,2,1,1.000,2.000,0.500,0.669
42,"(24, 34]","(45, 50]",Male,6,4,10,9,1.500,1.111,1.350,1.072
43,"(24, 34]","(50, 55]",Female,9,9,3,1,1.000,3.000,0.333,0.416
44,"(24, 34]","(50, 55]",Male,12,9,5,3,1.333,1.667,0.800,0.684
45,"(24, 34]","(55, 60]",Female,3,2,1,1,1.500,1.000,1.500,2.526
46,"(24, 34]","(55, 60]",Male,10,5,10,4,2.000,2.500,0.800,0.646
47,"(24, 34]","(60, 65]",Female,5,5,2,2,1.000,1.000,1.000,1.184
48,"(24, 34]","(60, 65]",Male,3,1,8,4,3.000,2.000,1.500,1.962
49,"(24, 34]","(65, 70]",Female,8,2,3,2,4.000,1.500,2.667,3.223
50,"(24, 34]","(65, 70]",Male,1,1,6,1,1.000,6.000,0.167,0.297
51,"(34, 54]","(0, 5]",Female,18,35,14,29,0.514,0.483,1.065,0.467
52,"(34, 54]","(0, 5]",Male,20,35,15,32,0.571,0.469,1.219,0.516
53,"(34, 54]","(5, 10]",Female,30,48,19,52,0.625,0.365,1.711,0.613
54,"(34, 54]","(5, 10]",Male,43,82,44,73,0.524,0.603,0.870,0.237
55,"(34, 54]","(10, 15]",Female,39,93,34,75,0.419,0.453,0.925,0.264
56,"(34, 54]","(10, 15]",Male,42,92,76,128,0.457,0.594,0.769,0.185
57,"(34, 54]","(15, 20]",Female,20,56,13,37,0.357,0.351,1.016,0.424
58,"(34, 54]","(15, 20]",Male,24,57,29,71,0.421,0.408,1.031,0.342
59,"(34, 54]","(20, 25]",Female,2,8,6,14,0.250,0.429,0.583,0.543
60,"(34, 54]","(20, 25]",Male,14,40,25,44,0.350,0.568,0.616,0.248
61,"(34, 54]","(25, 30]",Female,6,10,8,12,0.600,0.667,0.900,0.622
62,"(34, 54]","(25, 30]",Male,13,20,16,41,0.650,0.390,1.666,0.775
63,"(34, 54]","(30, 35]",Female,7,11,4,11,0.636,0.364,1.750,1.330
64,"(34, 54]","(30, 35]",Male,16,23,26,32,0.696,0.812,0.856,0.361
65,"(34, 54]","(35, 40]",Female,12,10,5,14,1.200,0.357,3.360,2.272
66,"(34, 54]","(35, 40]",Male,25,23,18,27,1.087,0.667,1.630,0.689
67,"(34, 54]","(40, 45]",Female,7,9,6,10,0.778,0.600,1.296,0.938
68,"(34, 54]","(40, 45]",Male,30,32,18,27,0.938,0.667,1.406,0.562
69,"(34, 54]","(45, 50]",Female,7,11,6,7,0.636,0.857,0.742,0.548
70,"(34, 54]","(45, 50]",Male,23,31,22,18,0.742,1.222,0.607,0.257
71,"(34, 54]","(50, 55]",Female,12,11,4,7,1.091,0.571,1.909,1.441
72,"(34, 54]","(50, 55]",Male,12,18,16,15,0.667,1.067,0.625,0.325
73,"(34, 54]","(55, 60]",Female,9,6,4,5,1.500,0.800,1.875,1.602
74,"(34, 54]","(55, 60]",Male,16,13,14,10,1.231,1.400,0.879,0.492
75,"(34, 54]","(60, 65]",Male,15,10,11,8,1.500,1.375,1.091,0.677
76,"(34, 54]","(65, 70]",Male,11,3,4,5,3.667,0.800,4.583,4.292
77,"(34, 54]","(70, 75]",Female,11,7,3,2,1.571,1.500,1.048,1.083
78,"(34, 54]","(70, 75]",Male,15,13,3,2,1.154,1.500,0.769,0.761
79,"(34, 54]","(75, 80]",Female,9,5,2,1,1.800,2.000,0.900,1.212
80,"(34, 54]","(75, 80]",Male,9,6,3,2,1.500,1.500,1.000,1.055
81,"(34, 54]","(80, 85]",Male,3,1,2,1,3.000,2.000,1.500,2.526
82,"(54, 100]","(0, 5]",Female,3,12,3,9,0.250,0.333,0.750,0.697
83,"(54, 100]","(0, 5]",Male,3,12,4,15,0.250,0.267,0.938,0.804
84,"(54, 100]","(5, 10]",Female,8,22,3,16,0.364,0.188,1.939,1.463
85,"(54, 100]","(5, 10]",Male,10,24,10,26,0.417,0.385,1.083,0.576
86,"(54, 100]","(10, 15]",Female,5,13,3,12,0.385,0.250,1.538,1.284
87,"(54, 100]","(10, 15]",Male,7,29,8,36,0.241,0.222,1.086,0.626
88,"(54, 100]","(15, 20]",Male,3,18,7,18,0.167,0.389,0.429,0.329
89,"(54, 100]","(20, 25]",Male,7,25,5,15,0.280,0.333,0.840,0.565
90,"(54, 100]","(25, 30]",Female,2,6,1,2,0.333,0.500,0.667,0.982
91,"(54, 100]","(25, 30]",Male,2,16,4,9,0.125,0.444,0.281,0.271
92,"(54, 100]","(30, 35]",Male,4,17,5,9,0.235,0.556,0.424,0.334
93,"(54, 100]","(35, 40]",Male,8,10,3,10,0.800,0.300,2.667,2.168
94,"(54, 100]","(40, 45]",Male,2,9,6,10,0.222,0.600,0.370,0.347
95,"(54, 100]","(45, 50]",Female,3,2,1,3,1.500,0.333,4.500,6.628
96,"(54, 100]","(45, 50]",Male,9,15,6,10,0.600,0.600,1.000,0.669
97,"(54, 100]","(50, 55]",Female,8,11,2,3,0.727,0.667,1.091,1.119
98,"(54, 100]","(50, 55]",Male,19,18,6,13,1.056,0.462,2.287,1.361
99,"(54, 100]","(55, 60]",Female,11,10,3,3,1.100,1.000,1.100,1.020
100,"(54, 100]","(55, 60]",Male,26,34,4,5,0.765,0.800,0.956,0.690
101,"(54, 100]","(60, 65]",Female,9,15,5,4,0.600,1.250,0.480,0.381
102,"(54, 100]","(60, 65]",Male,43,49,9,10,0.878,0.900,0.975,0.495
103,"(54, 100]","(65, 70]",Female,19,17,7,9,1.118,0.778,1.437,0.872
104,"(54, 100]","(65, 70]",Male,43,40,6,8,1.075,0.750,1.433,0.839
105,"(54, 100]","(70, 75]",Female,19,21,9,7,0.905,1.286,0.704,0.420
106,"(54, 100]","(70, 75]",Male,35,33,17,9,1.061,1.889,0.561,0.270
107,"(54, 100]","(75, 80]",Female,16,16,4,4,1.000,1.000,1.000,0.792
108,"(54, 100]","(75, 80]",Male,38,33,6,4,1.152,1.500,0.768,0.530
109,"(54, 100]","(80, 85]",Female,14,5,2,2,2.800,1.000,2.800,3.160
110,"(54, 100]","(80, 85]",Male,14,13,8,4,1.077,2.000,0.538,0.390
111,"(54, 100]","(85, 90]",Female,9,3,9,1,3.000,9.000,0.333,0.416
112,"(54, 100]","(90, 95]",Male,3,1,3,2,3.000,1.500,2.000,2.946
