,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,108,86,134,123,1.256,1.089,1.153,0.228
1,"(15, 24]","(0, 5]",Male,52,36,62,28,1.444,2.214,0.652,0.208
2,"(15, 24]","(5, 10]",Female,36,41,36,27,0.878,1.333,0.659,0.228
3,"(15, 24]","(5, 10]",Male,23,12,40,33,1.917,1.212,1.581,0.679
4,"(15, 24]","(10, 15]",Female,275,271,105,124,1.015,0.847,1.198,0.198
5,"(15, 24]","(10, 15]",Male,374,287,548,485,1.303,1.130,1.153,0.129
6,"(15, 24]","(15, 20]",Female,1019,1069,383,495,0.953,0.774,1.232,0.117
7,"(15, 24]","(15, 20]",Male,1958,1739,3509,3598,1.126,0.975,1.154,0.074
8,"(15, 24]","(20, 25]",Female,371,358,363,453,1.036,0.801,1.293,0.147
9,"(15, 24]","(20, 25]",Male,829,685,1798,1709,1.210,1.052,1.150,0.091
10,"(15, 24]","(25, 30]",Female,98,95,156,156,1.032,1.000,1.032,0.196
11,"(15, 24]","(25, 30]",Male,189,142,482,424,1.331,1.137,1.171,0.163
12,"(15, 24]","(30, 35]",Female,57,44,49,52,1.295,0.942,1.375,0.395
13,"(15, 24]","(30, 35]",Male,99,64,173,144,1.547,1.201,1.288,0.261
14,"(15, 24]","(35, 40]",Female,72,48,23,20,1.500,1.150,1.304,0.472
15,"(15, 24]","(35, 40]",Male,78,34,130,82,2.294,1.585,1.447,0.368
16,"(15, 24]","(40, 45]",Female,81,55,25,20,1.473,1.250,1.178,0.413
17,"(15, 24]","(40, 45]",Male,76,31,84,57,2.452,1.474,1.664,0.463
18,"(15, 24]","(45, 50]",Female,97,54,12,6,1.796,2.000,0.898,0.476
19,"(15, 24]","(45, 50]",Male,40,16,64,39,2.500,1.641,1.523,0.552
20,"(15, 24]","(50, 55]",Female,69,22,15,10,3.136,1.500,2.091,1.001
21,"(15, 24]","(50, 55]",Male,50,19,41,24,2.632,1.708,1.540,0.579
22,"(15, 24]","(55, 60]",Female,48,12,3,1,4.000,3.000,1.333,1.600
23,"(15, 24]","(55, 60]",Male,34,6,38,13,5.667,2.923,1.939,1.065
24,"(15, 24]","(60, 65]",Female,27,6,12,5,4.500,2.400,1.875,1.312
25,"(15, 24]","(60, 65]",Male,16,4,31,9,4.000,3.444,1.161,0.786
26,"(15, 24]","(65, 70]",Female,30,8,10,4,3.750,2.500,1.500,1.072
27,"(15, 24]","(65, 70]",Male,16,8,29,5,2.000,5.800,0.345,0.225
28,"(15, 24]","(70, 75]",Female,24,6,7,2,4.000,3.500,1.143,1.056
29,"(15, 24]","(70, 75]",Male,15,3,17,3,5.000,5.667,0.882,0.787
30,"(15, 24]","(80, 85]",Male,12,2,11,2,6.000,5.500,1.091,1.183
31,"(15, 24]","(85, 90]",Female,14,1,3,1,14.000,3.000,4.667,7.240
32,"(24, 34]","(0, 5]",Female,135,141,124,114,0.957,1.088,0.880,0.162
33,"(24, 34]","(0, 5]",Male,78,74,93,104,1.054,0.894,1.179,0.261
34,"(24, 34]","(5, 10]",Female,164,191,141,177,0.859,0.797,1.078,0.176
35,"(24, 34]","(5, 10]",Male,36,38,53,57,0.947,0.930,1.019,0.311
36,"(24, 34]","(10, 15]",Female,97,126,60,108,0.770,0.556,1.386,0.299
37,"(24, 34]","(10, 15]",Male,36,40,61,67,0.900,0.910,0.989,0.291
38,"(24, 34]","(15, 20]",Female,82,114,31,82,0.719,0.378,1.903,0.496
39,"(24, 34]","(15, 20]",Male,257,270,282,387,0.952,0.729,1.306,0.166
40,"(24, 34]","(20, 25]",Female,130,165,99,142,0.788,0.697,1.130,0.207
41,"(24, 34]","(20, 25]",Male,834,742,671,839,1.124,0.800,1.405,0.124
42,"(24, 34]","(25, 30]",Female,178,188,166,233,0.947,0.712,1.329,0.205
43,"(24, 34]","(25, 30]",Male,793,684,701,757,1.159,0.926,1.252,0.112
44,"(24, 34]","(30, 35]",Female,115,131,140,176,0.878,0.795,1.104,0.196
45,"(24, 34]","(30, 35]",Male,414,326,415,364,1.270,1.140,1.114,0.128
46,"(24, 34]","(35, 40]",Female,50,52,77,95,0.962,0.811,1.186,0.303
47,"(24, 34]","(35, 40]",Male,145,110,212,189,1.318,1.122,1.175,0.198
48,"(24, 34]","(40, 45]",Female,45,32,43,53,1.406,0.811,1.733,0.543
49,"(24, 34]","(40, 45]",Male,90,52,138,101,1.731,1.366,1.267,0.283
50,"(24, 34]","(45, 50]",Female,71,43,23,17,1.651,1.353,1.220,0.460
51,"(24, 34]","(45, 50]",Male,50,23,78,55,2.174,1.418,1.533,0.477
52,"(24, 34]","(50, 55]",Female,92,34,36,14,2.706,2.571,1.052,0.397
53,"(24, 34]","(50, 55]",Male,42,16,75,34,2.625,2.206,1.190,0.432
54,"(24, 34]","(55, 60]",Female,91,44,18,7,2.068,2.571,0.804,0.390
55,"(24, 34]","(55, 60]",Male,42,10,61,29,4.200,2.103,1.997,0.840
56,"(24, 34]","(60, 65]",Female,74,25,13,9,2.960,1.444,2.049,1.012
57,"(24, 34]","(60, 65]",Male,31,14,44,20,2.214,2.200,1.006,0.426
58,"(24, 34]","(65, 70]",Female,52,26,18,6,2.000,3.000,0.667,0.354
59,"(24, 34]","(65, 70]",Male,30,11,26,9,2.727,2.889,0.944,0.496
60,"(24, 34]","(70, 75]",Female,41,10,9,2,4.100,4.500,0.911,0.783
61,"(24, 34]","(70, 75]",Male,18,1,16,3,18.000,5.333,3.375,4.069
62,"(24, 34]","(75, 80]",Female,21,7,12,1,3.000,12.000,0.250,0.282
63,"(24, 34]","(75, 80]",Male,19,3,14,2,6.333,7.000,0.905,0.886
64,"(24, 34]","(80, 85]",Female,24,3,4,1,8.000,4.000,2.000,2.551
65,"(24, 34]","(80, 85]",Male,14,2,11,1,7.000,11.000,0.636,0.821
66,"(24, 34]","(85, 90]",Male,5,1,2,1,5.000,2.000,2.500,4.110
67,"(34, 54]","(0, 5]",Female,37,58,37,49,0.638,0.755,0.845,0.259
68,"(34, 54]","(0, 5]",Male,34,45,34,55,0.756,0.618,1.222,0.390
69,"(34, 54]","(5, 10]",Female,68,110,57,106,0.618,0.538,1.150,0.265
70,"(34, 54]","(5, 10]",Male,37,44,55,67,0.841,0.821,1.024,0.299
71,"(34, 54]","(10, 15]",Female,139,268,107,205,0.519,0.522,0.994,0.165
72,"(34, 54]","(10, 15]",Male,48,73,88,170,0.658,0.518,1.270,0.296
73,"(34, 54]","(15, 20]",Female,112,248,55,117,0.452,0.470,0.961,0.197
74,"(34, 54]","(15, 20]",Male,74,123,86,233,0.602,0.369,1.630,0.326
75,"(34, 54]","(20, 25]",Female,56,146,31,74,0.384,0.419,0.916,0.247
76,"(34, 54]","(20, 25]",Male,97,142,127,242,0.683,0.525,1.302,0.232
77,"(34, 54]","(25, 30]",Female,69,107,33,73,0.645,0.452,1.427,0.378
78,"(34, 54]","(25, 30]",Male,215,238,157,226,0.903,0.695,1.300,0.194
79,"(34, 54]","(30, 35]",Female,65,95,48,76,0.684,0.632,1.083,0.271
80,"(34, 54]","(30, 35]",Male,394,399,196,255,0.987,0.769,1.285,0.165
81,"(34, 54]","(35, 40]",Female,63,93,100,117,0.677,0.855,0.793,0.173
82,"(34, 54]","(35, 40]",Male,514,460,220,253,1.117,0.870,1.285,0.158
83,"(34, 54]","(40, 45]",Female,64,85,109,145,0.753,0.752,1.002,0.215
84,"(34, 54]","(40, 45]",Male,451,422,201,191,1.069,1.052,1.016,0.134
85,"(34, 54]","(45, 50]",Female,99,76,119,122,1.303,0.975,1.335,0.275
86,"(34, 54]","(45, 50]",Male,429,395,162,155,1.086,1.045,1.039,0.147
87,"(34, 54]","(50, 55]",Female,97,59,113,104,1.644,1.087,1.513,0.332
88,"(34, 54]","(50, 55]",Male,250,213,131,97,1.174,1.351,0.869,0.148
89,"(34, 54]","(55, 60]",Female,82,57,84,63,1.439,1.333,1.079,0.264
90,"(34, 54]","(55, 60]",Male,97,62,96,72,1.565,1.333,1.173,0.271
91,"(34, 54]","(60, 65]",Female,113,62,61,25,1.823,2.440,0.747,0.216
92,"(34, 54]","(60, 65]",Male,72,38,71,39,1.895,1.821,1.041,0.299
93,"(34, 54]","(65, 70]",Female,115,53,44,20,2.170,2.200,0.986,0.316
94,"(34, 54]","(65, 70]",Male,51,23,70,24,2.217,2.917,0.760,0.265
95,"(34, 54]","(70, 75]",Female,135,41,38,15,3.293,2.533,1.300,0.464
96,"(34, 54]","(70, 75]",Male,61,23,49,24,2.652,2.042,1.299,0.458
97,"(34, 54]","(75, 80]",Female,125,43,33,6,2.907,5.500,0.529,0.254
98,"(34, 54]","(75, 80]",Male,54,18,29,10,3.000,2.900,1.034,0.475
