,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,33,43,34,41,0.767,0.829,0.925,0.307
1,"(15, 24]","(0, 5]",Male,26,22,32,29,1.182,1.103,1.071,0.418
2,"(15, 24]","(5, 10]",Female,16,15,22,20,1.067,1.100,0.970,0.462
3,"(15, 24]","(5, 10]",Male,17,15,12,14,1.133,0.857,1.322,0.703
4,"(15, 24]","(10, 15]",Female,50,67,37,60,0.746,0.617,1.210,0.345
5,"(15, 24]","(10, 15]",Male,101,137,128,196,0.737,0.653,1.129,0.204
6,"(15, 24]","(15, 20]",Female,125,173,78,126,0.723,0.619,1.167,0.225
7,"(15, 24]","(15, 20]",Male,205,253,629,887,0.810,0.709,1.143,0.135
8,"(15, 24]","(20, 25]",Female,33,43,44,74,0.767,0.595,1.291,0.392
9,"(15, 24]","(20, 25]",Male,55,68,238,336,0.809,0.708,1.142,0.236
10,"(15, 24]","(25, 30]",Female,19,16,14,18,1.188,0.778,1.527,0.755
11,"(15, 24]","(25, 30]",Male,29,20,74,70,1.450,1.057,1.372,0.465
12,"(15, 24]","(30, 35]",Female,6,5,5,5,1.200,1.000,1.200,1.052
13,"(15, 24]","(30, 35]",Male,7,9,30,28,0.778,1.071,0.726,0.414
14,"(15, 24]","(35, 40]",Female,3,4,3,5,0.750,0.600,1.250,1.322
15,"(15, 24]","(35, 40]",Male,15,3,12,13,5.000,0.923,5.417,4.063
16,"(15, 24]","(40, 45]",Female,9,9,7,2,1.000,3.500,0.286,0.266
17,"(15, 24]","(40, 45]",Male,15,12,14,9,1.250,1.556,0.804,0.465
18,"(15, 24]","(45, 50]",Female,3,7,3,2,0.429,1.500,0.286,0.327
19,"(15, 24]","(45, 50]",Male,13,8,10,3,1.625,3.333,0.487,0.389
20,"(15, 24]","(50, 55]",Female,6,4,3,1,1.500,3.000,0.500,0.662
21,"(15, 24]","(50, 55]",Male,12,7,2,2,1.714,1.000,1.714,1.900
22,"(15, 24]","(55, 60]",Male,8,1,4,4,8.000,1.000,8.000,10.206
23,"(15, 24]","(60, 65]",Female,4,3,2,3,1.333,0.667,2.000,2.383
24,"(15, 24]","(60, 65]",Male,11,3,7,1,3.667,7.000,0.524,0.656
25,"(15, 24]","(65, 70]",Female,6,3,1,1,2.000,1.000,2.000,3.164
26,"(15, 24]","(65, 70]",Male,5,1,5,2,5.000,2.500,2.000,2.759
27,"(15, 24]","(75, 80]",Male,6,1,2,1,6.000,2.000,3.000,4.901
28,"(24, 34]","(0, 5]",Female,54,79,54,77,0.684,0.701,0.975,0.249
29,"(24, 34]","(0, 5]",Male,56,75,66,70,0.747,0.943,0.792,0.199
30,"(24, 34]","(5, 10]",Female,65,101,44,88,0.644,0.500,1.287,0.320
31,"(24, 34]","(5, 10]",Male,42,67,41,59,0.627,0.695,0.902,0.259
32,"(24, 34]","(10, 15]",Female,28,64,24,39,0.438,0.615,0.711,0.247
33,"(24, 34]","(10, 15]",Male,13,29,36,42,0.448,0.857,0.523,0.213
34,"(24, 34]","(15, 20]",Female,17,27,10,27,0.630,0.370,1.700,0.825
35,"(24, 34]","(15, 20]",Male,38,50,65,102,0.760,0.637,1.193,0.324
36,"(24, 34]","(20, 25]",Female,17,31,11,15,0.548,0.733,0.748,0.375
37,"(24, 34]","(20, 25]",Male,46,66,115,168,0.697,0.685,1.018,0.237
38,"(24, 34]","(25, 30]",Female,18,18,12,24,1.000,0.500,2.000,0.977
39,"(24, 34]","(25, 30]",Male,43,45,74,119,0.956,0.622,1.537,0.406
40,"(24, 34]","(30, 35]",Female,7,7,15,16,1.000,0.938,1.067,0.689
41,"(24, 34]","(30, 35]",Male,24,29,50,65,0.828,0.769,1.076,0.363
42,"(24, 34]","(35, 40]",Female,9,7,6,8,1.286,0.750,1.714,1.269
43,"(24, 34]","(35, 40]",Male,15,13,23,28,1.154,0.821,1.405,0.667
44,"(24, 34]","(40, 45]",Female,8,12,8,8,0.667,1.000,0.667,0.453
45,"(24, 34]","(40, 45]",Male,6,2,14,15,3.000,0.933,3.214,2.888
46,"(24, 34]","(45, 50]",Female,8,2,7,5,4.000,1.400,2.857,2.814
47,"(24, 34]","(45, 50]",Male,19,10,16,11,1.900,1.455,1.306,0.726
48,"(24, 34]","(50, 55]",Female,3,4,6,4,0.750,1.500,0.500,0.501
49,"(24, 34]","(50, 55]",Male,17,8,13,8,2.125,1.625,1.308,0.815
50,"(24, 34]","(55, 60]",Female,9,3,3,1,3.000,3.000,1.000,1.334
51,"(24, 34]","(55, 60]",Male,13,8,9,7,1.625,1.286,1.264,0.856
52,"(24, 34]","(60, 65]",Male,8,4,10,2,2.000,5.000,0.400,0.395
53,"(24, 34]","(65, 70]",Female,11,4,5,5,2.750,1.000,2.750,2.371
54,"(24, 34]","(65, 70]",Male,6,3,4,1,2.000,4.000,0.500,0.662
55,"(24, 34]","(70, 75]",Female,4,3,3,1,1.333,3.000,0.444,0.616
56,"(24, 34]","(70, 75]",Male,6,1,5,2,6.000,2.500,2.400,3.281
57,"(34, 54]","(0, 5]",Female,20,30,16,27,0.667,0.593,1.125,0.484
58,"(34, 54]","(0, 5]",Male,14,37,15,35,0.378,0.429,0.883,0.391
59,"(34, 54]","(5, 10]",Female,30,68,14,50,0.441,0.280,1.576,0.594
60,"(34, 54]","(5, 10]",Male,34,85,34,63,0.400,0.540,0.741,0.221
61,"(34, 54]","(10, 15]",Female,40,104,29,81,0.385,0.358,1.074,0.311
62,"(34, 54]","(10, 15]",Male,37,113,42,108,0.327,0.389,0.842,0.225
63,"(34, 54]","(15, 20]",Female,20,54,13,33,0.370,0.394,0.940,0.397
64,"(34, 54]","(15, 20]",Male,30,84,27,77,0.357,0.351,1.019,0.318
65,"(34, 54]","(20, 25]",Female,7,15,3,22,0.467,0.136,3.422,2.630
66,"(34, 54]","(20, 25]",Male,16,43,19,52,0.372,0.365,1.018,0.407
67,"(34, 54]","(25, 30]",Female,7,20,6,15,0.350,0.400,0.875,0.573
68,"(34, 54]","(25, 30]",Male,13,22,28,49,0.591,0.571,1.034,0.440
69,"(34, 54]","(30, 35]",Female,5,19,4,13,0.263,0.308,0.855,0.653
70,"(34, 54]","(30, 35]",Male,21,35,28,55,0.600,0.509,1.179,0.429
71,"(34, 54]","(35, 40]",Female,6,19,2,12,0.316,0.167,1.895,1.700
72,"(34, 54]","(35, 40]",Male,34,46,24,42,0.739,0.571,1.293,0.446
73,"(34, 54]","(40, 45]",Female,4,11,8,9,0.364,0.889,0.409,0.311
