,Subject Age,R,DeltaR,Age
0,"(0, 5]",0.914,0.119,3.000
1,"(5, 10]",1.036,0.138,8.000
2,"(10, 15]",0.962,0.103,13.000
3,"(15, 20]",1.130,0.097,18.000
4,"(20, 25]",1.075,0.131,23.000
5,"(25, 30]",1.388,0.216,28.000
6,"(30, 35]",0.998,0.188,33.000
7,"(35, 40]",1.540,0.335,38.000
8,"(40, 45]",1.083,0.262,43.000
9,"(45, 50]",1.275,0.319,48.000
10,"(50, 55]",1.047,0.262,53.000
11,"(55, 60]",0.819,0.217,58.000
12,"(60, 65]",0.949,0.245,63.000
13,"(65, 70]",0.966,0.245,68.000
14,"(70, 75]",0.534,0.167,73.000
15,"(75, 80]",1.369,0.455,78.000
16,"(80, 85]",1.604,0.711,83.000
17,"(85, 90]",0.891,0.550,88.000
18,"(90, 95]",0.904,0.958,93.000
19,"(95, 100]",4.000,6.003,98.000
