,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,2,4,3,2,0.500,1.500,0.333,0.420
1,"(15, 24]","(0, 5]",Male,2,2,4,3,1.000,1.333,0.750,0.944
2,"(15, 24]","(10, 15]",Female,3,7,4,5,0.429,0.800,0.536,0.516
3,"(15, 24]","(10, 15]",Male,14,17,10,10,0.824,1.000,0.824,0.475
4,"(15, 24]","(15, 20]",Female,10,10,6,11,1.000,0.545,1.833,1.244
5,"(15, 24]","(15, 20]",Male,20,19,56,70,1.053,0.800,1.316,0.488
6,"(15, 24]","(20, 25]",Female,4,2,4,9,2.000,0.444,4.500,4.749
7,"(15, 24]","(20, 25]",Male,6,7,15,23,0.857,0.652,1.314,0.854
8,"(15, 24]","(30, 35]",Male,2,1,3,4,2.000,0.750,2.667,3.851
9,"(24, 34]","(0, 5]",Female,9,8,2,5,1.125,0.400,2.812,2.725
10,"(24, 34]","(0, 5]",Male,5,5,2,3,1.000,0.667,1.500,1.668
11,"(24, 34]","(5, 10]",Female,3,8,7,7,0.375,1.000,0.375,0.324
12,"(24, 34]","(5, 10]",Male,2,3,2,4,0.667,0.500,1.333,1.679
13,"(24, 34]","(10, 15]",Female,2,4,2,2,0.500,1.000,0.500,0.662
14,"(24, 34]","(10, 15]",Male,1,5,2,4,0.200,0.500,0.400,0.559
15,"(24, 34]","(15, 20]",Male,1,6,3,6,0.167,0.500,0.333,0.431
16,"(24, 34]","(20, 25]",Male,4,4,7,10,1.000,0.700,1.429,1.233
17,"(24, 34]","(25, 30]",Male,2,2,6,6,1.000,1.000,1.000,1.156
18,"(24, 34]","(30, 35]",Male,3,2,3,5,1.500,0.600,2.500,2.925
19,"(34, 54]","(5, 10]",Female,1,6,2,6,0.167,0.333,0.500,0.677
20,"(34, 54]","(5, 10]",Male,4,3,1,5,1.333,0.200,6.667,8.909
21,"(34, 54]","(10, 15]",Female,1,6,2,5,0.167,0.400,0.417,0.570
22,"(34, 54]","(10, 15]",Male,2,5,3,8,0.400,0.375,1.067,1.149
23,"(34, 54]","(20, 25]",Male,1,2,2,2,0.500,1.000,0.500,0.791
24,"(34, 54]","(30, 35]",Male,3,2,4,7,1.500,0.571,2.625,2.910
25,"(34, 54]","(35, 40]",Female,1,2,1,2,0.500,0.500,1.000,1.733
26,"(34, 54]","(35, 40]",Male,3,2,1,1,1.500,1.000,1.500,2.526
27,"(34, 54]","(45, 50]",Male,2,2,2,6,1.000,0.333,3.000,3.876
28,"(54, 100]","(75, 80]",Male,3,3,1,1,1.000,1.000,1.000,1.634
