,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,11,7,9,2,1.571,4.500,0.349,0.321
1,"(15, 24]","(0, 5]",Male,3,1,7,2,3.000,3.500,0.857,1.206
2,"(15, 24]","(5, 10]",Female,3,2,3,2,1.500,1.500,1.000,1.292
3,"(15, 24]","(10, 15]",Female,17,16,9,7,1.062,1.286,0.826,0.508
4,"(15, 24]","(10, 15]",Male,24,16,40,42,1.500,0.952,1.575,0.621
5,"(15, 24]","(15, 20]",Female,76,82,22,39,0.927,0.564,1.643,0.517
6,"(15, 24]","(15, 20]",Male,147,115,289,300,1.278,0.963,1.327,0.209
7,"(15, 24]","(20, 25]",Female,25,22,31,40,1.136,0.775,1.466,0.559
8,"(15, 24]","(20, 25]",Male,51,40,166,161,1.275,1.031,1.237,0.301
9,"(15, 24]","(25, 30]",Female,5,6,13,19,0.833,0.684,1.218,0.860
10,"(15, 24]","(25, 30]",Male,23,13,29,36,1.769,0.806,2.196,0.945
11,"(15, 24]","(30, 35]",Female,5,6,6,5,0.833,1.200,0.694,0.596
12,"(15, 24]","(30, 35]",Male,7,3,21,19,2.333,1.105,2.111,1.606
13,"(15, 24]","(35, 40]",Male,8,5,5,3,1.600,1.667,0.960,0.891
14,"(15, 24]","(40, 45]",Male,3,1,7,3,3.000,2.333,1.286,1.731
15,"(15, 24]","(45, 50]",Male,6,2,6,2,3.000,3.000,1.000,1.156
16,"(15, 24]","(50, 55]",Female,3,1,2,2,3.000,1.000,3.000,4.585
17,"(24, 34]","(0, 5]",Female,8,9,5,6,0.889,0.833,1.067,0.830
18,"(24, 34]","(0, 5]",Male,7,6,8,5,1.167,1.600,0.729,0.582
19,"(24, 34]","(5, 10]",Female,6,13,15,14,0.462,1.071,0.431,0.267
20,"(24, 34]","(10, 15]",Female,10,12,3,6,0.833,0.500,1.667,1.380
21,"(24, 34]","(10, 15]",Male,1,5,6,7,0.200,0.857,0.233,0.287
22,"(24, 34]","(15, 20]",Female,2,6,2,5,0.333,0.400,0.833,0.975
23,"(24, 34]","(15, 20]",Male,16,17,21,38,0.941,0.553,1.703,0.757
24,"(24, 34]","(20, 25]",Female,7,13,6,13,0.538,0.462,1.167,0.796
25,"(24, 34]","(20, 25]",Male,40,37,65,73,1.081,0.890,1.214,0.351
26,"(24, 34]","(25, 30]",Female,13,16,13,20,0.812,0.650,1.250,0.648
27,"(24, 34]","(25, 30]",Male,42,30,78,82,1.400,0.951,1.472,0.428
28,"(24, 34]","(30, 35]",Female,4,7,14,24,0.571,0.583,0.980,0.699
29,"(24, 34]","(30, 35]",Male,28,21,33,37,1.333,0.892,1.495,0.566
30,"(24, 34]","(35, 40]",Female,4,3,6,11,1.333,0.545,2.444,2.245
31,"(24, 34]","(35, 40]",Male,12,7,14,17,1.714,0.824,2.082,1.247
32,"(24, 34]","(40, 45]",Female,3,2,7,6,1.500,1.167,1.286,1.376
33,"(24, 34]","(40, 45]",Male,8,3,11,8,2.667,1.375,1.939,1.595
34,"(24, 34]","(45, 50]",Male,8,2,5,1,4.000,5.000,0.800,1.081
35,"(24, 34]","(50, 55]",Female,4,2,2,1,2.000,2.000,1.000,1.501
36,"(24, 34]","(50, 55]",Male,3,1,8,4,3.000,2.000,1.500,1.962
37,"(24, 34]","(55, 60]",Female,8,3,3,1,2.667,3.000,0.889,1.191
38,"(24, 34]","(65, 70]",Female,4,2,2,2,2.000,1.000,2.000,2.648
39,"(24, 34]","(65, 70]",Male,3,1,3,1,3.000,3.000,1.000,1.634
