,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,2,2,4,3,1.000,1.333,0.750,0.944
1,"(15, 24]","(0, 5]",Male,2,1,1,1,2.000,1.000,2.000,3.743
2,"(15, 24]","(5, 10]",Female,1,1,4,3,1.000,1.333,0.750,1.206
3,"(15, 24]","(10, 15]",Female,3,4,3,4,0.750,0.750,1.000,1.081
4,"(15, 24]","(10, 15]",Male,12,13,7,16,0.923,0.438,2.110,1.280
5,"(15, 24]","(15, 20]",Female,13,14,2,5,0.929,0.400,2.321,2.141
6,"(15, 24]","(15, 20]",Male,21,23,53,83,0.913,0.639,1.430,0.505
7,"(15, 24]","(20, 25]",Female,1,1,3,8,1.000,0.375,2.667,4.183
8,"(15, 24]","(20, 25]",Male,5,7,20,36,0.714,0.556,1.286,0.836
9,"(24, 34]","(0, 5]",Female,6,3,5,11,2.000,0.455,4.400,3.919
10,"(24, 34]","(5, 10]",Female,3,7,4,5,0.429,0.800,0.536,0.516
11,"(24, 34]","(10, 15]",Female,3,11,3,5,0.273,0.600,0.455,0.445
12,"(24, 34]","(10, 15]",Male,1,4,2,3,0.250,0.667,0.375,0.542
13,"(24, 34]","(20, 25]",Male,7,5,4,11,1.400,0.364,3.850,3.189
14,"(24, 34]","(25, 30]",Male,2,2,12,16,1.000,0.750,1.333,1.429
15,"(24, 34]","(30, 35]",Female,1,2,1,4,0.500,0.250,2.000,3.318
16,"(24, 34]","(30, 35]",Male,3,2,4,4,1.500,1.000,1.500,1.734
17,"(24, 34]","(70, 75]",Male,1,1,2,1,1.000,2.000,0.500,0.936
18,"(34, 54]","(5, 10]",Male,2,5,1,1,0.400,1.000,0.400,0.658
19,"(34, 54]","(10, 15]",Female,1,5,1,6,0.200,0.167,1.200,1.847
20,"(34, 54]","(15, 20]",Male,3,7,2,6,0.429,0.333,1.286,1.376
21,"(34, 54]","(35, 40]",Male,2,2,3,2,1.000,1.500,0.667,0.903
22,"(34, 54]","(40, 45]",Male,2,2,1,5,1.000,0.200,5.000,7.420
23,"(34, 54]","(50, 55]",Male,1,1,1,2,1.000,0.500,2.000,3.743
24,"(34, 54]","(60, 65]",Male,2,1,1,1,2.000,1.000,2.000,3.743
25,"(54, 100]","(65, 70]",Male,3,1,1,1,3.000,1.000,3.000,5.479
26,"(54, 100]","(75, 80]",Male,2,4,2,3,0.500,0.667,0.750,0.944
