,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,2,1,2,3,2.000,0.667,3.000,4.585
1,"(15, 24]","(10, 15]",Female,1,1,4,4,1.000,1.000,1.000,1.582
2,"(15, 24]","(10, 15]",Male,7,6,4,10,1.167,0.400,2.917,2.373
3,"(15, 24]","(15, 20]",Female,8,7,5,7,1.143,0.714,1.600,1.253
4,"(15, 24]","(15, 20]",Male,14,13,22,57,1.077,0.386,2.790,1.290
5,"(15, 24]","(20, 25]",Male,3,4,20,29,0.750,0.690,1.087,0.890
6,"(15, 24]","(25, 30]",Male,2,2,5,5,1.000,1.000,1.000,1.184
7,"(24, 34]","(0, 5]",Female,1,4,1,3,0.250,0.333,0.750,1.206
8,"(24, 34]","(5, 10]",Female,2,6,1,3,0.333,0.333,1.000,1.415
9,"(24, 34]","(15, 20]",Male,1,3,5,7,0.333,0.714,0.467,0.605
10,"(24, 34]","(25, 30]",Male,1,2,3,5,0.500,0.600,0.833,1.189
11,"(24, 34]","(30, 35]",Male,1,4,3,4,0.250,0.750,0.333,0.452
12,"(24, 34]","(40, 45]",Female,1,1,1,1,1.000,1.000,1.000,2.001
13,"(34, 54]","(0, 5]",Female,1,1,1,1,1.000,1.000,1.000,2.001
14,"(34, 54]","(5, 10]",Male,2,2,2,3,1.000,0.667,1.500,2.032
15,"(34, 54]","(15, 20]",Male,3,3,1,1,1.000,1.000,1.000,1.634
16,"(34, 54]","(25, 30]",Male,1,1,1,1,1.000,1.000,1.000,2.001
17,"(34, 54]","(35, 40]",Male,1,1,1,3,1.000,0.333,3.000,5.479
18,"(34, 54]","(45, 50]",Male,2,2,2,1,1.000,2.000,0.500,0.791
