,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.635,0.310,19.000
1,"(22, 27]",1.303,0.469,25.000
2,"(27, 32]",1.482,0.587,30.000
3,"(32, 37]",1.018,0.603,35.000
4,"(37, 42]",0.617,0.299,40.000
5,"(42, 47]",1.477,0.752,45.000
6,"(47, 52]",0.910,0.457,50.000
7,"(52, 57]",0.971,0.648,55.000
8,"(57, 62]",1.281,0.630,60.000
9,"(62, 67]",0.958,0.451,65.000
10,"(67, 72]",1.116,0.474,70.000
11,"(72, 77]",0.646,0.216,75.000
12,"(77, 82]",0.681,0.309,80.000
13,"(82, 87]",0.263,0.154,85.000
14,"(87, 92]",3.798,3.885,90.000
