,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,31,24,30,36,1.292,0.833,1.550,0.575
1,"(15, 24]","(15, 22]",Male,18,20,74,64,0.900,1.156,0.778,0.288
2,"(15, 24]","(22, 27]",Female,2,6,7,11,0.333,0.636,0.524,0.498
3,"(15, 24]","(22, 27]",Male,2,2,18,17,1.000,1.059,0.944,0.998
4,"(15, 24]","(27, 32]",Male,1,1,2,1,1.000,2.000,0.500,0.936
5,"(15, 24]","(32, 37]",Male,3,2,2,3,1.500,0.667,2.250,2.907
6,"(15, 24]","(47, 52]",Male,3,1,2,2,3.000,1.000,3.000,4.585
7,"(24, 34]","(15, 22]",Female,3,1,3,6,3.000,0.500,6.000,8.130
8,"(24, 34]","(15, 22]",Male,3,1,6,7,3.000,0.857,3.500,4.490
9,"(24, 34]","(22, 27]",Female,1,3,3,5,0.333,0.600,0.556,0.760
10,"(24, 34]","(22, 27]",Male,7,5,8,12,1.400,0.667,2.100,1.563
11,"(24, 34]","(27, 32]",Female,2,2,8,10,1.000,0.800,1.250,1.385
12,"(24, 34]","(27, 32]",Male,3,5,5,5,0.600,1.000,0.600,0.580
13,"(24, 34]","(32, 37]",Female,1,1,4,8,1.000,0.500,2.000,3.084
14,"(24, 34]","(42, 47]",Female,6,2,1,1,3.000,1.000,3.000,4.901
15,"(34, 54]","(15, 22]",Female,4,6,3,5,0.667,0.600,1.111,1.084
16,"(34, 54]","(22, 27]",Female,3,5,1,2,0.600,0.500,1.200,1.712
17,"(34, 54]","(27, 32]",Female,1,3,2,3,0.333,0.667,0.500,0.736
18,"(34, 54]","(27, 32]",Male,4,5,1,5,0.800,0.200,4.000,5.142
19,"(34, 54]","(32, 37]",Female,6,3,6,6,2.000,1.000,2.000,1.828
20,"(34, 54]","(32, 37]",Male,5,2,2,6,2.500,0.333,7.500,8.776
21,"(34, 54]","(37, 42]",Female,1,1,2,6,1.000,0.333,3.000,4.901
22,"(34, 54]","(37, 42]",Male,3,3,3,4,1.000,0.750,1.333,1.492
23,"(34, 54]","(42, 47]",Female,5,2,8,12,2.500,0.667,3.750,3.579
24,"(34, 54]","(42, 47]",Male,6,2,3,3,3.000,1.000,3.000,3.467
25,"(34, 54]","(47, 52]",Female,1,1,2,5,1.000,0.400,2.500,4.110
26,"(34, 54]","(47, 52]",Male,1,1,1,1,1.000,1.000,1.000,2.001
27,"(34, 54]","(57, 62]",Female,3,2,2,7,1.500,0.286,5.250,6.384
28,"(34, 54]","(57, 62]",Male,2,1,1,1,2.000,1.000,2.000,3.743
29,"(34, 54]","(62, 67]",Female,2,3,4,1,0.667,4.000,0.167,0.241
30,"(54, 100]","(37, 42]",Female,2,8,1,2,0.250,0.500,0.500,0.729
31,"(54, 100]","(42, 47]",Male,1,1,2,6,1.000,0.333,3.000,4.901
32,"(54, 100]","(47, 52]",Female,1,9,1,3,0.111,0.333,0.333,0.521
33,"(54, 100]","(52, 57]",Female,1,7,3,5,0.143,0.600,0.238,0.308
34,"(54, 100]","(52, 57]",Male,6,6,2,4,1.000,0.500,2.000,2.084
35,"(54, 100]","(57, 62]",Female,7,15,5,7,0.467,0.714,0.653,0.487
36,"(54, 100]","(57, 62]",Male,3,7,2,1,0.429,2.000,0.214,0.301
37,"(54, 100]","(62, 67]",Female,6,7,14,23,0.857,0.609,1.408,0.920
38,"(54, 100]","(67, 72]",Female,5,5,14,18,1.000,0.778,1.286,0.936
39,"(54, 100]","(67, 72]",Male,8,7,2,3,1.143,0.667,1.714,1.801
40,"(54, 100]","(72, 77]",Female,5,7,30,27,0.714,1.111,0.643,0.414
41,"(54, 100]","(72, 77]",Male,3,15,3,6,0.200,0.500,0.400,0.380
42,"(54, 100]","(77, 82]",Female,8,15,27,29,0.533,0.931,0.573,0.295
43,"(54, 100]","(77, 82]",Male,8,13,1,3,0.615,0.333,1.846,2.289
44,"(54, 100]","(82, 87]",Female,1,4,17,24,0.250,0.708,0.353,0.411
45,"(54, 100]","(82, 87]",Male,3,8,1,3,0.375,0.333,1.125,1.507
46,"(54, 100]","(87, 92]",Female,2,2,9,8,1.000,1.125,0.889,0.989
