,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(10, 15]",Female,5,4,1,3,1.250,0.333,3.750,5.011
1,"(15, 24]","(10, 15]",Male,3,2,6,4,1.500,1.500,1.000,1.119
2,"(15, 24]","(15, 20]",Female,16,13,10,4,1.231,2.500,0.492,0.345
3,"(15, 24]","(15, 20]",Male,20,21,36,36,0.952,1.000,0.952,0.376
4,"(15, 24]","(20, 25]",Female,8,8,9,7,1.000,1.286,0.778,0.554
5,"(15, 24]","(20, 25]",Male,9,7,13,23,1.286,0.565,2.275,1.396
6,"(15, 24]","(25, 30]",Female,1,1,3,1,1.000,3.000,0.333,0.609
7,"(15, 24]","(40, 45]",Female,2,3,1,1,0.667,1.000,0.667,1.123
8,"(15, 24]","(55, 60]",Female,2,1,1,2,2.000,0.500,4.000,6.931
9,"(24, 34]","(0, 5]",Female,2,1,2,1,2.000,2.000,1.000,1.733
10,"(24, 34]","(15, 20]",Male,4,1,1,2,4.000,0.500,8.000,13.273
11,"(24, 34]","(20, 25]",Male,6,3,6,9,2.000,0.667,3.000,2.650
12,"(24, 34]","(25, 30]",Female,1,2,4,3,0.500,1.333,0.375,0.542
13,"(24, 34]","(25, 30]",Male,7,5,8,5,1.400,1.600,0.875,0.716
14,"(24, 34]","(30, 35]",Male,1,1,3,1,1.000,3.000,0.333,0.609
15,"(24, 34]","(35, 40]",Female,1,2,1,2,0.500,0.500,1.000,1.733
16,"(34, 54]","(5, 10]",Male,2,1,1,2,2.000,0.500,4.000,6.931
17,"(34, 54]","(10, 15]",Female,2,4,2,7,0.500,0.286,1.750,2.067
18,"(34, 54]","(10, 15]",Male,1,1,2,1,1.000,2.000,0.500,0.936
19,"(34, 54]","(15, 20]",Female,4,6,1,2,0.667,0.500,1.333,1.847
20,"(34, 54]","(20, 25]",Female,1,1,2,1,1.000,2.000,0.500,0.936
21,"(34, 54]","(30, 35]",Male,9,4,4,3,2.250,1.333,1.688,1.642
22,"(34, 54]","(35, 40]",Female,2,2,3,3,1.000,1.000,1.000,1.292
23,"(34, 54]","(35, 40]",Male,3,4,3,3,0.750,1.000,0.750,0.839
24,"(34, 54]","(45, 50]",Male,6,4,2,2,1.500,1.000,1.500,1.787
25,"(34, 54]","(55, 60]",Male,3,1,1,1,3.000,1.000,3.000,5.479
26,"(34, 54]","(60, 65]",Female,2,1,2,1,2.000,2.000,1.000,1.733
27,"(54, 100]","(15, 20]",Male,1,1,1,1,1.000,1.000,1.000,2.001
28,"(54, 100]","(35, 40]",Female,1,2,1,1,0.500,1.000,0.500,0.936
29,"(54, 100]","(45, 50]",Female,1,3,1,2,0.333,0.500,0.667,1.123
30,"(54, 100]","(50, 55]",Male,5,9,1,1,0.556,1.000,0.556,0.845
31,"(54, 100]","(60, 65]",Female,2,3,6,4,0.667,1.500,0.444,0.497
32,"(54, 100]","(60, 65]",Male,14,19,2,3,0.737,0.667,1.105,1.083
33,"(54, 100]","(65, 70]",Female,6,4,5,4,1.500,1.250,1.200,1.119
34,"(54, 100]","(65, 70]",Male,15,17,1,1,0.882,1.000,0.882,1.287
35,"(54, 100]","(70, 75]",Female,6,5,4,4,1.200,1.000,1.200,1.119
36,"(54, 100]","(75, 80]",Female,3,2,12,7,1.500,1.714,0.875,0.902
37,"(54, 100]","(80, 85]",Female,9,3,12,6,3.000,2.000,1.500,1.252
38,"(54, 100]","(80, 85]",Male,17,21,2,2,0.810,1.000,0.810,0.852
39,"(54, 100]","(85, 90]",Female,8,3,9,1,2.667,9.000,0.296,0.371
