,Subject Age,R,DeltaR,Age
0,"(10, 15]",1.107,0.732,13.000
1,"(15, 20]",0.724,0.226,18.000
2,"(20, 25]",1.939,0.824,23.000
3,"(25, 30]",0.922,0.521,28.000
4,"(30, 35]",1.066,0.775,33.000
5,"(35, 40]",0.705,0.519,38.000
6,"(40, 45]",0.375,0.383,43.000
7,"(45, 50]",0.667,0.721,48.000
8,"(50, 55]",4.000,6.931,53.000
9,"(55, 60]",0.444,0.616,58.000
10,"(60, 65]",0.333,0.509,63.000
11,"(70, 75]",0.187,0.178,73.000
12,"(75, 80]",1.066,0.598,78.000
13,"(80, 85]",1.217,0.822,83.000
14,"(85, 90]",0.583,0.785,88.000
