,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(10, 15]",Male,2,1,1,3,2.000,0.333,6.000,10.104
1,"(15, 24]","(15, 20]",Female,9,7,3,9,1.286,0.333,3.857,3.229
2,"(15, 24]","(15, 20]",Male,15,9,15,20,1.667,0.750,2.222,1.211
3,"(15, 24]","(20, 25]",Male,6,5,30,18,1.200,1.667,0.720,0.487
4,"(15, 24]","(25, 30]",Male,1,1,3,5,1.000,0.600,1.667,2.654
5,"(15, 24]","(30, 35]",Male,1,1,1,1,1.000,1.000,1.000,2.001
6,"(24, 34]","(15, 20]",Male,5,1,1,1,5.000,1.000,5.000,8.948
7,"(24, 34]","(20, 25]",Female,1,3,2,2,0.333,1.000,0.333,0.509
8,"(24, 34]","(20, 25]",Male,3,5,5,7,0.600,0.714,0.840,0.787
9,"(24, 34]","(25, 30]",Female,1,1,1,4,1.000,0.250,4.000,7.214
10,"(24, 34]","(25, 30]",Male,1,3,4,3,0.333,1.333,0.250,0.346
11,"(24, 34]","(30, 35]",Male,2,3,2,4,0.667,0.500,1.333,1.679
12,"(24, 34]","(35, 40]",Male,1,4,1,1,0.250,1.000,0.250,0.451
13,"(24, 34]","(40, 45]",Male,1,2,2,2,0.500,1.000,0.500,0.791
14,"(34, 54]","(15, 20]",Male,1,1,1,1,1.000,1.000,1.000,2.001
15,"(54, 100]","(60, 65]",Male,1,1,1,1,1.000,1.000,1.000,2.001
16,"(54, 100]","(80, 85]",Female,2,1,4,3,2.000,1.333,1.500,2.166
