,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,16,13,14,20,1.231,0.700,1.758,0.902
1,"(15, 24]","(15, 22]",Male,11,8,34,32,1.375,1.062,1.294,0.684
2,"(15, 24]","(22, 27]",Male,2,2,16,9,1.000,1.778,0.562,0.610
3,"(24, 34]","(15, 22]",Male,5,2,5,4,2.500,1.250,2.000,2.147
4,"(24, 34]","(22, 27]",Female,1,1,3,2,1.000,1.500,0.667,1.123
5,"(24, 34]","(22, 27]",Male,1,3,8,8,0.333,1.000,0.333,0.420
6,"(24, 34]","(27, 32]",Female,2,1,2,2,2.000,1.000,2.000,3.164
7,"(34, 54]","(22, 27]",Male,1,1,1,1,1.000,1.000,1.000,2.001
8,"(34, 54]","(32, 37]",Male,4,4,1,2,1.000,0.500,2.000,2.830
9,"(34, 54]","(37, 42]",Male,2,3,1,1,0.667,1.000,0.667,1.123
10,"(54, 100]","(62, 67]",Male,1,1,1,2,1.000,0.500,2.000,3.743
