,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Female,4,4,9,8,1.000,1.125,0.889,0.764
1,"(15, 24]","(5, 10]",Female,1,4,2,2,0.250,1.000,0.250,0.375
2,"(15, 24]","(10, 15]",Female,3,6,3,3,0.500,1.000,0.500,0.541
3,"(15, 24]","(10, 15]",Male,15,14,12,29,1.071,0.414,2.589,1.316
4,"(15, 24]","(15, 20]",Female,15,21,7,13,0.714,0.538,1.327,0.770
5,"(15, 24]","(15, 20]",Male,21,43,70,119,0.488,0.588,0.830,0.257
6,"(15, 24]","(20, 25]",Female,3,6,4,8,0.500,0.500,1.000,0.937
7,"(15, 24]","(20, 25]",Male,9,15,36,44,0.600,0.818,0.733,0.352
8,"(15, 24]","(25, 30]",Male,2,5,7,5,0.400,1.400,0.286,0.292
9,"(24, 34]","(0, 5]",Female,7,11,5,16,0.636,0.312,2.036,1.438
10,"(24, 34]","(0, 5]",Male,2,5,8,8,0.400,1.000,0.400,0.390
11,"(24, 34]","(5, 10]",Female,3,9,5,7,0.333,0.714,0.467,0.415
12,"(24, 34]","(5, 10]",Male,3,11,6,11,0.273,0.545,0.500,0.414
13,"(24, 34]","(10, 15]",Female,3,6,2,4,0.500,0.500,1.000,1.119
14,"(24, 34]","(10, 15]",Male,2,3,1,2,0.667,0.500,1.333,2.038
15,"(24, 34]","(15, 20]",Male,6,8,8,9,0.750,0.889,0.844,0.614
16,"(24, 34]","(20, 25]",Female,3,2,1,3,1.500,0.333,4.500,6.628
17,"(24, 34]","(20, 25]",Male,4,7,12,18,0.571,0.667,0.857,0.627
18,"(24, 34]","(25, 30]",Male,9,6,15,21,1.500,0.714,2.100,1.319
19,"(24, 34]","(30, 35]",Male,3,4,7,11,0.750,0.636,1.179,1.067
20,"(24, 34]","(40, 45]",Male,1,1,2,2,1.000,1.000,1.000,1.733
21,"(24, 34]","(55, 60]",Male,3,1,2,2,3.000,1.000,3.000,4.585
22,"(34, 54]","(0, 5]",Female,1,2,3,2,0.500,1.500,0.333,0.509
23,"(34, 54]","(0, 5]",Male,1,2,2,4,0.500,0.500,1.000,1.501
24,"(34, 54]","(5, 10]",Female,4,2,1,3,2.000,0.333,6.000,8.665
25,"(34, 54]","(5, 10]",Male,3,10,1,6,0.300,0.167,1.800,2.279
26,"(34, 54]","(10, 15]",Female,3,5,6,5,0.600,1.200,0.500,0.475
27,"(34, 54]","(10, 15]",Male,3,16,8,12,0.188,0.667,0.281,0.219
28,"(34, 54]","(15, 20]",Female,1,4,2,6,0.250,0.333,0.750,1.039
29,"(34, 54]","(15, 20]",Male,1,7,6,12,0.143,0.500,0.286,0.338
30,"(34, 54]","(20, 25]",Male,1,3,1,5,0.333,0.200,1.667,2.654
31,"(34, 54]","(25, 30]",Male,3,1,2,6,3.000,0.333,9.000,12.736
32,"(34, 54]","(40, 45]",Male,6,6,2,3,1.000,0.667,1.500,1.622
33,"(34, 54]","(45, 50]",Male,3,3,1,1,1.000,1.000,1.000,1.634
34,"(34, 54]","(50, 55]",Male,1,2,3,1,0.500,3.000,0.167,0.281
35,"(34, 54]","(55, 60]",Male,1,1,2,1,1.000,2.000,0.500,0.936
36,"(54, 100]","(10, 15]",Male,2,2,1,3,1.000,0.333,3.000,4.585
37,"(54, 100]","(15, 20]",Male,2,1,1,4,2.000,0.250,8.000,13.273
38,"(54, 100]","(45, 50]",Male,1,2,1,2,0.500,0.500,1.000,1.733
39,"(54, 100]","(65, 70]",Male,4,2,1,2,2.000,0.500,4.000,6.003
