,Subject Age,R,DeltaR,Age
0,"(0, 5]",0.839,0.419,3.000
1,"(5, 10]",1.118,0.556,8.000
2,"(10, 15]",0.699,0.217,13.000
3,"(15, 20]",1.224,0.281,18.000
4,"(20, 25]",1.583,0.529,23.000
5,"(25, 30]",1.910,1.140,28.000
6,"(30, 35]",1.409,0.757,33.000
7,"(35, 40]",1.946,1.415,38.000
8,"(40, 45]",1.000,1.501,43.000
9,"(45, 50]",1.465,1.734,48.000
10,"(50, 55]",1.320,1.481,53.000
11,"(55, 60]",5.000,7.420,58.000
12,"(60, 65]",0.310,0.401,63.000
13,"(65, 70]",1.123,1.092,68.000
14,"(70, 75]",0.446,0.472,73.000
15,"(80, 85]",1.500,2.166,83.000
16,"(85, 90]",0.500,0.791,88.000
