,Subject Age,R,DeltaR,Age
0,"(15, 22]",1.362,0.155,19.000
1,"(22, 27]",1.135,0.183,25.000
2,"(27, 32]",1.513,0.317,30.000
3,"(32, 37]",1.138,0.264,35.000
4,"(37, 42]",1.330,0.380,40.000
5,"(42, 47]",0.975,0.340,45.000
6,"(47, 52]",1.075,0.392,50.000
7,"(52, 57]",0.892,0.269,55.000
8,"(57, 62]",1.125,0.391,60.000
9,"(62, 67]",0.664,0.228,65.000
10,"(67, 72]",0.986,0.331,70.000
11,"(72, 77]",0.715,0.279,75.000
12,"(77, 82]",0.917,0.417,80.000
13,"(82, 87]",2.525,2.153,85.000
14,"(87, 92]",0.500,0.669,90.000
