,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(15, 22]",Female,106,81,110,158,1.309,0.696,1.880,0.375
1,"(15, 24]","(15, 22]",Male,67,45,397,332,1.489,1.196,1.245,0.265
2,"(15, 24]","(22, 27]",Female,15,12,50,46,1.250,1.087,1.150,0.507
3,"(15, 24]","(22, 27]",Male,13,10,97,84,1.300,1.155,1.126,0.506
4,"(15, 24]","(27, 32]",Female,12,8,16,16,1.500,1.000,1.500,0.869
5,"(15, 24]","(27, 32]",Male,4,4,25,21,1.000,1.190,0.840,0.645
6,"(15, 24]","(32, 37]",Female,3,2,9,4,1.500,2.250,0.667,0.729
7,"(15, 24]","(32, 37]",Male,6,3,16,8,2.000,2.000,1.000,0.831
8,"(15, 24]","(37, 42]",Female,10,3,4,1,3.333,4.000,0.833,1.082
9,"(15, 24]","(37, 42]",Male,4,4,5,4,1.000,1.250,0.800,0.781
10,"(15, 24]","(42, 47]",Female,3,2,2,3,1.500,0.667,2.250,2.907
11,"(15, 24]","(42, 47]",Male,2,1,8,2,2.000,4.000,0.500,0.729
12,"(15, 24]","(62, 67]",Female,1,1,2,1,1.000,2.000,0.500,0.936
13,"(24, 34]","(15, 22]",Female,13,12,10,11,1.083,0.909,1.192,0.709
14,"(24, 34]","(15, 22]",Male,16,9,43,55,1.778,0.782,2.274,1.061
15,"(24, 34]","(22, 27]",Female,10,13,31,36,0.769,0.861,0.893,0.437
16,"(24, 34]","(22, 27]",Male,16,12,72,63,1.333,1.143,1.167,0.492
17,"(24, 34]","(27, 32]",Female,11,12,34,53,0.917,0.642,1.429,0.678
18,"(24, 34]","(27, 32]",Male,19,6,45,39,3.167,1.154,2.744,1.425
19,"(24, 34]","(32, 37]",Female,8,7,27,34,1.143,0.794,1.439,0.835
20,"(24, 34]","(32, 37]",Male,9,6,25,19,1.500,1.316,1.140,0.696
21,"(24, 34]","(37, 42]",Female,5,4,15,13,1.250,1.154,1.083,0.836
22,"(24, 34]","(37, 42]",Male,3,4,11,6,0.750,1.833,0.409,0.376
23,"(24, 34]","(42, 47]",Female,2,3,8,1,0.667,8.000,0.083,0.117
24,"(24, 34]","(42, 47]",Male,1,1,10,4,1.000,2.500,0.400,0.614
25,"(24, 34]","(47, 52]",Female,3,1,1,2,3.000,0.500,6.000,10.104
26,"(34, 54]","(15, 22]",Female,7,11,5,13,0.636,0.385,1.655,1.185
27,"(34, 54]","(15, 22]",Male,5,5,8,14,1.000,0.571,1.750,1.354
28,"(34, 54]","(22, 27]",Female,5,9,3,4,0.556,0.750,0.741,0.702
29,"(34, 54]","(22, 27]",Male,12,7,9,12,1.714,0.750,2.286,1.487
30,"(34, 54]","(27, 32]",Female,8,7,8,8,1.143,1.000,1.143,0.824
31,"(34, 54]","(27, 32]",Male,7,10,14,15,0.700,0.933,0.750,0.464
